player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jericho Sims,simsje01,2024,1,94.0,3.0,2023-10-28,,,NOP,"L, 87-96",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,10.0
Jericho Sims,simsje01,2024,2,95.0,4.0,2023-10-31,,,CLE,"W, 109-91",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
Jericho Sims,simsje01,2024,3,96.0,8.0,2023-11-08,,,SAS,"W, 126-105",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
Jericho Sims,simsje01,2024,4,97.0,9.0,2023-11-12,,,CHO,"W, 129-107",,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,2.4,-6.0
Jericho Sims,simsje01,2024,5,98.0,10.0,2023-11-13,,,BOS,"L, 98-114",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jericho Sims,simsje01,2024,6,99.0,12.0,2023-11-17,,,WAS,"W, 120-99",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
Jericho Sims,simsje01,2024,7,100.0,14.0,2023-11-20,,,MIN,"L, 100-117",,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Jericho Sims,simsje01,2024,8,101.0,17.0,2023-11-28,,,CHO,"W, 115-91",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Jericho Sims,simsje01,2024,9,102.0,20.0,2023-12-05,,,MIL,"L, 122-146",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2.0
Jericho Sims,simsje01,2024,10,103.0,22.0,2023-12-11,,,TOR,"W, 136-130",*,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,3.0,4.0,7.0,1.0,0.0,0.0,0.0,3.0,2.0,3.8,5.0
Jericho Sims,simsje01,2024,11,104.0,23.0,2023-12-13,,,UTA,"L, 113-117",*,,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,3.3,-8.0
