player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Isaiah Stewart,stewais01,2024,1,190.0,1.0,2023-10-25,,,MIA,"L, 102-103",*,,6.0,11.0,0.545,2.0,3.0,0.667,4.0,8.0,0.5,0.636,0.0,0.0,,6.0,8.0,14.0,2.0,0.0,0.0,1.0,3.0,14.0,14.5,7.0
Isaiah Stewart,stewais01,2024,2,191.0,2.0,2023-10-27,,,CHO,"W, 111-99",*,,6.0,11.0,0.545,2.0,5.0,0.4,4.0,6.0,0.667,0.636,1.0,2.0,0.5,1.0,6.0,7.0,1.0,0.0,1.0,4.0,3.0,15.0,8.0,6.0
Isaiah Stewart,stewais01,2024,3,192.0,3.0,2023-10-28,,,CHI,"W, 118-102",*,,6.0,14.0,0.429,0.0,3.0,0.0,6.0,11.0,0.545,0.429,2.0,3.0,0.667,2.0,7.0,9.0,0.0,0.0,0.0,2.0,4.0,14.0,6.1,17.0
Isaiah Stewart,stewais01,2024,4,193.0,4.0,2023-10-30,,,OKC,"L, 112-124",*,,4.0,9.0,0.444,2.0,3.0,0.667,2.0,6.0,0.333,0.556,2.0,2.0,1.0,0.0,7.0,7.0,1.0,0.0,0.0,2.0,2.0,12.0,7.3,-7.0
Isaiah Stewart,stewais01,2024,5,194.0,5.0,2023-11-01,,,POR,"L, 101-110",*,,5.0,8.0,0.625,2.0,4.0,0.5,3.0,4.0,0.75,0.75,0.0,0.0,,2.0,4.0,6.0,4.0,1.0,0.0,2.0,5.0,12.0,10.8,3.0
Isaiah Stewart,stewais01,2024,6,195.0,6.0,2023-11-02,,,NOP,"L, 116-125",*,,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,4.0,6.0,0.667,2.0,6.0,8.0,0.0,0.0,2.0,2.0,3.0,11.0,7.9,-18.0
Isaiah Stewart,stewais01,2024,7,196.0,7.0,2023-11-05,,,PHO,"L, 106-120",*,,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,8.0,2.9,-10.0
Isaiah Stewart,stewais01,2024,8,197.0,8.0,2023-11-06,,,GSW,"L, 109-120",*,,5.0,9.0,0.556,3.0,5.0,0.6,2.0,4.0,0.5,0.722,4.0,4.0,1.0,2.0,9.0,11.0,4.0,0.0,1.0,3.0,3.0,17.0,16.1,-1.0
Isaiah Stewart,stewais01,2024,9,198.0,9.0,2023-11-08,,,MIL,"L, 118-120",*,,3.0,9.0,0.333,2.0,7.0,0.286,1.0,2.0,0.5,0.444,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,2.0,1.0,4.0,8.0,4.0,-4.0
Isaiah Stewart,stewais01,2024,10,199.0,10.0,2023-11-10,,,PHI,"L, 106-114",*,,4.0,10.0,0.4,2.0,5.0,0.4,2.0,5.0,0.4,0.5,0.0,0.0,,1.0,5.0,6.0,2.0,0.0,1.0,3.0,5.0,10.0,3.9,-16.0
Isaiah Stewart,stewais01,2024,11,200.0,11.0,2023-11-12,,,CHI,"L, 108-119",*,,6.0,13.0,0.462,3.0,5.0,0.6,3.0,8.0,0.375,0.577,2.0,4.0,0.5,6.0,5.0,11.0,2.0,0.0,0.0,3.0,3.0,17.0,12.4,-10.0
Isaiah Stewart,stewais01,2024,12,201.0,12.0,2023-11-14,,,ATL,"L, 120-126",*,,4.0,9.0,0.444,1.0,5.0,0.2,3.0,4.0,0.75,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,5.9,0.0
Isaiah Stewart,stewais01,2024,13,202.0,13.0,2023-11-17,,,CLE,"L, 100-108",*,,4.0,11.0,0.364,1.0,4.0,0.25,3.0,7.0,0.429,0.409,2.0,2.0,1.0,4.0,6.0,10.0,2.0,1.0,2.0,1.0,0.0,11.0,12.3,1.0
