player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Terry Taylor,taylote01,2024,1,65.0,3.0,2023-10-28,,,DET,"L, 102-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry Taylor,taylote01,2024,2,66.0,7.0,2023-11-04,,,DEN,"L, 101-123",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-2.0
Terry Taylor,taylote01,2024,3,67.0,8.0,2023-11-06,,,UTA,"W, 130-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-5.0
Terry Taylor,taylote01,2024,4,68.0,15.0,2023-11-20,,,MIA,"L, 100-118",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Terry Taylor,taylote01,2024,5,69.0,19.0,2023-11-28,,,BOS,"L, 97-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Terry Taylor,taylote01,2024,6,70.0,25.0,2023-12-12,,,DEN,"L, 106-114",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,2.0
Terry Taylor,taylote01,2024,7,71.0,29.0,2023-12-20,,,LAL,"W, 124-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Terry Taylor,taylote01,2024,8,72.0,30.0,2023-12-21,,,SAS,"W, 114-95",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.4,-1.0
Terry Taylor,taylote01,2024,9,73.0,32.0,2023-12-26,,,ATL,"W, 118-113",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.3,4.0
Terry Taylor,taylote01,2024,10,74.0,33.0,2023-12-28,,,IND,"L, 104-120",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.2,1.0
Terry Taylor,taylote01,2024,11,75.0,34.0,2023-12-30,,,PHI,"W, 105-92",,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,3.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,6.0,9.8,1.0
Terry Taylor,taylote01,2024,12,76.0,35.0,2024-01-02,,,PHI,"L, 97-110",,,0.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,4.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,0.0,-2.8,18.0
Terry Taylor,taylote01,2024,13,77.0,36.0,2024-01-03,,,NYK,"L, 100-116",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.7,0.0
