player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Lonnie Walker IV,walkelo01,2024,1,265.0,2.0,2023-10-27,,,DAL,"L, 120-125",,,5.0,9.0,0.556,4.0,6.0,0.667,1.0,3.0,0.333,0.778,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,14.0,8.9,8.0
Lonnie Walker IV,walkelo01,2024,2,266.0,3.0,2023-10-30,,,CHO,"W, 133-121",,,6.0,13.0,0.462,3.0,7.0,0.429,3.0,6.0,0.5,0.577,4.0,6.0,0.667,0.0,5.0,5.0,4.0,1.0,1.0,0.0,1.0,19.0,17.1,11.0
Lonnie Walker IV,walkelo01,2024,3,267.0,4.0,2023-11-01,,,MIA,"W, 109-105",,,4.0,9.0,0.444,1.0,4.0,0.25,3.0,5.0,0.6,0.5,8.0,11.0,0.727,1.0,2.0,3.0,4.0,3.0,0.0,3.0,1.0,17.0,14.8,15.0
Lonnie Walker IV,walkelo01,2024,4,268.0,5.0,2023-11-03,,,CHI,"W, 109-107",,,5.0,10.0,0.5,1.0,4.0,0.25,4.0,6.0,0.667,0.55,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,11.0,6.9,9.0
Lonnie Walker IV,walkelo01,2024,5,269.0,6.0,2023-11-04,,,BOS,"L, 114-124",,,5.0,8.0,0.625,1.0,2.0,0.5,4.0,6.0,0.667,0.688,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,13.0,10.0,-2.0
Lonnie Walker IV,walkelo01,2024,6,270.0,7.0,2023-11-06,,,MIL,"L, 125-129",,,8.0,14.0,0.571,3.0,7.0,0.429,5.0,7.0,0.714,0.679,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,3.0,1.0,19.0,11.6,-5.0
Lonnie Walker IV,walkelo01,2024,7,271.0,8.0,2023-11-08,,,LAC,"W, 100-93",,,8.0,16.0,0.5,3.0,7.0,0.429,5.0,9.0,0.556,0.594,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,21.0,15.0,10.0
Lonnie Walker IV,walkelo01,2024,8,272.0,9.0,2023-11-10,,,BOS,"L, 107-121",,,8.0,12.0,0.667,3.0,4.0,0.75,5.0,8.0,0.625,0.792,1.0,1.0,1.0,0.0,7.0,7.0,4.0,0.0,1.0,0.0,0.0,20.0,20.4,0.0
Lonnie Walker IV,walkelo01,2024,9,273.0,10.0,2023-11-12,,,WAS,"W, 102-94",,,2.0,8.0,0.25,1.0,3.0,0.333,1.0,5.0,0.2,0.313,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,5.0,0.8,-1.0
Lonnie Walker IV,walkelo01,2024,10,274.0,11.0,2023-11-14,,,ORL,"W, 124-104",,,4.0,9.0,0.444,3.0,6.0,0.5,1.0,3.0,0.333,0.611,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,11.0,7.6,6.0
