player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Brandon Williams,willibr03,2024,1,25.0,34.0,2024-01-01,,,UTA,"L, 90-127",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,2.7,-13.0
Brandon Williams,willibr03,2024,2,26.0,35.0,2024-01-03,,,POR,"W, 126-97",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,-9.0
Brandon Williams,willibr03,2024,3,27.0,36.0,2024-01-05,,,POR,"W, 139-103",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,2.0,3.0,0.667,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,6.4,3.0
Brandon Williams,willibr03,2024,4,28.0,38.0,2024-01-09,,,MEM,"L, 103-120",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
Brandon Williams,willibr03,2024,5,29.0,42.0,2024-01-17,,,LAL,"L, 110-127",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,5.4,6.0
Brandon Williams,willibr03,2024,6,30.0,44.0,2024-01-24,,,PHO,"L, 109-132",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,0.0
Brandon Williams,willibr03,2024,7,31.0,48.0,2024-01-31,,,MIN,"L, 87-121",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,4.7,-10.0
Brandon Williams,willibr03,2024,8,32.0,50.0,2024-02-05,,,PHI,"W, 118-102",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Brandon Williams,willibr03,2024,9,33.0,52.0,2024-02-08,,,NYK,"W, 122-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,-2.0
Brandon Williams,willibr03,2024,10,34.0,53.0,2024-02-10,,,OKC,"W, 146-111",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Brandon Williams,willibr03,2024,11,35.0,54.0,2024-02-12,,,WAS,"W, 112-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Williams,willibr03,2024,12,36.0,55.0,2024-02-14,,,SAS,"W, 116-93",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,-2.0
Brandon Williams,willibr03,2024,13,37.0,76.0,2024-04-04,,,ATL,"W, 109-95",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,2.0
Brandon Williams,willibr03,2024,14,38.0,79.0,2024-04-09,,,CHO,"W, 130-104",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.4,2.0
Brandon Williams,willibr03,2024,15,39.0,80.0,2024-04-10,,,MIA,"W, 111-92",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.4,4.0
Brandon Williams,willibr03,2024,16,40.0,81.0,2024-04-12,,,DET,"L, 89-107",,,2.0,8.0,0.25,0.0,2.0,0.0,2.0,6.0,0.333,0.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,-1.9,-9.0
Brandon Williams,willibr03,2024,17,41.0,82.0,2024-04-14,,,OKC,"L, 86-135",,,8.0,21.0,0.381,1.0,6.0,0.167,7.0,15.0,0.467,0.405,5.0,6.0,0.833,1.0,4.0,5.0,3.0,0.0,0.0,3.0,1.0,22.0,10.7,-29.0
