player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jalen Wilson,wilsoja03,2024,1,1.0,4.0,2023-11-01,,,MIA,"W, 109-105",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,-4.0
Jalen Wilson,wilsoja03,2024,2,2.0,6.0,2023-11-04,,,BOS,"L, 114-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jalen Wilson,wilsoja03,2024,3,3.0,22.0,2023-12-11,,,SAC,"L, 118-131",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,4.0
Jalen Wilson,wilsoja03,2024,4,4.0,24.0,2023-12-14,,,DEN,"L, 101-124",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,8.7,-4.0
Jalen Wilson,wilsoja03,2024,5,5.0,25.0,2023-12-16,,,GSW,"L, 120-124",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,-5.0
Jalen Wilson,wilsoja03,2024,6,6.0,26.0,2023-12-18,,,UTA,"L, 108-125",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.9,4.0
Jalen Wilson,wilsoja03,2024,7,7.0,27.0,2023-12-20,,,NYK,"L, 102-121",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,3.7,-1.0
Jalen Wilson,wilsoja03,2024,8,8.0,29.0,2023-12-23,,,DET,"W, 126-115",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.9,-4.0
Jalen Wilson,wilsoja03,2024,9,9.0,31.0,2023-12-27,,,MIL,"L, 122-144",,,5.0,13.0,0.385,0.0,3.0,0.0,5.0,10.0,0.5,0.385,11.0,11.0,1.0,7.0,3.0,10.0,2.0,0.0,0.0,1.0,4.0,21.0,18.5,-14.0
Jalen Wilson,wilsoja03,2024,10,10.0,34.0,2024-01-02,,,NOP,"L, 85-112",,,4.0,8.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.5,0.0,0.0,,4.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,8.0,9.2,0.0
Jalen Wilson,wilsoja03,2024,11,11.0,35.0,2024-01-03,,,HOU,"L, 101-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0
Jalen Wilson,wilsoja03,2024,12,12.0,50.0,2024-02-06,,,DAL,"L, 107-119",,,3.0,7.0,0.429,2.0,3.0,0.667,1.0,4.0,0.25,0.571,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,10.0,9.9,5.0
Jalen Wilson,wilsoja03,2024,13,13.0,51.0,2024-02-08,,,CLE,"L, 95-118",*,,3.0,8.0,0.375,2.0,3.0,0.667,1.0,5.0,0.2,0.5,0.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,8.0,5.0,-16.0
Jalen Wilson,wilsoja03,2024,14,14.0,52.0,2024-02-10,,,SAS,"W, 123-103",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,4.0,6.0,2.0,0.0,0.0,0.0,4.0,8.0,8.8,14.0
Jalen Wilson,wilsoja03,2024,15,15.0,53.0,2024-02-13,,,BOS,"L, 110-118",,,3.0,4.0,0.75,3.0,3.0,1.0,0.0,1.0,0.0,1.125,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,9.0,10.0,4.0
Jalen Wilson,wilsoja03,2024,16,16.0,54.0,2024-02-14,,,BOS,"L, 86-136",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,-16.0
Jalen Wilson,wilsoja03,2024,17,17.0,55.0,2024-02-22,,,TOR,"L, 93-121",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.9,1.0
Jalen Wilson,wilsoja03,2024,18,18.0,56.0,2024-02-24,,,MIN,"L, 86-101",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Jalen Wilson,wilsoja03,2024,19,19.0,57.0,2024-02-26,,,MEM,"W, 111-86",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3,1.0
Jalen Wilson,wilsoja03,2024,20,20.0,58.0,2024-02-27,,,ORL,"L, 81-108",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,5.0,4.5,-7.0
Jalen Wilson,wilsoja03,2024,21,21.0,59.0,2024-02-29,,,ATL,"W, 124-97",,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,6.0,3.4,10.0
Jalen Wilson,wilsoja03,2024,22,22.0,60.0,2024-03-02,,,ATL,"W, 114-102",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,2.8,0.0
Jalen Wilson,wilsoja03,2024,23,23.0,61.0,2024-03-04,,,MEM,"L, 102-106",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,2.0,2.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,2.0,5.0,5.9,4.0
Jalen Wilson,wilsoja03,2024,24,24.0,62.0,2024-03-05,,,PHI,"W, 112-107",,,2.0,9.0,0.222,0.0,4.0,0.0,2.0,5.0,0.4,0.222,0.0,0.0,,4.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,3.3,5.0
Jalen Wilson,wilsoja03,2024,25,25.0,63.0,2024-03-07,,,DET,"L, 112-118",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.1,-17.0
