player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Santi Aldama,aldamsa01,2025,1,171.0,1.0,2024-10-23,,,UTA,"W, 126-124",*,,10.0,16.0,0.625,5.0,10.0,0.5,5.0,6.0,0.833,0.781,2.0,2.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,2.0,27.0,20.7,8.0
Santi Aldama,aldamsa01,2025,2,172.0,2.0,2024-10-25,,,HOU,"L, 108-128",*,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,2.0,2.0,2.0,2.0,2.8,-13.0
Santi Aldama,aldamsa01,2025,3,173.0,3.0,2024-10-26,,,ORL,"W, 124-111",,,9.0,12.0,0.75,4.0,6.0,0.667,5.0,6.0,0.833,0.917,0.0,0.0,,0.0,7.0,7.0,5.0,0.0,1.0,2.0,0.0,22.0,21.5,8.0
Santi Aldama,aldamsa01,2025,4,174.0,4.0,2024-10-28,,,CHI,"L, 123-126",*,,5.0,13.0,0.385,1.0,5.0,0.2,4.0,8.0,0.5,0.423,0.0,0.0,,4.0,9.0,13.0,7.0,0.0,1.0,1.0,0.0,11.0,14.0,-6.0
Santi Aldama,aldamsa01,2025,5,175.0,5.0,2024-10-30,,,BRK,"L, 106-119",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,0.0,0.0,,0.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,-17.0
Santi Aldama,aldamsa01,2025,6,176.0,6.0,2024-10-31,,,MIL,"W, 122-99",*,,7.0,14.0,0.5,1.0,4.0,0.25,6.0,10.0,0.6,0.536,4.0,4.0,1.0,2.0,7.0,9.0,2.0,1.0,0.0,3.0,1.0,19.0,14.5,9.0
Santi Aldama,aldamsa01,2025,7,177.0,7.0,2024-11-02,,,PHI,"W, 124-107",*,,5.0,12.0,0.417,0.0,5.0,0.0,5.0,7.0,0.714,0.417,0.0,0.0,,1.0,12.0,13.0,4.0,1.0,1.0,1.0,1.0,10.0,11.0,13.0
Santi Aldama,aldamsa01,2025,8,178.0,8.0,2024-11-04,,,BRK,"L, 104-106",*,,4.0,12.0,0.333,0.0,6.0,0.0,4.0,6.0,0.667,0.333,1.0,1.0,1.0,2.0,4.0,6.0,5.0,0.0,0.0,2.0,1.0,9.0,5.9,-6.0
Santi Aldama,aldamsa01,2025,9,179.0,9.0,2024-11-06,,,LAL,"W, 131-114",*,,4.0,10.0,0.4,1.0,5.0,0.2,3.0,5.0,0.6,0.45,2.0,2.0,1.0,3.0,9.0,12.0,3.0,1.0,0.0,0.0,1.0,11.0,13.1,11.0
Santi Aldama,aldamsa01,2025,10,180.0,10.0,2024-11-08,,,WAS,"W, 128-104",*,,5.0,13.0,0.385,0.0,5.0,0.0,5.0,8.0,0.625,0.385,2.0,2.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,1.0,1.0,12.0,9.2,24.0
Santi Aldama,aldamsa01,2025,11,181.0,11.0,2024-11-10,,,POR,"W, 134-89",*,,7.0,11.0,0.636,2.0,4.0,0.5,5.0,7.0,0.714,0.727,0.0,0.0,,1.0,5.0,6.0,6.0,2.0,0.0,2.0,2.0,16.0,16.7,33.0
Santi Aldama,aldamsa01,2025,12,182.0,12.0,2024-11-13,,,LAL,"L, 123-128",*,,6.0,14.0,0.429,2.0,7.0,0.286,4.0,7.0,0.571,0.5,1.0,2.0,0.5,3.0,4.0,7.0,5.0,3.0,1.0,0.0,2.0,15.0,16.9,8.0
Santi Aldama,aldamsa01,2025,13,183.0,13.0,2024-11-15,,,GSW,"L, 118-123",*,,2.0,8.0,0.25,0.0,3.0,0.0,2.0,5.0,0.4,0.25,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,1.2,-10.0
Santi Aldama,aldamsa01,2025,14,184.0,14.0,2024-11-17,,,DEN,"W, 105-90",,,3.0,6.0,0.5,0.0,3.0,0.0,3.0,3.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,6.0,6.7,1.0
