player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Grayson Allen,allengr01,2025,1,340.0,1.0,2024-10-23,,,LAC,"W, 116-113 (OT)",,,2.0,7.0,0.286,2.0,6.0,0.333,0.0,1.0,0.0,0.429,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,8.0,6.2,2.0
Grayson Allen,allengr01,2025,2,341.0,4.0,2024-10-28,,,LAL,"W, 109-105",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,-12.0
Grayson Allen,allengr01,2025,3,342.0,5.0,2024-10-31,,,LAC,"W, 125-119",,,1.0,8.0,0.125,0.0,5.0,0.0,1.0,3.0,0.333,0.125,0.0,0.0,,0.0,5.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,4.0,-1.0
Grayson Allen,allengr01,2025,4,343.0,6.0,2024-11-02,,,POR,"W, 103-97",,,7.0,12.0,0.583,4.0,7.0,0.571,3.0,5.0,0.6,0.75,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,18.0,13.1,5.0
Grayson Allen,allengr01,2025,5,344.0,7.0,2024-11-04,,,PHI,"W, 118-116",,,3.0,6.0,0.5,2.0,4.0,0.5,1.0,2.0,0.5,0.667,6.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,14.0,11.6,-2.0
Grayson Allen,allengr01,2025,6,345.0,8.0,2024-11-06,,,MIA,"W, 115-112",,,3.0,10.0,0.3,3.0,9.0,0.333,0.0,1.0,0.0,0.45,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,12.0,5.4,1.0
Grayson Allen,allengr01,2025,7,346.0,9.0,2024-11-08,,,DAL,"W, 114-113",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,-0.1,6.0
Grayson Allen,allengr01,2025,8,347.0,10.0,2024-11-10,,,SAC,"L, 118-127 (OT)",,,3.0,13.0,0.231,3.0,11.0,0.273,0.0,2.0,0.0,0.346,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,9.0,1.1,-1.0
Grayson Allen,allengr01,2025,9,348.0,11.0,2024-11-12,,,UTA,"W, 120-112",,,5.0,10.0,0.5,4.0,9.0,0.444,1.0,1.0,1.0,0.7,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,8.9,12.0
Grayson Allen,allengr01,2025,10,349.0,14.0,2024-11-17,,,MIN,"L, 117-120",,,6.0,10.0,0.6,4.0,7.0,0.571,2.0,3.0,0.667,0.8,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,2.0,18.0,13.2,-6.0
Grayson Allen,allengr01,2025,11,350.0,15.0,2024-11-18,,,ORL,"L, 99-109",,,5.0,10.0,0.5,4.0,9.0,0.444,1.0,1.0,1.0,0.7,3.0,7.0,0.429,0.0,4.0,4.0,1.0,0.0,0.0,4.0,4.0,17.0,6.7,-7.0
Grayson Allen,allengr01,2025,12,351.0,16.0,2024-11-20,,,NYK,"L, 122-138",,,2.0,9.0,0.222,1.0,8.0,0.125,1.0,1.0,1.0,0.278,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,8.0,1.1,-14.0
Grayson Allen,allengr01,2025,13,352.0,17.0,2024-11-26,,,LAL,"W, 127-100",,,4.0,10.0,0.4,2.0,6.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,10.0,6.6,11.0
Grayson Allen,allengr01,2025,14,353.0,18.0,2024-11-27,,,BRK,"L, 117-127",,,4.0,8.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,0.563,0.0,1.0,0.0,0.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,9.0,7.3,-1.0
Grayson Allen,allengr01,2025,15,354.0,19.0,2024-11-30,,,GSW,"W, 113-105",*,,4.0,8.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,0.688,6.0,6.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,17.0,16.7,-4.0
Grayson Allen,allengr01,2025,16,355.0,20.0,2024-12-03,,,SAS,"W, 104-93",,,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.4,4.0,4.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,8.0,8.5,-7.0
Grayson Allen,allengr01,2025,17,356.0,21.0,2024-12-05,,,NOP,"L, 124-126",,,4.0,7.0,0.571,3.0,5.0,0.6,1.0,2.0,0.5,0.786,2.0,2.0,1.0,0.0,6.0,6.0,10.0,0.0,1.0,1.0,1.0,13.0,17.8,-9.0
Grayson Allen,allengr01,2025,18,357.0,22.0,2024-12-07,,,MIA,"L, 111-121",,,5.0,10.0,0.5,5.0,9.0,0.556,0.0,1.0,0.0,0.75,1.0,2.0,0.5,1.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,16.0,15.0,8.0
Grayson Allen,allengr01,2025,19,358.0,23.0,2024-12-08,,,ORL,"L, 110-115",,,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.333,5.0,5.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,3.0,2.0,13.0,12.3,-5.0
Grayson Allen,allengr01,2025,20,359.0,24.0,2024-12-13,,,UTA,"W, 134-126",,,3.0,8.0,0.375,2.0,5.0,0.4,1.0,3.0,0.333,0.5,0.0,0.0,,1.0,3.0,4.0,2.0,2.0,0.0,0.0,1.0,8.0,8.2,5.0
Grayson Allen,allengr01,2025,21,360.0,25.0,2024-12-15,,,POR,"W, 116-109",,,4.0,13.0,0.308,4.0,9.0,0.444,0.0,4.0,0.0,0.462,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,12.0,5.6,11.0
Grayson Allen,allengr01,2025,22,361.0,26.0,2024-12-19,,,IND,"L, 111-120",,,3.0,9.0,0.333,0.0,3.0,0.0,3.0,6.0,0.5,0.333,2.0,2.0,1.0,3.0,7.0,10.0,0.0,2.0,1.0,0.0,2.0,8.0,9.0,19.0
Grayson Allen,allengr01,2025,23,362.0,27.0,2024-12-21,,,DET,"L, 125-133",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,3.6,2.0
Grayson Allen,allengr01,2025,24,363.0,33.0,2025-01-04,,,IND,"L, 108-126",,,5.0,10.0,0.5,3.0,7.0,0.429,2.0,3.0,0.667,0.65,0.0,0.0,,0.0,4.0,4.0,6.0,0.0,1.0,1.0,2.0,13.0,12.3,-12.0
Grayson Allen,allengr01,2025,25,364.0,34.0,2025-01-06,,,PHI,"W, 109-99",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,4.2,3.0
Grayson Allen,allengr01,2025,26,365.0,35.0,2025-01-07,,,CHO,"L, 104-115",,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,9.0,6.9,-17.0
Grayson Allen,allengr01,2025,27,366.0,36.0,2025-01-09,,,ATL,"W, 123-115",,,7.0,8.0,0.875,5.0,6.0,0.833,2.0,2.0,1.0,1.188,4.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,23.0,19.1,3.0
Grayson Allen,allengr01,2025,28,367.0,37.0,2025-01-11,,,UTA,"W, 114-106",,,5.0,11.0,0.455,4.0,10.0,0.4,1.0,1.0,1.0,0.636,0.0,0.0,,0.0,4.0,4.0,4.0,2.0,0.0,1.0,1.0,14.0,12.9,11.0
Grayson Allen,allengr01,2025,29,368.0,38.0,2025-01-12,,,CHO,"W, 120-113",,,4.0,7.0,0.571,3.0,6.0,0.5,1.0,1.0,1.0,0.786,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,12.0,7.0
Grayson Allen,allengr01,2025,30,369.0,39.0,2025-01-14,,,ATL,"L, 117-122",,,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,1.125,0.0,0.0,,0.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,9.0,8.8,-11.0
Grayson Allen,allengr01,2025,31,370.0,40.0,2025-01-16,,,WAS,"W, 130-123",,,8.0,12.0,0.667,5.0,7.0,0.714,3.0,5.0,0.6,0.875,0.0,0.0,,0.0,5.0,5.0,0.0,3.0,0.0,2.0,1.0,21.0,17.9,6.0
Grayson Allen,allengr01,2025,32,371.0,41.0,2025-01-18,,,DET,"W, 125-121",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,4.0,4.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,4.0,7.0,4.4,3.0
Grayson Allen,allengr01,2025,33,372.0,42.0,2025-01-20,,,CLE,"L, 92-118",,,3.0,5.0,0.6,2.0,4.0,0.5,1.0,1.0,1.0,0.8,2.0,3.0,0.667,0.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,10.0,9.6,-12.0
Grayson Allen,allengr01,2025,34,373.0,43.0,2025-01-22,,,BRK,"W, 108-84",,,2.0,6.0,0.333,2.0,5.0,0.4,0.0,1.0,0.0,0.5,2.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,8.4,9.0
Grayson Allen,allengr01,2025,35,374.0,44.0,2025-01-25,,,WAS,"W, 119-109",,,3.0,9.0,0.333,2.0,7.0,0.286,1.0,2.0,0.5,0.444,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,8.0,4.6,0.0
Grayson Allen,allengr01,2025,36,375.0,45.0,2025-01-27,,,LAC,"W, 111-109",,,6.0,10.0,0.6,4.0,7.0,0.571,2.0,3.0,0.667,0.8,2.0,4.0,0.5,0.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,18.0,16.1,12.0
Grayson Allen,allengr01,2025,37,376.0,46.0,2025-01-29,,,MIN,"L, 113-121",,,4.0,7.0,0.571,3.0,6.0,0.5,1.0,1.0,1.0,0.786,0.0,0.0,,2.0,5.0,7.0,1.0,1.0,1.0,2.0,2.0,11.0,10.2,-2.0
Grayson Allen,allengr01,2025,38,377.0,47.0,2025-01-31,,,GSW,"W, 130-105",,,4.0,6.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,0.917,0.0,0.0,,0.0,6.0,6.0,7.0,1.0,0.0,0.0,3.0,11.0,14.9,17.0
Grayson Allen,allengr01,2025,39,378.0,48.0,2025-02-01,,,POR,"L, 108-127",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,0.0,,1.0,3.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,3.5,-6.0
Grayson Allen,allengr01,2025,40,379.0,49.0,2025-02-03,,,POR,"L, 119-121 (OT)",,,4.0,9.0,0.444,3.0,8.0,0.375,1.0,1.0,1.0,0.611,0.0,0.0,,1.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,11.0,10.9,2.0
Grayson Allen,allengr01,2025,41,380.0,50.0,2025-02-05,,,OKC,"L, 109-140",*,,3.0,9.0,0.333,3.0,7.0,0.429,0.0,2.0,0.0,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,9.0,4.6,-14.0
Grayson Allen,allengr01,2025,42,381.0,51.0,2025-02-07,,,UTA,"W, 135-127 (OT)",*,,7.0,19.0,0.368,7.0,14.0,0.5,0.0,5.0,0.0,0.553,0.0,0.0,,2.0,5.0,7.0,6.0,2.0,1.0,0.0,2.0,21.0,19.5,12.0
Grayson Allen,allengr01,2025,43,382.0,53.0,2025-02-11,,,MEM,"L, 112-119",,,3.0,7.0,0.429,1.0,4.0,0.25,2.0,3.0,0.667,0.5,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,9.0,8.0,-2.0
Grayson Allen,allengr01,2025,44,383.0,55.0,2025-02-20,,,SAS,"L, 109-120",,,3.0,10.0,0.3,3.0,9.0,0.333,0.0,1.0,0.0,0.45,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,11.0,5.6,-5.0
Grayson Allen,allengr01,2025,45,384.0,56.0,2025-02-22,,,CHI,"W, 121-117",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,1.0,2.0,0.5,0.0,3.0,3.0,4.0,0.0,0.0,1.0,3.0,3.0,1.7,-6.0
Grayson Allen,allengr01,2025,46,385.0,57.0,2025-02-23,,,TOR,"L, 109-127",,,4.0,6.0,0.667,1.0,2.0,0.5,3.0,4.0,0.75,0.75,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,9.0,6.3,-22.0
Grayson Allen,allengr01,2025,47,386.0,58.0,2025-02-25,,,MEM,"L, 148-151 (OT)",,,6.0,10.0,0.6,6.0,9.0,0.667,0.0,1.0,0.0,0.9,3.0,5.0,0.6,0.0,3.0,3.0,3.0,0.0,1.0,2.0,4.0,21.0,15.7,1.0
Grayson Allen,allengr01,2025,48,387.0,59.0,2025-02-27,,,NOP,"L, 116-124",,,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,-3.6,-22.0
Grayson Allen,allengr01,2025,49,388.0,61.0,2025-03-02,,,MIN,"L, 98-116",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,5.0,4.3,0.0
Grayson Allen,allengr01,2025,50,389.0,62.0,2025-03-04,,,LAC,"W, 119-117",,,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.333,0.0,0.0,,0.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,8.0,10.6,16.0
