player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Cole Anthony,anthoco01,2025,1,254.0,1.0,2024-10-23,,,MIA,"W, 116-97",,,0.0,7.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,6.0,0.0,0.0,2.0,2.0,0.0,-2.6,8.0
Cole Anthony,anthoco01,2025,2,255.0,2.0,2024-10-25,,,BRK,"W, 116-101",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,1.0,2.0,0.5,0.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,4.0,4.8,5.0
Cole Anthony,anthoco01,2025,3,256.0,3.0,2024-10-26,,,MEM,"L, 111-124",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,2.7,-11.0
Cole Anthony,anthoco01,2025,4,257.0,4.0,2024-10-28,,,IND,"W, 119-115",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,3.0,5.0,1.0,0.0,1.0,3.0,2.0,0.0,-2.2,2.0
Cole Anthony,anthoco01,2025,5,258.0,6.0,2024-11-01,,,CLE,"L, 109-120",,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,-0.5,1.0
Cole Anthony,anthoco01,2025,6,259.0,7.0,2024-11-03,,,DAL,"L, 85-108",,,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,2.0,4.0,0.5,0.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,9.0,7.4,2.0
Cole Anthony,anthoco01,2025,7,260.0,8.0,2024-11-04,,,OKC,"L, 86-102",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,1.0
Cole Anthony,anthoco01,2025,8,261.0,10.0,2024-11-08,,,NOP,"W, 115-88",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,1.0,2.0,0.5,0.0,6.0,6.0,2.0,1.0,0.0,1.0,0.0,8.0,8.5,14.0
Cole Anthony,anthoco01,2025,9,262.0,11.0,2024-11-10,,,WAS,"W, 121-94",,,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,1.0,8.0,8.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,16.0,12.6,6.0
Cole Anthony,anthoco01,2025,10,263.0,12.0,2024-11-12,,,CHO,"W, 114-89",,,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,1.0,2.0,0.5,1.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,6.0,4.8,-6.0
Cole Anthony,anthoco01,2025,11,264.0,13.0,2024-11-13,,,IND,"W, 94-90",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.9,-1.0
Cole Anthony,anthoco01,2025,12,265.0,14.0,2024-11-15,,,PHI,"W, 98-86",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.8,-8.0
Cole Anthony,anthoco01,2025,13,266.0,15.0,2024-11-18,,,PHO,"W, 109-99",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.1,-2.0
Cole Anthony,anthoco01,2025,14,267.0,16.0,2024-11-20,,,LAC,"L, 93-104",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0
Cole Anthony,anthoco01,2025,15,268.0,17.0,2024-11-21,,,LAL,"W, 119-118",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-0.4,2.0
Cole Anthony,anthoco01,2025,16,269.0,18.0,2024-11-23,,,DET,"W, 111-100",,,1.0,6.0,0.167,0.0,2.0,0.0,1.0,4.0,0.25,0.167,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,0.1,-5.0
Cole Anthony,anthoco01,2025,17,270.0,19.0,2024-11-25,,,CHO,"W, 95-84",,,6.0,12.0,0.5,2.0,4.0,0.5,4.0,8.0,0.5,0.583,2.0,3.0,0.667,1.0,7.0,8.0,4.0,0.0,0.0,1.0,4.0,16.0,12.6,15.0
Cole Anthony,anthoco01,2025,18,271.0,20.0,2024-11-27,,,CHI,"W, 133-119",,,3.0,6.0,0.5,1.0,3.0,0.333,2.0,3.0,0.667,0.583,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,9.0,5.2,-7.0
Cole Anthony,anthoco01,2025,19,272.0,21.0,2024-11-29,,,BRK,"W, 123-100",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.4,2.0
Cole Anthony,anthoco01,2025,20,273.0,22.0,2024-12-01,,,BRK,"W, 100-92",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.3,-6.0
Cole Anthony,anthoco01,2025,21,274.0,23.0,2024-12-03,,,NYK,"L, 106-121",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,3.0,3.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,4.0,10.0,7.1,2.0
Cole Anthony,anthoco01,2025,22,275.0,25.0,2024-12-06,,,PHI,"L, 94-102",,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,1.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,6.0,5.8,3.0
Cole Anthony,anthoco01,2025,23,276.0,26.0,2024-12-08,,,PHO,"W, 115-110",,,6.0,14.0,0.429,2.0,6.0,0.333,4.0,8.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,14.0,7.5,17.0
Cole Anthony,anthoco01,2025,24,277.0,27.0,2024-12-10,,,MIL,"L, 109-114",,,2.0,12.0,0.167,0.0,3.0,0.0,2.0,9.0,0.222,0.167,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,-2.2,-12.0
Cole Anthony,anthoco01,2025,25,278.0,28.0,2024-12-15,,,NYK,"L, 91-100",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,4.0,6.8,1.0
Cole Anthony,anthoco01,2025,26,279.0,29.0,2024-12-19,,,OKC,"L, 99-105",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,3.0,-1.2,-21.0
Cole Anthony,anthoco01,2025,27,280.0,30.0,2024-12-21,,,MIA,"W, 121-114",,,13.0,25.0,0.52,2.0,8.0,0.25,11.0,17.0,0.647,0.56,7.0,7.0,1.0,3.0,5.0,8.0,9.0,1.0,1.0,2.0,3.0,35.0,31.1,17.0
Cole Anthony,anthoco01,2025,28,281.0,31.0,2024-12-23,,,BOS,"W, 108-104",,,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,2.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,5.0,5.0,10.0,2.4,6.0
Cole Anthony,anthoco01,2025,29,282.0,32.0,2024-12-26,,,MIA,"L, 88-89",,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,-6.1,-3.0
Cole Anthony,anthoco01,2025,30,283.0,33.0,2024-12-27,,,NYK,"L, 85-108",,,2.0,5.0,0.4,1.0,1.0,1.0,1.0,4.0,0.25,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.6,-8.0
Cole Anthony,anthoco01,2025,31,284.0,34.0,2024-12-29,,,BRK,"W, 102-101",,,3.0,11.0,0.273,2.0,6.0,0.333,1.0,5.0,0.2,0.364,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,10.0,6.1,17.0
Cole Anthony,anthoco01,2025,32,285.0,35.0,2025-01-01,,,DET,"L, 96-105",,,3.0,12.0,0.25,0.0,3.0,0.0,3.0,9.0,0.333,0.25,2.0,3.0,0.667,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,8.0,2.3,1.0
Cole Anthony,anthoco01,2025,33,286.0,36.0,2025-01-03,,,TOR,"W, 106-97",,,4.0,11.0,0.364,1.0,4.0,0.25,3.0,7.0,0.429,0.409,0.0,0.0,,1.0,3.0,4.0,11.0,1.0,0.0,3.0,3.0,9.0,9.0,13.0
Cole Anthony,anthoco01,2025,34,287.0,37.0,2025-01-05,,,UTA,"L, 92-105",*,,5.0,14.0,0.357,2.0,4.0,0.5,3.0,10.0,0.3,0.429,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,3.0,1.0,5.0,12.0,4.5,-8.0
Cole Anthony,anthoco01,2025,35,288.0,38.0,2025-01-06,,,NYK,"W, 103-94",*,,9.0,18.0,0.5,3.0,6.0,0.5,6.0,12.0,0.5,0.583,3.0,4.0,0.75,2.0,5.0,7.0,4.0,1.0,0.0,2.0,3.0,24.0,18.1,3.0
Cole Anthony,anthoco01,2025,36,289.0,39.0,2025-01-09,,,MIN,"L, 89-104",*,,5.0,13.0,0.385,0.0,3.0,0.0,5.0,10.0,0.5,0.385,2.0,3.0,0.667,0.0,3.0,3.0,5.0,2.0,2.0,4.0,1.0,12.0,7.9,-13.0
Cole Anthony,anthoco01,2025,37,290.0,40.0,2025-01-10,,,MIL,"L, 106-109",*,,5.0,15.0,0.333,3.0,10.0,0.3,2.0,5.0,0.4,0.433,5.0,8.0,0.625,2.0,5.0,7.0,2.0,2.0,1.0,2.0,1.0,18.0,12.9,3.0
