player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Deni Avdija,avdijde01,2025,1,288.0,1.0,2024-10-23,,,GSW,"L, 104-140",*,,4.0,10.0,0.4,0.0,3.0,0.0,4.0,7.0,0.571,0.4,7.0,8.0,0.875,2.0,5.0,7.0,2.0,2.0,2.0,4.0,2.0,15.0,12.1,-13.0
Deni Avdija,avdijde01,2025,2,289.0,2.0,2024-10-25,,,NOP,"L, 103-105",*,,1.0,9.0,0.111,0.0,3.0,0.0,1.0,6.0,0.167,0.111,0.0,0.0,,1.0,5.0,6.0,6.0,1.0,2.0,2.0,1.0,2.0,2.5,2.0
Deni Avdija,avdijde01,2025,3,290.0,3.0,2024-10-27,,,NOP,"W, 125-103",*,,4.0,12.0,0.333,1.0,5.0,0.2,3.0,7.0,0.429,0.375,2.0,2.0,1.0,3.0,3.0,6.0,3.0,1.0,0.0,1.0,3.0,11.0,8.1,21.0
Deni Avdija,avdijde01,2025,4,291.0,4.0,2024-10-28,,,SAC,"L, 98-111",*,,2.0,7.0,0.286,0.0,4.0,0.0,2.0,3.0,0.667,0.286,5.0,6.0,0.833,0.0,4.0,4.0,1.0,2.0,0.0,2.0,2.0,9.0,5.6,-21.0
Deni Avdija,avdijde01,2025,5,292.0,5.0,2024-10-30,,,LAC,"W, 106-105",*,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,6.0,6.0,1.0,0.0,10.0,10.0,2.0,1.0,2.0,2.0,2.0,13.0,12.6,-4.0
Deni Avdija,avdijde01,2025,6,293.0,6.0,2024-11-01,,,OKC,"L, 114-137",*,,5.0,10.0,0.5,1.0,3.0,0.333,4.0,7.0,0.571,0.55,0.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,6.0,2.0,11.0,3.9,-11.0
Deni Avdija,avdijde01,2025,7,294.0,7.0,2024-11-02,,,PHO,"L, 97-103",*,,4.0,12.0,0.333,2.0,5.0,0.4,2.0,7.0,0.286,0.417,3.0,3.0,1.0,2.0,4.0,6.0,2.0,2.0,2.0,1.0,2.0,13.0,11.8,12.0
Deni Avdija,avdijde01,2025,8,295.0,8.0,2024-11-04,,,NOP,"W, 118-100",*,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,3.0,4.0,0.75,2.0,4.0,6.0,3.0,0.0,0.0,0.0,2.0,7.0,7.8,-7.0
Deni Avdija,avdijde01,2025,9,296.0,9.0,2024-11-07,,,SAS,"L, 105-118",*,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,2.0,5.0,0.4,2.0,5.0,7.0,5.0,0.0,0.0,1.0,0.0,9.0,10.9,-4.0
Deni Avdija,avdijde01,2025,10,297.0,10.0,2024-11-08,,,MIN,"L, 102-127",*,,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,1.0,3.0,0.333,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,9.0,5.3,-26.0
Deni Avdija,avdijde01,2025,11,298.0,11.0,2024-11-10,,,MEM,"L, 89-134",,,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,4.0,0.0,1.0,2.0,1.0,0.0,-1.4,-14.0
Deni Avdija,avdijde01,2025,12,299.0,12.0,2024-11-12,,,MIN,"W, 122-108",,,4.0,10.0,0.4,3.0,6.0,0.5,1.0,4.0,0.25,0.55,6.0,6.0,1.0,0.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,17.0,16.2,5.0
Deni Avdija,avdijde01,2025,13,300.0,13.0,2024-11-13,,,MIN,"W, 106-98",,,1.0,5.0,0.2,1.0,2.0,0.5,0.0,3.0,0.0,0.3,4.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,0.0,3.0,2.0,7.0,3.6,15.0
