player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Desmond Bane,banede01,2025,1,245.0,1.0,2024-10-23,,,UTA,"W, 126-124",*,,8.0,20.0,0.4,4.0,10.0,0.4,4.0,10.0,0.4,0.5,4.0,4.0,1.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,24.0,16.3,-8.0
Desmond Bane,banede01,2025,2,246.0,2.0,2024-10-25,,,HOU,"L, 108-128",*,,8.0,16.0,0.5,0.0,4.0,0.0,8.0,12.0,0.667,0.5,1.0,2.0,0.5,1.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,17.0,12.9,-12.0
Desmond Bane,banede01,2025,3,247.0,3.0,2024-10-26,,,ORL,"W, 124-111",*,,5.0,10.0,0.5,2.0,6.0,0.333,3.0,4.0,0.75,0.6,1.0,1.0,1.0,1.0,6.0,7.0,2.0,2.0,0.0,3.0,4.0,13.0,9.3,7.0
Desmond Bane,banede01,2025,4,248.0,4.0,2024-10-28,,,CHI,"L, 123-126",*,,11.0,19.0,0.579,6.0,10.0,0.6,5.0,9.0,0.556,0.737,2.0,2.0,1.0,2.0,5.0,7.0,4.0,0.0,0.0,1.0,3.0,30.0,24.6,2.0
Desmond Bane,banede01,2025,5,249.0,5.0,2024-10-30,,,BRK,"L, 106-119",*,,3.0,7.0,0.429,1.0,2.0,0.5,2.0,5.0,0.4,0.5,3.0,3.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,2.0,1.0,10.0,6.1,-10.0
Desmond Bane,banede01,2025,6,250.0,13.0,2024-11-15,,,GSW,"L, 118-123",,,7.0,13.0,0.538,1.0,4.0,0.25,6.0,9.0,0.667,0.577,3.0,4.0,0.75,1.0,5.0,6.0,2.0,2.0,0.0,3.0,1.0,18.0,13.5,12.0
Desmond Bane,banede01,2025,7,251.0,14.0,2024-11-17,,,DEN,"W, 105-90",*,,5.0,12.0,0.417,1.0,7.0,0.143,4.0,5.0,0.8,0.458,0.0,0.0,,1.0,10.0,11.0,7.0,0.0,1.0,2.0,1.0,11.0,11.5,14.0
Desmond Bane,banede01,2025,8,252.0,15.0,2024-11-19,,,DEN,"L, 110-122",*,,1.0,10.0,0.1,0.0,5.0,0.0,1.0,5.0,0.2,0.1,3.0,5.0,0.6,0.0,5.0,5.0,5.0,1.0,0.0,2.0,5.0,5.0,-0.4,-24.0
Desmond Bane,banede01,2025,9,253.0,16.0,2024-11-20,,,PHI,"W, 117-111",*,,8.0,18.0,0.444,5.0,11.0,0.455,3.0,7.0,0.429,0.583,0.0,0.0,,1.0,9.0,10.0,6.0,1.0,1.0,4.0,2.0,21.0,16.1,14.0
Desmond Bane,banede01,2025,10,254.0,17.0,2024-11-23,,,CHI,"W, 142-131",*,,4.0,14.0,0.286,1.0,5.0,0.2,3.0,9.0,0.333,0.321,4.0,6.0,0.667,2.0,5.0,7.0,2.0,0.0,1.0,2.0,1.0,13.0,6.6,5.0
Desmond Bane,banede01,2025,11,255.0,18.0,2024-11-25,,,POR,"W, 123-98",*,,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,0.313,3.0,4.0,0.75,0.0,7.0,7.0,2.0,0.0,1.0,2.0,3.0,8.0,3.8,9.0
Desmond Bane,banede01,2025,12,256.0,19.0,2024-11-27,,,DET,"W, 131-111",*,,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,0.0,0.0,,1.0,6.0,7.0,7.0,1.0,0.0,5.0,1.0,2.0,1.2,6.0
Desmond Bane,banede01,2025,13,257.0,20.0,2024-11-29,,,NOP,"W, 120-109",*,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,0.0,0.0,,0.0,3.0,3.0,4.0,1.0,0.0,1.0,4.0,7.0,4.7,11.0
Desmond Bane,banede01,2025,14,258.0,21.0,2024-12-01,,,IND,"W, 136-121",*,,7.0,15.0,0.467,2.0,8.0,0.25,5.0,7.0,0.714,0.533,0.0,0.0,,0.0,6.0,6.0,6.0,1.0,0.0,1.0,4.0,16.0,12.7,18.0
Desmond Bane,banede01,2025,15,259.0,22.0,2024-12-03,,,DAL,"L, 116-121",*,,8.0,14.0,0.571,2.0,5.0,0.4,6.0,9.0,0.667,0.643,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,5.0,19.0,13.5,-1.0
Desmond Bane,banede01,2025,16,260.0,23.0,2024-12-05,,,SAC,"W, 115-110",*,,6.0,10.0,0.6,2.0,4.0,0.5,4.0,6.0,0.667,0.7,4.0,4.0,1.0,2.0,6.0,8.0,7.0,1.0,0.0,3.0,2.0,18.0,18.7,15.0
Desmond Bane,banede01,2025,17,261.0,24.0,2024-12-07,,,BOS,"W, 127-121",*,,5.0,12.0,0.417,2.0,5.0,0.4,3.0,7.0,0.429,0.5,2.0,2.0,1.0,0.0,2.0,2.0,4.0,3.0,0.0,4.0,2.0,14.0,9.2,17.0
