player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Scottie Barnes,barnesc01,2025,1,212.0,1.0,2024-10-23,,,CLE,"L, 106-136",*,,3.0,14.0,0.214,0.0,2.0,0.0,3.0,12.0,0.25,0.214,3.0,4.0,0.75,3.0,3.0,6.0,5.0,0.0,0.0,2.0,5.0,9.0,2.5,-33.0
Scottie Barnes,barnesc01,2025,2,213.0,2.0,2024-10-25,,,PHI,"W, 115-107",*,,8.0,11.0,0.727,0.0,2.0,0.0,8.0,9.0,0.889,0.727,11.0,13.0,0.846,2.0,3.0,5.0,4.0,2.0,1.0,4.0,2.0,27.0,24.7,-1.0
Scottie Barnes,barnesc01,2025,3,214.0,3.0,2024-10-26,,,MIN,"L, 101-112",*,,9.0,19.0,0.474,1.0,4.0,0.25,8.0,15.0,0.533,0.5,1.0,2.0,0.5,3.0,5.0,8.0,6.0,1.0,0.0,6.0,4.0,20.0,11.1,-13.0
Scottie Barnes,barnesc01,2025,4,215.0,4.0,2024-10-28,,,DEN,"L, 125-127 (OT)",*,,9.0,19.0,0.474,1.0,3.0,0.333,8.0,16.0,0.5,0.5,2.0,4.0,0.5,2.0,10.0,12.0,9.0,5.0,1.0,4.0,1.0,21.0,22.5,-2.0
Scottie Barnes,barnesc01,2025,5,216.0,16.0,2024-11-21,,,MIN,"W, 110-105",*,,5.0,11.0,0.455,2.0,5.0,0.4,3.0,6.0,0.5,0.545,5.0,6.0,0.833,0.0,3.0,3.0,6.0,1.0,0.0,2.0,2.0,17.0,14.2,-2.0
Scottie Barnes,barnesc01,2025,6,217.0,17.0,2024-11-24,,,CLE,"L, 108-122",*,,5.0,14.0,0.357,1.0,6.0,0.167,4.0,8.0,0.5,0.393,7.0,12.0,0.583,1.0,6.0,7.0,7.0,3.0,1.0,1.0,1.0,18.0,17.9,-9.0
Scottie Barnes,barnesc01,2025,7,218.0,18.0,2024-11-25,,,DET,"L, 100-102",*,,12.0,26.0,0.462,3.0,8.0,0.375,9.0,18.0,0.5,0.519,4.0,5.0,0.8,7.0,7.0,14.0,7.0,1.0,1.0,1.0,0.0,31.0,29.8,-2.0
Scottie Barnes,barnesc01,2025,8,219.0,19.0,2024-11-27,,,NOP,"W, 119-93",*,,7.0,23.0,0.304,2.0,12.0,0.167,5.0,11.0,0.455,0.348,1.0,2.0,0.5,4.0,8.0,12.0,7.0,0.0,1.0,5.0,2.0,17.0,8.3,33.0
Scottie Barnes,barnesc01,2025,9,220.0,20.0,2024-11-29,,,MIA,"L, 111-121",*,,8.0,15.0,0.533,3.0,8.0,0.375,5.0,7.0,0.714,0.633,5.0,6.0,0.833,1.0,9.0,10.0,10.0,1.0,1.0,5.0,1.0,24.0,23.0,0.0
Scottie Barnes,barnesc01,2025,10,221.0,21.0,2024-12-01,,,MIA,"W, 119-116",*,,9.0,17.0,0.529,2.0,5.0,0.4,7.0,12.0,0.583,0.588,3.0,5.0,0.6,1.0,9.0,10.0,9.0,0.0,0.0,4.0,2.0,23.0,18.8,-12.0
Scottie Barnes,barnesc01,2025,11,222.0,22.0,2024-12-03,,,IND,"W, 122-111",*,,13.0,20.0,0.65,3.0,7.0,0.429,10.0,13.0,0.769,0.725,6.0,8.0,0.75,0.0,6.0,6.0,9.0,1.0,1.0,7.0,3.0,35.0,27.0,18.0
Scottie Barnes,barnesc01,2025,12,223.0,23.0,2024-12-05,,,OKC,"L, 92-129",*,,5.0,13.0,0.385,2.0,7.0,0.286,3.0,6.0,0.5,0.462,0.0,0.0,,3.0,9.0,12.0,8.0,0.0,2.0,4.0,1.0,12.0,12.3,-21.0
Scottie Barnes,barnesc01,2025,13,224.0,24.0,2024-12-07,,,DAL,"L, 118-125",*,,8.0,17.0,0.471,3.0,7.0,0.429,5.0,10.0,0.5,0.559,0.0,0.0,,2.0,6.0,8.0,14.0,3.0,1.0,3.0,1.0,19.0,23.6,10.0
Scottie Barnes,barnesc01,2025,14,225.0,25.0,2024-12-09,,,NYK,"L, 108-113",*,,5.0,11.0,0.455,3.0,8.0,0.375,2.0,3.0,0.667,0.591,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,2.0,2.0,15.0,10.1,5.0
Scottie Barnes,barnesc01,2025,15,226.0,28.0,2024-12-19,,,BRK,"L, 94-101",*,,5.0,11.0,0.455,2.0,6.0,0.333,3.0,5.0,0.6,0.545,4.0,5.0,0.8,0.0,3.0,3.0,6.0,0.0,2.0,3.0,4.0,16.0,11.8,1.0
