player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Matas Buzelis,buzelma01,2025,1,1.0,1.0,2024-10-23,,,NOP,"L, 111-123",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.2,8.0
Matas Buzelis,buzelma01,2025,2,2.0,2.0,2024-10-25,,,MIL,"W, 133-122",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.9,-6.0
Matas Buzelis,buzelma01,2025,3,3.0,3.0,2024-10-26,,,OKC,"L, 95-114",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.2,1.0
Matas Buzelis,buzelma01,2025,4,4.0,4.0,2024-10-28,,,MEM,"W, 126-123",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-6.0
Matas Buzelis,buzelma01,2025,5,5.0,5.0,2024-10-30,,,ORL,"W, 102-99",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
Matas Buzelis,buzelma01,2025,6,6.0,7.0,2024-11-04,,,UTA,"L, 126-135",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-10.0
Matas Buzelis,buzelma01,2025,7,7.0,8.0,2024-11-06,,,DAL,"L, 99-119",,,4.0,9.0,0.444,3.0,4.0,0.75,1.0,5.0,0.2,0.611,2.0,2.0,1.0,3.0,6.0,9.0,0.0,2.0,1.0,1.0,0.0,13.0,13.9,-2.0
Matas Buzelis,buzelma01,2025,8,8.0,9.0,2024-11-07,,,MIN,"L, 119-135",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,1.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,2.6,2.0
Matas Buzelis,buzelma01,2025,9,9.0,10.0,2024-11-09,,,ATL,"W, 125-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,-3.3,-8.0
Matas Buzelis,buzelma01,2025,10,10.0,11.0,2024-11-11,,,CLE,"L, 113-119",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.8,0.0
Matas Buzelis,buzelma01,2025,11,11.0,12.0,2024-11-13,,,NYK,"W, 124-123",,,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,3.5,-10.0
