player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Branden Carlson,carlsbr01,2025,1,1.0,17.0,2024-11-25,,,SAC,"W, 130-109",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.7,2.0
Branden Carlson,carlsbr01,2025,2,2.0,19.0,2024-11-29,,,LAL,"W, 101-93",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Branden Carlson,carlsbr01,2025,3,3.0,21.0,2024-12-03,,,UTA,"W, 133-106",,,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.4,2.0
Branden Carlson,carlsbr01,2025,4,4.0,22.0,2024-12-05,,,TOR,"W, 129-92",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,10.0
Branden Carlson,carlsbr01,2025,5,5.0,24.0,2024-12-10,,,DAL,"W, 118-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Branden Carlson,carlsbr01,2025,6,6.0,31.0,2024-12-29,,,MEM,"W, 130-106",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4,-3.0
Branden Carlson,carlsbr01,2025,7,7.0,33.0,2025-01-02,,,LAC,"W, 116-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
Branden Carlson,carlsbr01,2025,8,8.0,37.0,2025-01-10,,,NYK,"W, 126-101",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,-3.0
Branden Carlson,carlsbr01,2025,9,9.0,38.0,2025-01-12,,,WAS,"W, 136-95",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0,4.2,4.0
Branden Carlson,carlsbr01,2025,10,10.0,39.0,2025-01-14,,,PHI,"W, 118-102",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.3,1.0
Branden Carlson,carlsbr01,2025,11,11.0,40.0,2025-01-16,,,CLE,"W, 134-114",,,4.0,8.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,0.688,0.0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,11.0,8.5,0.0
Branden Carlson,carlsbr01,2025,12,12.0,41.0,2025-01-17,,,DAL,"L, 98-106",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,5.0
Branden Carlson,carlsbr01,2025,13,13.0,42.0,2025-01-19,,,BRK,"W, 127-101",,,3.0,6.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.667,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,1.0,0.0,1.0,8.0,9.2,7.0
Branden Carlson,carlsbr01,2025,14,14.0,43.0,2025-01-22,,,UTA,"W, 123-114",,,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,4.9,9.0
Branden Carlson,carlsbr01,2025,15,15.0,44.0,2025-01-23,,,DAL,"L, 115-121",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,6.0
Branden Carlson,carlsbr01,2025,16,16.0,50.0,2025-02-07,,,TOR,"W, 121-109",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-5.0
Branden Carlson,carlsbr01,2025,17,17.0,51.0,2025-02-08,,,MEM,"W, 125-112",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Branden Carlson,carlsbr01,2025,18,18.0,52.0,2025-02-10,,,NOP,"W, 137-101",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.3,4.0
Branden Carlson,carlsbr01,2025,19,19.0,55.0,2025-02-21,,,UTA,"W, 130-107",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.7,1.0
Branden Carlson,carlsbr01,2025,20,20.0,63.0,2025-03-07,,,POR,"W, 107-89",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,1.8,-20.0
Branden Carlson,carlsbr01,2025,21,21.0,69.0,2025-03-19,,,PHI,"W, 133-100",,,6.0,10.0,0.6,3.0,7.0,0.429,3.0,3.0,1.0,0.75,1.0,3.0,0.333,4.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,16.0,17.0,1.0
Branden Carlson,carlsbr01,2025,22,22.0,70.0,2025-03-21,,,CHO,"W, 141-106",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,9.0
Branden Carlson,carlsbr01,2025,23,23.0,72.0,2025-03-25,,,SAC,"W, 121-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0
Branden Carlson,carlsbr01,2025,24,24.0,73.0,2025-03-27,,,MEM,"W, 125-104",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
Branden Carlson,carlsbr01,2025,25,25.0,74.0,2025-03-29,,,IND,"W, 132-111",,,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.2,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,4.0,4.2,2.0
Branden Carlson,carlsbr01,2025,26,26.0,75.0,2025-03-31,,,CHI,"W, 145-117",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.4,-5.0
Branden Carlson,carlsbr01,2025,27,27.0,76.0,2025-04-02,,,DET,"W, 119-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Branden Carlson,carlsbr01,2025,28,28.0,77.0,2025-04-04,,,HOU,"L, 111-125",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0
Branden Carlson,carlsbr01,2025,29,29.0,79.0,2025-04-08,,,LAL,"W, 136-120",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
Branden Carlson,carlsbr01,2025,30,30.0,80.0,2025-04-09,,,PHO,"W, 125-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
