player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jaylen Clark,clarkja01,2025,1,1.0,37.0,2025-01-09,,,ORL,"W, 104-89",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-5.0
Jaylen Clark,clarkja01,2025,2,2.0,39.0,2025-01-13,,,WAS,"W, 120-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Jaylen Clark,clarkja01,2025,3,3.0,41.0,2025-01-17,,,NYK,"W, 116-99",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jaylen Clark,clarkja01,2025,4,4.0,45.0,2025-01-25,,,DEN,"W, 133-104",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,1.0
Jaylen Clark,clarkja01,2025,5,5.0,47.0,2025-01-29,,,PHO,"W, 121-113",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.9,9.0
Jaylen Clark,clarkja01,2025,6,6.0,48.0,2025-01-30,,,UTA,"W, 138-113",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,1.0,2.0,0.5,0.0,3.0,3.0,2.0,2.0,0.0,0.0,5.0,6.0,6.6,34.0
Jaylen Clark,clarkja01,2025,7,7.0,49.0,2025-02-01,,,WAS,"L, 103-105",,,4.0,9.0,0.444,1.0,4.0,0.25,3.0,5.0,0.6,0.5,0.0,0.0,,3.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,9.0,6.5,-11.0
Jaylen Clark,clarkja01,2025,8,8.0,50.0,2025-02-03,,,SAC,"L, 114-116",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,4.6,0.0
Jaylen Clark,clarkja01,2025,9,9.0,51.0,2025-02-05,,,CHI,"W, 127-108",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,5.0,3.6,7.0
Jaylen Clark,clarkja01,2025,10,10.0,52.0,2025-02-06,,,HOU,"W, 127-114",,,5.0,9.0,0.556,4.0,6.0,0.667,1.0,3.0,0.333,0.778,3.0,4.0,0.75,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,17.0,14.3,-8.0
