player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Pacome Dadiet,dadiepa01,2025,1,1.0,1.0,2024-10-22,,,BOS,"L, 109-132",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2,10.0
Pacome Dadiet,dadiepa01,2025,2,2.0,2.0,2024-10-25,,,IND,"W, 123-98",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.8,-3.0
Pacome Dadiet,dadiepa01,2025,3,3.0,5.0,2024-11-01,,,DET,"W, 128-98",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Pacome Dadiet,dadiepa01,2025,4,4.0,8.0,2024-11-08,,,MIL,"W, 116-94",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
Pacome Dadiet,dadiepa01,2025,5,5.0,12.0,2024-11-15,,,BRK,"W, 124-122",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,2.0,2.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,7.6,0.0
Pacome Dadiet,dadiepa01,2025,6,6.0,13.0,2024-11-17,,,BRK,"W, 114-104",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,-0.5,9.0
Pacome Dadiet,dadiepa01,2025,7,7.0,14.0,2024-11-18,,,WAS,"W, 134-106",,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,9.0,7.2,6.0
Pacome Dadiet,dadiepa01,2025,8,8.0,15.0,2024-11-20,,,PHO,"W, 138-122",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
Pacome Dadiet,dadiepa01,2025,9,9.0,16.0,2024-11-23,,,UTA,"L, 106-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Pacome Dadiet,dadiepa01,2025,10,10.0,17.0,2024-11-25,,,DEN,"W, 145-118",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,2.0
Pacome Dadiet,dadiepa01,2025,11,11.0,21.0,2024-12-03,,,ORL,"W, 121-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-6.0
Pacome Dadiet,dadiepa01,2025,12,12.0,27.0,2024-12-19,,,MIN,"W, 133-107",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-9.0
Pacome Dadiet,dadiepa01,2025,13,13.0,43.0,2025-01-17,,,MIN,"L, 99-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Pacome Dadiet,dadiepa01,2025,14,14.0,56.0,2025-02-21,,,CLE,"L, 105-142",,,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,4.2,-6.0
Pacome Dadiet,dadiepa01,2025,15,15.0,67.0,2025-03-17,,,MIA,"W, 116-95",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-2.0
Pacome Dadiet,dadiepa01,2025,16,16.0,71.0,2025-03-25,,,DAL,"W, 128-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-4.0
Pacome Dadiet,dadiepa01,2025,17,17.0,74.0,2025-03-30,,,POR,"W, 110-93",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacome Dadiet,dadiepa01,2025,18,18.0,82.0,2025-04-13,,,BRK,"W, 113-105",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,2.0,3.0,0.667,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,2.9,-3.0
