player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kevin Durant,duranke01,2025,1,1062.0,1.0,2024-10-23,,,LAC,"W, 116-113 (OT)",*,,8.0,17.0,0.471,2.0,5.0,0.4,6.0,12.0,0.5,0.529,7.0,9.0,0.778,0.0,7.0,7.0,0.0,3.0,1.0,7.0,4.0,25.0,12.7,-2.0
Kevin Durant,duranke01,2025,2,1063.0,2.0,2024-10-25,,,LAL,"L, 116-123",*,,11.0,17.0,0.647,2.0,3.0,0.667,9.0,14.0,0.643,0.706,6.0,7.0,0.857,0.0,4.0,4.0,6.0,0.0,1.0,3.0,3.0,30.0,24.0,-13.0
Kevin Durant,duranke01,2025,3,1064.0,3.0,2024-10-26,,,DAL,"W, 114-102",*,,10.0,21.0,0.476,4.0,8.0,0.5,6.0,13.0,0.462,0.571,7.0,9.0,0.778,0.0,9.0,9.0,2.0,1.0,1.0,1.0,0.0,31.0,24.3,11.0
Kevin Durant,duranke01,2025,4,1065.0,4.0,2024-10-28,,,LAL,"W, 109-105",*,,11.0,20.0,0.55,2.0,6.0,0.333,9.0,14.0,0.643,0.6,6.0,7.0,0.857,0.0,8.0,8.0,4.0,0.0,4.0,2.0,2.0,30.0,25.2,-6.0
Kevin Durant,duranke01,2025,5,1066.0,5.0,2024-10-31,,,LAC,"W, 125-119",*,,7.0,13.0,0.538,2.0,4.0,0.5,5.0,9.0,0.556,0.615,2.0,3.0,0.667,0.0,5.0,5.0,4.0,1.0,2.0,4.0,1.0,18.0,13.6,-2.0
Kevin Durant,duranke01,2025,6,1067.0,6.0,2024-11-02,,,POR,"W, 103-97",*,,7.0,16.0,0.438,3.0,8.0,0.375,4.0,8.0,0.5,0.531,4.0,5.0,0.8,1.0,8.0,9.0,2.0,0.0,0.0,3.0,1.0,21.0,13.3,9.0
Kevin Durant,duranke01,2025,7,1068.0,7.0,2024-11-04,,,PHI,"W, 118-116",*,,14.0,20.0,0.7,2.0,5.0,0.4,12.0,15.0,0.8,0.75,5.0,5.0,1.0,0.0,4.0,4.0,6.0,0.0,1.0,3.0,2.0,35.0,28.9,9.0
Kevin Durant,duranke01,2025,8,1069.0,8.0,2024-11-06,,,MIA,"W, 115-112",*,,13.0,23.0,0.565,4.0,11.0,0.364,9.0,12.0,0.75,0.652,2.0,3.0,0.667,0.0,8.0,8.0,3.0,1.0,1.0,6.0,1.0,32.0,20.5,-1.0
Kevin Durant,duranke01,2025,9,1070.0,9.0,2024-11-08,,,DAL,"W, 114-113",*,,8.0,14.0,0.571,3.0,6.0,0.5,5.0,8.0,0.625,0.679,7.0,7.0,1.0,1.0,4.0,5.0,4.0,1.0,2.0,1.0,2.0,26.0,24.7,11.0
Kevin Durant,duranke01,2025,10,1071.0,17.0,2024-11-26,,,LAL,"W, 127-100",*,,9.0,17.0,0.529,3.0,6.0,0.5,6.0,11.0,0.545,0.618,2.0,2.0,1.0,1.0,5.0,6.0,2.0,0.0,0.0,0.0,2.0,23.0,17.5,21.0
Kevin Durant,duranke01,2025,11,1072.0,18.0,2024-11-27,,,BRK,"L, 117-127",*,,10.0,18.0,0.556,3.0,6.0,0.5,7.0,12.0,0.583,0.639,7.0,10.0,0.7,0.0,8.0,8.0,2.0,0.0,3.0,7.0,3.0,30.0,17.9,-2.0
Kevin Durant,duranke01,2025,12,1073.0,19.0,2024-11-30,,,GSW,"W, 113-105",*,,7.0,20.0,0.35,3.0,8.0,0.375,4.0,12.0,0.333,0.425,4.0,6.0,0.667,0.0,10.0,10.0,3.0,0.0,3.0,3.0,1.0,21.0,12.8,2.0
Kevin Durant,duranke01,2025,13,1074.0,20.0,2024-12-03,,,SAS,"W, 104-93",*,,5.0,8.0,0.625,2.0,2.0,1.0,3.0,6.0,0.5,0.75,1.0,2.0,0.5,0.0,4.0,4.0,2.0,0.0,0.0,3.0,0.0,13.0,8.6,0.0
Kevin Durant,duranke01,2025,14,1075.0,24.0,2024-12-13,,,UTA,"W, 134-126",*,,8.0,17.0,0.471,2.0,5.0,0.4,6.0,12.0,0.5,0.529,12.0,12.0,1.0,0.0,3.0,3.0,8.0,1.0,1.0,1.0,2.0,30.0,27.7,6.0
