player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Darius Garland,garlada01,2025,1,308.0,1.0,2024-10-23,,,TOR,"W, 136-106",*,,3.0,12.0,0.25,1.0,6.0,0.167,2.0,6.0,0.333,0.292,0.0,0.0,,0.0,1.0,1.0,6.0,0.0,0.0,2.0,4.0,7.0,0.7,1.0
Darius Garland,garlada01,2025,2,309.0,2.0,2024-10-25,,,DET,"W, 113-101",*,,5.0,11.0,0.455,3.0,7.0,0.429,2.0,4.0,0.5,0.591,0.0,0.0,,0.0,2.0,2.0,6.0,1.0,0.0,3.0,2.0,13.0,9.3,0.0
Darius Garland,garlada01,2025,3,310.0,3.0,2024-10-26,,,WAS,"W, 135-116",*,,9.0,11.0,0.818,4.0,5.0,0.8,5.0,6.0,0.833,1.0,1.0,1.0,1.0,0.0,2.0,2.0,5.0,2.0,0.0,4.0,4.0,23.0,19.4,17.0
Darius Garland,garlada01,2025,4,311.0,4.0,2024-10-28,,,NYK,"W, 110-104",*,,12.0,19.0,0.632,5.0,8.0,0.625,7.0,11.0,0.636,0.763,5.0,5.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,34.0,28.1,7.0
Darius Garland,garlada01,2025,5,312.0,5.0,2024-10-30,,,LAL,"W, 134-110",*,,5.0,14.0,0.357,2.0,7.0,0.286,3.0,7.0,0.429,0.429,0.0,0.0,,0.0,0.0,0.0,10.0,2.0,0.0,2.0,3.0,12.0,10.0,16.0
Darius Garland,garlada01,2025,6,313.0,6.0,2024-11-01,,,ORL,"W, 120-109",*,,8.0,16.0,0.5,3.0,9.0,0.333,5.0,7.0,0.714,0.594,6.0,6.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,5.0,25.0,17.8,10.0
Darius Garland,garlada01,2025,7,314.0,7.0,2024-11-02,,,MIL,"W, 114-113",*,,5.0,13.0,0.385,1.0,5.0,0.2,4.0,8.0,0.5,0.423,0.0,0.0,,2.0,1.0,3.0,10.0,0.0,0.0,0.0,2.0,11.0,11.8,-2.0
Darius Garland,garlada01,2025,8,315.0,8.0,2024-11-04,,,MIL,"W, 116-114",*,,15.0,22.0,0.682,7.0,11.0,0.636,8.0,11.0,0.727,0.841,2.0,2.0,1.0,1.0,1.0,2.0,8.0,0.0,0.0,2.0,1.0,39.0,33.8,7.0
Darius Garland,garlada01,2025,9,316.0,9.0,2024-11-06,,,NOP,"W, 131-122",*,,5.0,10.0,0.5,4.0,6.0,0.667,1.0,4.0,0.25,0.7,0.0,0.0,,0.0,1.0,1.0,9.0,1.0,1.0,3.0,2.0,14.0,13.5,14.0
Darius Garland,garlada01,2025,10,317.0,10.0,2024-11-08,,,GSW,"W, 136-117",*,,9.0,17.0,0.529,6.0,11.0,0.545,3.0,6.0,0.5,0.706,3.0,4.0,0.75,0.0,3.0,3.0,6.0,3.0,0.0,4.0,0.0,27.0,22.4,30.0
Darius Garland,garlada01,2025,11,318.0,11.0,2024-11-09,,,BRK,"W, 105-100",*,,8.0,11.0,0.727,2.0,5.0,0.4,6.0,6.0,1.0,0.818,2.0,2.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,3.0,3.0,20.0,16.8,-2.0
Darius Garland,garlada01,2025,12,319.0,12.0,2024-11-11,,,CHI,"W, 119-113",*,,7.0,17.0,0.412,1.0,5.0,0.2,6.0,12.0,0.5,0.441,2.0,3.0,0.667,1.0,1.0,2.0,5.0,4.0,0.0,1.0,2.0,17.0,14.2,-14.0
Darius Garland,garlada01,2025,13,320.0,13.0,2024-11-13,,,PHI,"W, 114-106",*,,10.0,16.0,0.625,1.0,4.0,0.25,9.0,12.0,0.75,0.656,4.0,5.0,0.8,2.0,3.0,5.0,6.0,0.0,0.0,3.0,2.0,25.0,20.1,11.0
Darius Garland,garlada01,2025,14,321.0,14.0,2024-11-15,,,CHI,"W, 144-126",*,,9.0,18.0,0.5,4.0,7.0,0.571,5.0,11.0,0.455,0.611,7.0,7.0,1.0,0.0,3.0,3.0,9.0,1.0,0.0,5.0,2.0,29.0,22.4,18.0
