player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Collin Gillespie,gilleco01,2025,1,25.0,3.0,2024-10-26,,,DAL,"W, 114-102",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
Collin Gillespie,gilleco01,2025,2,26.0,43.0,2025-01-22,,,BRK,"W, 108-84",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-3.0
Collin Gillespie,gilleco01,2025,3,27.0,46.0,2025-01-29,,,MIN,"L, 113-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Gillespie,gilleco01,2025,4,28.0,47.0,2025-01-31,,,GSW,"W, 130-105",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0
Collin Gillespie,gilleco01,2025,5,29.0,48.0,2025-02-01,,,POR,"L, 108-127",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3,1.0
Collin Gillespie,gilleco01,2025,6,30.0,50.0,2025-02-05,,,OKC,"L, 109-140",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,4.0,5.0,0.8,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,5.9,-2.0
Collin Gillespie,gilleco01,2025,7,31.0,52.0,2025-02-08,,,DEN,"L, 105-122",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,5.0,4.7,4.0
Collin Gillespie,gilleco01,2025,8,32.0,54.0,2025-02-12,,,HOU,"L, 111-119",,,4.0,8.0,0.5,1.0,2.0,0.5,3.0,6.0,0.5,0.563,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,9.0,8.1,-3.0
Collin Gillespie,gilleco01,2025,9,33.0,57.0,2025-02-23,,,TOR,"L, 109-127",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Gillespie,gilleco01,2025,10,34.0,59.0,2025-02-27,,,NOP,"L, 116-124",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,-9.0
Collin Gillespie,gilleco01,2025,11,35.0,60.0,2025-02-28,,,NOP,"W, 125-108",,,4.0,5.0,0.8,1.0,2.0,0.5,3.0,3.0,1.0,0.9,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,1.0,3.0,9.0,9.3,7.0
Collin Gillespie,gilleco01,2025,12,36.0,61.0,2025-03-02,,,MIN,"L, 98-116",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8,3.0
