player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Aaron Holiday,holidaa01,2025,1,387.0,2.0,2024-10-25,,,MEM,"W, 128-108",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Aaron Holiday,holidaa01,2025,2,388.0,6.0,2024-11-02,,,GSW,"L, 121-127 (OT)",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,6.0,6.8,19.0
Aaron Holiday,holidaa01,2025,3,389.0,8.0,2024-11-06,,,SAS,"W, 127-100",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
Aaron Holiday,holidaa01,2025,4,390.0,9.0,2024-11-08,,,OKC,"L, 107-126",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.7,-1.0
Aaron Holiday,holidaa01,2025,5,391.0,11.0,2024-11-11,,,WAS,"W, 107-92",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,11.0,7.5,-3.0
Aaron Holiday,holidaa01,2025,6,392.0,13.0,2024-11-15,,,LAC,"W, 125-104",,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,5.7,-9.0
Aaron Holiday,holidaa01,2025,7,393.0,14.0,2024-11-17,,,CHI,"W, 143-107",,,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.5,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.8,9.0
Aaron Holiday,holidaa01,2025,8,394.0,15.0,2024-11-18,,,MIL,"L, 100-101",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,5.4,11.0
Aaron Holiday,holidaa01,2025,9,395.0,16.0,2024-11-20,,,IND,"W, 130-113",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,1.0
Aaron Holiday,holidaa01,2025,10,396.0,17.0,2024-11-22,,,POR,"W, 116-88",,,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,,0.3,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.3,1.0
Aaron Holiday,holidaa01,2025,11,397.0,20.0,2024-11-27,,,PHI,"W, 122-115 (OT)",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0
Aaron Holiday,holidaa01,2025,12,398.0,22.0,2024-12-03,,,SAC,"L, 111-120",,,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0
Aaron Holiday,holidaa01,2025,13,399.0,23.0,2024-12-05,,,GSW,"L, 93-99",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.3,-4.0
Aaron Holiday,holidaa01,2025,14,400.0,24.0,2024-12-08,,,LAC,"W, 117-106",,,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.75,2.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,11.0,8.0,1.0
Aaron Holiday,holidaa01,2025,15,401.0,25.0,2024-12-11,,,GSW,"W, 91-90",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.9,3.0
Aaron Holiday,holidaa01,2025,16,402.0,26.0,2024-12-14,,,OKC,"L, 96-111",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.5,-1.0
Aaron Holiday,holidaa01,2025,17,403.0,27.0,2024-12-19,,,NOP,"W, 133-113",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,10.0,8.1,-1.0
Aaron Holiday,holidaa01,2025,18,404.0,29.0,2024-12-23,,,CHO,"W, 114-101",,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,-4.0
Aaron Holiday,holidaa01,2025,19,405.0,30.0,2024-12-26,,,NOP,"W, 128-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.4,-11.0
Aaron Holiday,holidaa01,2025,20,406.0,31.0,2024-12-27,,,MIN,"L, 112-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.7,5.0
Aaron Holiday,holidaa01,2025,21,407.0,32.0,2024-12-29,,,MIA,"L, 100-104",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,-0.2,-5.0
Aaron Holiday,holidaa01,2025,22,408.0,33.0,2025-01-01,,,DAL,"W, 110-99",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,2.2,-8.0
Aaron Holiday,holidaa01,2025,23,409.0,34.0,2025-01-03,,,BOS,"L, 86-109",,,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,2.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,-2.5,-7.0
Aaron Holiday,holidaa01,2025,24,410.0,35.0,2025-01-05,,,LAL,"W, 119-115",,,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.3,10.0
Aaron Holiday,holidaa01,2025,25,411.0,36.0,2025-01-07,,,WAS,"W, 135-112",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,2.0,2.0,1.0,2.0,0.0,2.0,4.0,2.0,0.0,1.0,4.0,4.0,5.9,31.0
Aaron Holiday,holidaa01,2025,26,412.0,37.0,2025-01-09,,,MEM,"W, 119-115",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9,7.0
Aaron Holiday,holidaa01,2025,27,413.0,38.0,2025-01-13,,,MEM,"W, 120-118",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,2.3,3.0
Aaron Holiday,holidaa01,2025,28,414.0,39.0,2025-01-15,,,DEN,"W, 128-108",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.3,-2.0
Aaron Holiday,holidaa01,2025,29,415.0,40.0,2025-01-16,,,SAC,"L, 127-132",,,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.6,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,6.0,4.3,-6.0
Aaron Holiday,holidaa01,2025,30,416.0,41.0,2025-01-18,,,POR,"W, 125-103",,,4.0,9.0,0.444,2.0,5.0,0.4,2.0,4.0,0.5,0.556,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,10.0,7.0,18.0
Aaron Holiday,holidaa01,2025,31,417.0,42.0,2025-01-20,,,DET,"L, 96-107",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8,3.0
Aaron Holiday,holidaa01,2025,32,418.0,45.0,2025-01-27,,,BOS,"W, 114-112",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,1.1,-9.0
Aaron Holiday,holidaa01,2025,33,419.0,46.0,2025-01-28,,,ATL,"W, 100-96",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,2.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,8.0,8.8,-5.0
Aaron Holiday,holidaa01,2025,34,420.0,48.0,2025-02-01,,,BRK,"L, 98-110",,,1.0,6.0,0.167,1.0,6.0,0.167,0.0,0.0,,0.25,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,-0.9,-12.0
Aaron Holiday,holidaa01,2025,35,421.0,49.0,2025-02-03,,,NYK,"L, 118-124",,,6.0,10.0,0.6,3.0,7.0,0.429,3.0,3.0,1.0,0.75,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,15.0,8.0,4.0
