player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jalen Hood-Schifino,hoodsja01,2025,1,22.0,9.0,2024-11-08,,,PHI,"W, 116-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Jalen Hood-Schifino,hoodsja01,2025,2,23.0,20.0,2024-12-01,,,UTA,"W, 105-104",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,3.6,12.0
Jalen Hood-Schifino,hoodsja01,2025,3,24.0,66.0,2025-03-14,,,IND,"L, 100-112",,,2.0,8.0,0.25,0.0,4.0,0.0,2.0,4.0,0.5,0.25,1.0,2.0,0.5,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,1.4,1.0
Jalen Hood-Schifino,hoodsja01,2025,4,25.0,67.0,2025-03-16,,,DAL,"W, 130-125",,,6.0,11.0,0.545,5.0,9.0,0.556,1.0,2.0,0.5,0.773,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,19.0,15.3,6.0
Jalen Hood-Schifino,hoodsja01,2025,5,26.0,68.0,2025-03-17,,,HOU,"L, 137-144 (OT)",,,5.0,9.0,0.556,2.0,4.0,0.5,3.0,5.0,0.6,0.667,0.0,0.0,,0.0,4.0,4.0,1.0,2.0,0.0,0.0,4.0,12.0,10.0,-17.0
Jalen Hood-Schifino,hoodsja01,2025,6,27.0,69.0,2025-03-19,,,OKC,"L, 100-133",,,2.0,9.0,0.222,1.0,4.0,0.25,1.0,5.0,0.2,0.278,1.0,2.0,0.5,0.0,1.0,1.0,5.0,0.0,1.0,1.0,1.0,6.0,3.2,-18.0
Jalen Hood-Schifino,hoodsja01,2025,7,28.0,70.0,2025-03-21,,,SAS,"L, 120-128",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,2.5,-4.0
Jalen Hood-Schifino,hoodsja01,2025,8,29.0,72.0,2025-03-24,,,NOP,"L, 99-112",,,3.0,9.0,0.333,1.0,4.0,0.25,2.0,5.0,0.4,0.389,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,2.6,-27.0
Jalen Hood-Schifino,hoodsja01,2025,9,30.0,74.0,2025-03-29,,,MIA,"L, 95-118",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,-0.7,-9.0
Jalen Hood-Schifino,hoodsja01,2025,10,31.0,75.0,2025-03-30,,,TOR,"L, 109-127",,,6.0,8.0,0.75,1.0,2.0,0.5,5.0,6.0,0.833,0.813,5.0,5.0,1.0,0.0,2.0,2.0,5.0,1.0,1.0,5.0,0.0,18.0,15.6,5.0
Jalen Hood-Schifino,hoodsja01,2025,11,32.0,77.0,2025-04-03,,,MIL,"L, 113-126",,,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,7.0,6.5,0.0
Jalen Hood-Schifino,hoodsja01,2025,12,33.0,78.0,2025-04-05,,,MIN,"L, 109-114",,,3.0,9.0,0.333,1.0,4.0,0.25,2.0,5.0,0.4,0.389,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,7.0,1.4,-15.0
Jalen Hood-Schifino,hoodsja01,2025,13,34.0,79.0,2025-04-07,,,MIA,"L, 105-117",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5,-8.0
Jalen Hood-Schifino,hoodsja01,2025,14,35.0,81.0,2025-04-11,,,ATL,"L, 110-124",,,3.0,11.0,0.273,1.0,2.0,0.5,2.0,9.0,0.222,0.318,0.0,0.0,,0.0,5.0,5.0,6.0,0.0,0.0,0.0,2.0,7.0,5.4,-6.0
Jalen Hood-Schifino,hoodsja01,2025,15,36.0,82.0,2025-04-13,,,CHI,"L, 102-122",,,2.0,9.0,0.222,1.0,4.0,0.25,1.0,5.0,0.2,0.278,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,7.0,1.8,-12.0
