player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kevin Huerter,huertke01,2025,1,414.0,1.0,2024-10-24,,,MIN,"L, 115-117",*,,1.0,4.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,0.25,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0
Kevin Huerter,huertke01,2025,2,415.0,2.0,2024-10-26,,,LAL,"L, 127-131",*,,5.0,9.0,0.556,4.0,7.0,0.571,1.0,2.0,0.5,0.778,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,14.0,11.2,-29.0
Kevin Huerter,huertke01,2025,3,416.0,3.0,2024-10-28,,,POR,"W, 111-98",*,,7.0,12.0,0.583,4.0,9.0,0.444,3.0,3.0,1.0,0.75,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,3.0,0.0,4.0,18.0,16.0,12.0
Kevin Huerter,huertke01,2025,4,417.0,4.0,2024-10-29,,,UTA,"W, 113-96",*,,6.0,9.0,0.667,2.0,5.0,0.4,4.0,4.0,1.0,0.778,0.0,0.0,,1.0,4.0,5.0,0.0,2.0,1.0,0.0,1.0,14.0,14.3,6.0
Kevin Huerter,huertke01,2025,5,418.0,5.0,2024-11-01,,,ATL,"W, 123-115",*,,4.0,13.0,0.308,2.0,8.0,0.25,2.0,5.0,0.4,0.385,0.0,0.0,,1.0,1.0,2.0,4.0,1.0,0.0,1.0,3.0,10.0,5.1,-10.0
Kevin Huerter,huertke01,2025,6,419.0,8.0,2024-11-06,,,TOR,"W, 122-107",*,,4.0,7.0,0.571,1.0,4.0,0.25,3.0,3.0,1.0,0.643,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0,4.0,11.0,7.1,-2.0
Kevin Huerter,huertke01,2025,7,420.0,9.0,2024-11-08,,,LAC,"L, 98-107",*,,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.4,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,1.8,-11.0
Kevin Huerter,huertke01,2025,8,421.0,10.0,2024-11-10,,,PHO,"W, 127-118 (OT)",*,,6.0,12.0,0.5,5.0,9.0,0.556,1.0,3.0,0.333,0.708,0.0,0.0,,1.0,6.0,7.0,4.0,3.0,1.0,2.0,6.0,17.0,15.6,-1.0
Kevin Huerter,huertke01,2025,9,422.0,11.0,2024-11-11,,,SAS,"L, 96-116",*,,1.0,7.0,0.143,0.0,5.0,0.0,1.0,2.0,0.5,0.143,0.0,0.0,,0.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,2.0,2.5,-18.0
Kevin Huerter,huertke01,2025,10,423.0,12.0,2024-11-13,,,PHO,"W, 127-104",*,,9.0,16.0,0.563,2.0,6.0,0.333,7.0,10.0,0.7,0.625,2.0,5.0,0.4,1.0,5.0,6.0,5.0,3.0,0.0,1.0,3.0,22.0,19.7,19.0
Kevin Huerter,huertke01,2025,11,424.0,13.0,2024-11-15,,,MIN,"L, 126-130 (OT)",*,,2.0,7.0,0.286,0.0,3.0,0.0,2.0,4.0,0.5,0.286,0.0,0.0,,0.0,6.0,6.0,4.0,0.0,1.0,1.0,2.0,4.0,3.4,-21.0
Kevin Huerter,huertke01,2025,12,425.0,14.0,2024-11-16,,,UTA,"W, 121-117",*,,6.0,14.0,0.429,5.0,12.0,0.417,1.0,2.0,0.5,0.607,1.0,2.0,0.5,0.0,5.0,5.0,2.0,1.0,0.0,3.0,4.0,18.0,9.5,0.0
Kevin Huerter,huertke01,2025,13,426.0,15.0,2024-11-18,,,ATL,"L, 108-109",*,,4.0,15.0,0.267,1.0,10.0,0.1,3.0,5.0,0.6,0.3,0.0,0.0,,0.0,5.0,5.0,3.0,3.0,0.0,2.0,3.0,9.0,3.5,-15.0
Kevin Huerter,huertke01,2025,14,427.0,16.0,2024-11-22,,,LAC,"L, 88-104",*,,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,-1.5,-3.0
Kevin Huerter,huertke01,2025,15,428.0,17.0,2024-11-24,,,BRK,"L, 103-108",*,,4.0,8.0,0.5,1.0,5.0,0.2,3.0,3.0,1.0,0.563,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,4.0,11.0,6.7,-4.0
