player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
De'Andre Hunter,huntede01,2025,1,264.0,1.0,2024-10-23,,,BRK,"W, 120-116",*,,3.0,10.0,0.3,2.0,4.0,0.5,1.0,6.0,0.167,0.4,4.0,5.0,0.8,1.0,5.0,6.0,1.0,2.0,0.0,0.0,5.0,12.0,8.7,10.0
De'Andre Hunter,huntede01,2025,2,265.0,2.0,2024-10-25,,,CHO,"W, 125-120",*,,7.0,14.0,0.5,2.0,6.0,0.333,5.0,8.0,0.625,0.571,8.0,8.0,1.0,1.0,6.0,7.0,3.0,0.0,1.0,0.0,4.0,24.0,20.7,4.0
De'Andre Hunter,huntede01,2025,3,266.0,13.0,2024-11-15,,,WAS,"W, 129-117",,,7.0,13.0,0.538,3.0,5.0,0.6,4.0,8.0,0.5,0.654,5.0,7.0,0.714,0.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,22.0,14.3,3.0
De'Andre Hunter,huntede01,2025,4,267.0,15.0,2024-11-18,,,SAC,"W, 109-108",,,9.0,15.0,0.6,4.0,8.0,0.5,5.0,7.0,0.714,0.733,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,24.0,17.3,1.0
De'Andre Hunter,huntede01,2025,5,268.0,16.0,2024-11-20,,,GSW,"L, 97-120",,,3.0,12.0,0.25,0.0,6.0,0.0,3.0,6.0,0.5,0.25,4.0,4.0,1.0,2.0,4.0,6.0,1.0,4.0,0.0,1.0,2.0,10.0,8.3,-21.0
De'Andre Hunter,huntede01,2025,6,269.0,17.0,2024-11-22,,,CHI,"L, 122-136",,,6.0,12.0,0.5,1.0,4.0,0.25,5.0,8.0,0.625,0.542,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,14.0,7.4,-2.0
De'Andre Hunter,huntede01,2025,7,270.0,18.0,2024-11-25,,,DAL,"L, 119-129",,,3.0,11.0,0.273,1.0,5.0,0.2,2.0,6.0,0.333,0.318,2.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,4.0,1.0,9.0,0.7,-16.0
De'Andre Hunter,huntede01,2025,8,271.0,19.0,2024-11-27,,,CLE,"W, 135-124",,,9.0,16.0,0.563,5.0,9.0,0.556,4.0,7.0,0.571,0.719,3.0,4.0,0.75,0.0,5.0,5.0,1.0,0.0,0.0,3.0,2.0,26.0,16.4,11.0
De'Andre Hunter,huntede01,2025,9,272.0,20.0,2024-11-29,,,CLE,"W, 117-101",,,7.0,12.0,0.583,4.0,7.0,0.571,3.0,5.0,0.6,0.75,5.0,5.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,1.0,1.0,23.0,19.6,14.0
De'Andre Hunter,huntede01,2025,10,273.0,21.0,2024-11-30,,,CHO,"W, 107-104",,,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,7.0,8.0,0.875,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,18.0,11.8,-2.0
