player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Bones Hyland,hylanbo01,2025,1,163.0,6.0,2024-11-02,,,OKC,"L, 92-105",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0
Bones Hyland,hylanbo01,2025,2,164.0,8.0,2024-11-06,,,PHI,"W, 110-98",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9,-7.0
Bones Hyland,hylanbo01,2025,3,165.0,12.0,2024-11-13,,,HOU,"L, 103-111",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.3,3.0
Bones Hyland,hylanbo01,2025,4,166.0,13.0,2024-11-15,,,HOU,"L, 104-125",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,5.9,-2.0
Bones Hyland,hylanbo01,2025,5,167.0,18.0,2024-11-24,,,PHI,"W, 125-99",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,0.6,-3.0
Bones Hyland,hylanbo01,2025,6,168.0,19.0,2024-11-25,,,BOS,"L, 94-126",,,0.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-2.6,-11.0
Bones Hyland,hylanbo01,2025,7,169.0,20.0,2024-11-27,,,WAS,"W, 121-96",,,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.75,1.0,2.0,0.5,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,10.0,9.5,-8.0
Bones Hyland,hylanbo01,2025,8,170.0,23.0,2024-12-03,,,POR,"W, 127-105",,,1.0,5.0,0.2,1.0,3.0,0.333,0.0,2.0,0.0,0.3,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.6,-2.0
Bones Hyland,hylanbo01,2025,9,171.0,24.0,2024-12-04,,,MIN,"L, 80-108",,,5.0,12.0,0.417,5.0,10.0,0.5,0.0,2.0,0.0,0.625,3.0,4.0,0.75,0.0,4.0,4.0,2.0,0.0,0.0,5.0,2.0,18.0,8.0,1.0
Bones Hyland,hylanbo01,2025,10,172.0,25.0,2024-12-08,,,HOU,"L, 106-117",,,7.0,13.0,0.538,5.0,10.0,0.5,2.0,3.0,0.667,0.731,3.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,4.0,22.0,18.2,-9.0
Bones Hyland,hylanbo01,2025,11,173.0,26.0,2024-12-13,,,DEN,"L, 98-120",,,4.0,8.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,0.688,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,13.0,7.9,-14.0
Bones Hyland,hylanbo01,2025,12,174.0,27.0,2024-12-16,,,UTA,"W, 144-107",,,3.0,6.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.667,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,8.0,9.1,2.0
Bones Hyland,hylanbo01,2025,13,175.0,33.0,2024-12-31,,,SAS,"L, 86-122",,,2.0,10.0,0.2,1.0,6.0,0.167,1.0,4.0,0.25,0.25,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,1.1,-9.0
Bones Hyland,hylanbo01,2025,14,176.0,34.0,2025-01-02,,,OKC,"L, 98-116",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.9,10.0
Bones Hyland,hylanbo01,2025,15,177.0,35.0,2025-01-04,,,ATL,"W, 131-105",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,4.0
Bones Hyland,hylanbo01,2025,16,178.0,37.0,2025-01-08,,,DEN,"L, 103-126",,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0
Bones Hyland,hylanbo01,2025,17,179.0,39.0,2025-01-15,,,BRK,"W, 126-67",,,3.0,6.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.583,2.0,2.0,1.0,0.0,3.0,3.0,5.0,2.0,0.0,2.0,2.0,9.0,9.6,10.0
Bones Hyland,hylanbo01,2025,18,180.0,40.0,2025-01-16,,,POR,"W, 118-89",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.6,-1.0
Bones Hyland,hylanbo01,2025,19,181.0,43.0,2025-01-22,,,BOS,"L, 113-117 (OT)",,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,4.0,4.0,8.0,1.7,-5.0
Bones Hyland,hylanbo01,2025,20,182.0,50.0,2025-02-04,,,LAL,"L, 97-122",,,4.0,5.0,0.8,2.0,3.0,0.667,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,8.9,0.0
Bones Hyland,hylanbo01,2025,21,183.0,69.0,2025-03-16,,,UTA,"W, 128-102",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.3,-5.0
Bones Hyland,hylanbo01,2025,22,184.0,72.0,2025-03-21,,,NOP,"W, 134-93",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,2.3,5.0
