player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Trey Jemison,jemistr01,2025,1,26.0,5.0,2024-10-30,,,GSW,"L, 89-104",,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,0.0
Trey Jemison,jemistr01,2025,2,27.0,7.0,2024-11-03,,,ATL,"L, 111-126",,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,4.0
Trey Jemison,jemistr01,2025,3,28.0,8.0,2024-11-04,,,POR,"L, 100-118",,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.1,0.0
Trey Jemison,jemistr01,2025,4,29.0,10.0,2024-11-08,,,ORL,"L, 88-115",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,-3.4,10.0
Trey Jemison,jemistr01,2025,5,30.0,11.0,2024-11-11,,,BRK,"L, 105-107",,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,3.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,5.4,2.0
Trey Jemison,jemistr01,2025,6,31.0,12.0,2024-11-13,,,OKC,"L, 88-106",,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,2.0,4.0,0.5,4.0,4.0,8.0,2.0,0.0,2.0,3.0,3.0,6.0,6.5,0.0
Trey Jemison,jemistr01,2025,7,32.0,13.0,2024-11-15,,,DEN,"W, 101-94",,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,4.0,6.0,5.2,5.0
Trey Jemison,jemistr01,2025,8,33.0,14.0,2024-11-16,,,LAL,"L, 99-104",,,3.0,4.0,0.75,0.0,0.0,3.0,4.0,0.75,0.75,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,8.0,6.8,-3.0
Trey Jemison,jemistr01,2025,9,34.0,15.0,2024-11-19,,,DAL,"L, 91-132",,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.2,-14.0
Trey Jemison,jemistr01,2025,10,35.0,16.0,2024-11-20,,,CLE,"L, 100-128",,,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,-6.0
Trey Jemison,jemistr01,2025,11,36.0,17.0,2024-11-22,,,GSW,"L, 108-112",,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,3.1,-7.0
Trey Jemison,jemistr01,2025,12,37.0,19.0,2024-11-27,,,TOR,"L, 93-119",,,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,1.6,2.0
Trey Jemison,jemistr01,2025,13,38.0,21.0,2024-12-01,,,NYK,"L, 85-118",,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,-1.4,-7.0
Trey Jemison,jemistr01,2025,14,39.0,25.0,2024-12-08,,,SAS,"L, 116-121",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0
Trey Jemison,jemistr01,2025,15,40.0,26.0,2024-12-12,,,SAC,"L, 109-111",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6,-1.0
Trey Jemison,jemistr01,2025,16,41.0,28.0,2024-12-19,,,HOU,"L, 113-133",,,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,1.0,4.0,0.25,5.0,1.0,6.0,2.0,0.0,0.0,0.0,3.0,3.0,4.1,-3.0
Trey Jemison,jemistr01,2025,17,42.0,39.0,2025-01-17,,,BRK,"W, 102-101",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,-6.0
Trey Jemison,jemistr01,2025,18,43.0,41.0,2025-01-21,,,WAS,"W, 111-88",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,4.0
Trey Jemison,jemistr01,2025,19,44.0,46.0,2025-01-30,,,WAS,"W, 134-96",,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,2.0,6.0,4.0,0.2,12.0
Trey Jemison,jemistr01,2025,20,45.0,47.0,2025-02-01,,,NYK,"W, 128-112",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
