player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Spencer Jones,jonessp01,2025,1,1.0,6.0,2024-11-02,,,UTA,"W, 129-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,1.0
Spencer Jones,jonessp01,2025,2,2.0,17.0,2024-11-27,,,UTA,"W, 122-103",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0
Spencer Jones,jonessp01,2025,3,3.0,27.0,2024-12-23,,,PHO,"W, 117-90",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.5,2.0
Spencer Jones,jonessp01,2025,4,4.0,29.0,2024-12-27,,,CLE,"L, 135-149",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Spencer Jones,jonessp01,2025,5,5.0,32.0,2025-01-01,,,ATL,"W, 139-120",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-6.0
Spencer Jones,jonessp01,2025,6,6.0,50.0,2025-02-03,,,NOP,"W, 125-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spencer Jones,jonessp01,2025,7,7.0,51.0,2025-02-05,,,NOP,"W, 144-119",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0
Spencer Jones,jonessp01,2025,8,8.0,52.0,2025-02-06,,,ORL,"W, 112-90",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-11.0
Spencer Jones,jonessp01,2025,9,9.0,53.0,2025-02-08,,,PHO,"W, 122-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.4,-4.0
Spencer Jones,jonessp01,2025,10,10.0,54.0,2025-02-10,,,POR,"W, 146-117",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.1,0.0
Spencer Jones,jonessp01,2025,11,11.0,57.0,2025-02-22,,,LAL,"L, 100-123",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
Spencer Jones,jonessp01,2025,12,12.0,60.0,2025-02-28,,,DET,"W, 134-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-9.0
Spencer Jones,jonessp01,2025,13,13.0,64.0,2025-03-09,,,OKC,"L, 103-127",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
Spencer Jones,jonessp01,2025,14,14.0,66.0,2025-03-12,,,MIN,"L, 95-115",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0
Spencer Jones,jonessp01,2025,15,15.0,69.0,2025-03-17,,,GSW,"W, 114-105",,,3.0,4.0,0.75,0.0,1.0,0.0,3.0,3.0,1.0,0.75,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,6.0,5.9,3.0
Spencer Jones,jonessp01,2025,16,16.0,70.0,2025-03-19,,,LAL,"L, 108-120",,,4.0,8.0,0.5,0.0,3.0,0.0,4.0,5.0,0.8,0.5,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,9.0,5.2,-7.0
Spencer Jones,jonessp01,2025,17,17.0,71.0,2025-03-21,,,POR,"L, 109-128",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,-0.1,1.0
Spencer Jones,jonessp01,2025,18,18.0,74.0,2025-03-26,,,MIL,"W, 127-117",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spencer Jones,jonessp01,2025,19,19.0,75.0,2025-03-28,,,UTA,"W, 129-93",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.7,-6.0
Spencer Jones,jonessp01,2025,20,20.0,77.0,2025-04-02,,,SAS,"L, 106-113",,,2.0,8.0,0.25,0.0,4.0,0.0,2.0,4.0,0.5,0.25,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,2.0,0.0,3.0,4.0,2.4,-13.0
