player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Nikola Jović,jovicni01,2025,1,62.0,1.0,2024-10-23,,,ORL,"L, 97-116",*,,7.0,14.0,0.5,1.0,7.0,0.143,6.0,7.0,0.857,0.536,0.0,1.0,0.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,15.0,9.3,0.0
Nikola Jović,jovicni01,2025,2,63.0,2.0,2024-10-26,,,CHO,"W, 114-106",*,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,2.0,2.0,1.0,0.0,4.0,4.0,6.0,2.0,0.0,1.0,3.0,10.0,11.5,9.0
Nikola Jović,jovicni01,2025,3,64.0,3.0,2024-10-28,,,DET,"W, 106-98",*,,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,0.0,0.6,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,6.0,3.2,-13.0
Nikola Jović,jovicni01,2025,4,65.0,4.0,2024-10-30,,,NYK,"L, 107-116",*,,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,0.714,0.0,2.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,10.0,8.4,-13.0
Nikola Jović,jovicni01,2025,5,66.0,5.0,2024-11-02,,,WAS,"W, 118-98",*,,1.0,7.0,0.143,1.0,5.0,0.2,0.0,2.0,0.0,0.214,0.0,0.0,,0.0,6.0,6.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,7.0
Nikola Jović,jovicni01,2025,6,67.0,6.0,2024-11-04,,,SAC,"L, 110-111",*,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.5,-9.0
Nikola Jović,jovicni01,2025,7,68.0,7.0,2024-11-06,,,PHO,"L, 112-115",*,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.3,2.0
Nikola Jović,jovicni01,2025,8,69.0,8.0,2024-11-08,,,DEN,"L, 122-135",*,,4.0,7.0,0.571,1.0,2.0,0.5,3.0,5.0,0.6,0.643,2.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,11.0,13.1,-7.0
Nikola Jović,jovicni01,2025,9,70.0,9.0,2024-11-10,,,MIN,"W, 95-94",,,6.0,11.0,0.545,2.0,4.0,0.5,4.0,7.0,0.571,0.636,1.0,1.0,1.0,0.0,7.0,7.0,1.0,1.0,0.0,1.0,3.0,15.0,11.3,10.0
Nikola Jović,jovicni01,2025,10,71.0,10.0,2024-11-12,,,DET,"L, 121-123 (OT)",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6,-1.0
