player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kylor Kelley,kelleky01,2025,1,1.0,47.0,2025-01-27,,,WAS,"W, 130-108",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,2.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.4,-3.0
Kylor Kelley,kelleky01,2025,2,2.0,49.0,2025-01-31,,,DET,"L, 102-117",,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,-6.0
Kylor Kelley,kelleky01,2025,3,3.0,50.0,2025-02-02,,,CLE,"L, 101-144",*,,5.0,6.0,0.833,0.0,0.0,5.0,6.0,0.833,0.833,2.0,2.0,1.0,3.0,8.0,11.0,1.0,0.0,1.0,1.0,2.0,12.0,13.9,-21.0
Kylor Kelley,kelleky01,2025,4,4.0,51.0,2025-02-04,,,PHI,"L, 116-118",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,-4.0
Kylor Kelley,kelleky01,2025,5,5.0,54.0,2025-02-10,,,SAC,"L, 128-129 (OT)",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-1.0
Kylor Kelley,kelleky01,2025,6,6.0,55.0,2025-02-12,,,GSW,"W, 111-107",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Kylor Kelley,kelleky01,2025,7,7.0,56.0,2025-02-13,,,MIA,"W, 118-113",,,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,-1.0
Kylor Kelley,kelleky01,2025,8,8.0,58.0,2025-02-23,,,GSW,"L, 102-126",,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0
Kylor Kelley,kelleky01,2025,9,9.0,80.0,2025-04-10,,,MIL,"L, 111-136",,,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,3.0,4.0,7.0,1.0,0.0,0.0,2.0,4.0,2.0,1.4,-12.0
Kylor Kelley,kelleky01,2025,10,10.0,81.0,2025-04-11,,,MIA,"L, 104-153",*,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,1.0,2.0,0.5,1.0,5.0,6.0,1.0,1.0,0.0,0.0,2.0,5.0,4.3,-12.0
Kylor Kelley,kelleky01,2025,11,11.0,82.0,2025-04-13,,,OKC,"L, 100-115",,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,3.0,3.8,-15.0
