player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Walker Kessler,kesslwa01,2025,1,139.0,1.0,2024-10-23,,,MEM,"L, 124-126",*,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,4.0,5.0,0.8,6.0,8.0,14.0,1.0,1.0,5.0,2.0,2.0,16.0,22.1,4.0
Walker Kessler,kesslwa01,2025,2,140.0,2.0,2024-10-25,,,GSW,"L, 86-127",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,3.0,6.0,9.0,2.0,0.0,1.0,2.0,1.0,2.0,5.3,-17.0
Walker Kessler,kesslwa01,2025,3,141.0,3.0,2024-10-28,,,DAL,"L, 102-110",*,,6.0,11.0,0.545,0.0,0.0,,6.0,11.0,0.545,0.545,0.0,2.0,0.0,4.0,7.0,11.0,1.0,2.0,2.0,0.0,1.0,12.0,14.5,-3.0
Walker Kessler,kesslwa01,2025,4,142.0,4.0,2024-10-29,,,SAC,"L, 96-113",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,2.0,6.0,8.0,2.0,1.0,2.0,1.0,2.0,4.0,7.9,-13.0
Walker Kessler,kesslwa01,2025,5,143.0,5.0,2024-10-31,,,SAS,"L, 88-106",*,,3.0,9.0,0.333,0.0,0.0,,3.0,9.0,0.333,0.333,0.0,0.0,,4.0,7.0,11.0,1.0,0.0,3.0,1.0,1.0,6.0,7.2,-14.0
Walker Kessler,kesslwa01,2025,6,144.0,6.0,2024-11-02,,,DEN,"L, 103-129",*,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,8.0,12.0,0.667,4.0,10.0,14.0,0.0,0.0,5.0,2.0,4.0,18.0,19.9,-31.0
Walker Kessler,kesslwa01,2025,7,145.0,7.0,2024-11-04,,,CHI,"W, 135-126",*,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,0.0,2.0,0.0,6.0,10.0,16.0,2.0,0.0,3.0,3.0,5.0,12.0,14.4,6.0
Walker Kessler,kesslwa01,2025,8,146.0,8.0,2024-11-07,,,MIL,"L, 100-123",*,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,0.0,0.0,,3.0,5.0,8.0,0.0,0.0,3.0,2.0,3.0,6.0,7.6,-17.0
Walker Kessler,kesslwa01,2025,9,147.0,9.0,2024-11-09,,,SAS,"W, 111-110",*,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,1.0,2.0,1.0,7.0,5.6,-11.0
Walker Kessler,kesslwa01,2025,10,148.0,16.0,2024-11-23,,,NYK,"W, 121-106",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,1.0,2.0,0.5,2.0,8.0,10.0,2.0,0.0,3.0,0.0,2.0,11.0,13.5,34.0
Walker Kessler,kesslwa01,2025,11,149.0,17.0,2024-11-26,,,SAS,"L, 115-128",*,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,2.0,5.0,7.0,1.0,0.0,2.0,1.0,5.0,6.0,6.4,-13.0
Walker Kessler,kesslwa01,2025,12,150.0,18.0,2024-11-27,,,DEN,"L, 103-122",*,,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,0.0,2.0,0.0,6.0,6.0,12.0,5.0,1.0,3.0,2.0,2.0,16.0,21.2,-9.0
Walker Kessler,kesslwa01,2025,13,151.0,19.0,2024-11-30,,,DAL,"L, 94-106",*,,7.0,9.0,0.778,0.0,0.0,,7.0,9.0,0.778,0.778,4.0,5.0,0.8,6.0,4.0,10.0,1.0,3.0,5.0,0.0,1.0,18.0,26.3,-12.0
Walker Kessler,kesslwa01,2025,14,152.0,20.0,2024-12-01,,,LAL,"L, 104-105",*,,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,11.0,2.0,0.0,2.0,2.0,4.0,13.0,14.9,-1.0
Walker Kessler,kesslwa01,2025,15,153.0,21.0,2024-12-03,,,OKC,"L, 106-133",*,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,5.0,8.0,0.625,5.0,6.0,11.0,0.0,0.0,2.0,1.0,2.0,17.0,18.2,-22.0
Walker Kessler,kesslwa01,2025,16,154.0,22.0,2024-12-06,,,POR,"W, 141-99",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,3.0,4.0,0.75,6.0,11.0,17.0,2.0,0.0,5.0,2.0,0.0,13.0,19.4,35.0
Walker Kessler,kesslwa01,2025,17,155.0,23.0,2024-12-08,,,SAC,"L, 97-141",*,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,0.0,0.0,,4.0,10.0,14.0,2.0,0.0,4.0,2.0,1.0,8.0,13.7,-16.0
Walker Kessler,kesslwa01,2025,18,156.0,24.0,2024-12-13,,,PHO,"L, 126-134",*,,7.0,11.0,0.636,2.0,2.0,1.0,5.0,9.0,0.556,0.727,1.0,2.0,0.5,2.0,3.0,5.0,3.0,0.0,1.0,1.0,1.0,17.0,15.4,-13.0
Walker Kessler,kesslwa01,2025,19,157.0,25.0,2024-12-16,,,LAC,"L, 107-144",*,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,0.0,1.0,0.0,4.0,3.0,7.0,0.0,1.0,1.0,3.0,2.0,10.0,9.0,-25.0
Walker Kessler,kesslwa01,2025,20,158.0,26.0,2024-12-19,,,DET,"W, 126-119",*,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,5.0,7.0,12.0,4.0,0.0,4.0,0.0,2.0,6.0,13.4,15.0
Walker Kessler,kesslwa01,2025,21,159.0,27.0,2024-12-21,,,BRK,"W, 105-94",*,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,0.5,2.0,5.0,7.0,2.0,1.0,4.0,2.0,4.0,5.0,8.5,-6.0
Walker Kessler,kesslwa01,2025,22,160.0,28.0,2024-12-23,,,CLE,"L, 113-124",*,,4.0,6.0,0.667,0.0,1.0,0.0,4.0,5.0,0.8,0.667,1.0,6.0,0.167,8.0,8.0,16.0,3.0,0.0,3.0,0.0,1.0,9.0,16.2,-15.0
Walker Kessler,kesslwa01,2025,23,161.0,29.0,2024-12-26,,,POR,"L, 120-122",*,,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,3.0,6.0,0.5,3.0,13.0,16.0,1.0,2.0,2.0,0.0,1.0,5.0,10.4,5.0
Walker Kessler,kesslwa01,2025,24,162.0,30.0,2024-12-28,,,PHI,"L, 111-114",*,,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,1.0,3.0,0.333,5.0,6.0,11.0,0.0,0.0,1.0,4.0,5.0,11.0,6.6,-5.0
Walker Kessler,kesslwa01,2025,25,163.0,31.0,2024-12-30,,,DEN,"L, 121-132",*,,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,1.0,1.0,0.0,0.0,,2.0,11.0,13.0,4.0,1.0,2.0,2.0,4.0,12.0,16.5,-15.0
Walker Kessler,kesslwa01,2025,26,164.0,32.0,2025-01-01,,,NYK,"L, 103-119",*,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,3.0,5.0,8.0,5.0,1.0,1.0,2.0,3.0,6.0,10.0,-14.0
Walker Kessler,kesslwa01,2025,27,165.0,33.0,2025-01-04,,,MIA,"W, 136-100",*,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,2.0,4.0,0.5,7.0,9.0,16.0,0.0,0.0,0.0,1.0,2.0,14.0,16.5,26.0
Walker Kessler,kesslwa01,2025,28,166.0,34.0,2025-01-05,,,ORL,"W, 105-92",*,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,2.0,2.0,1.0,6.0,11.0,17.0,2.0,0.0,1.0,2.0,3.0,10.0,13.8,1.0
Walker Kessler,kesslwa01,2025,29,167.0,35.0,2025-01-07,,,ATL,"L, 121-124",*,,8.0,11.0,0.727,0.0,0.0,,8.0,11.0,0.727,0.727,5.0,6.0,0.833,8.0,2.0,10.0,0.0,1.0,3.0,0.0,0.0,21.0,25.4,-2.0
Walker Kessler,kesslwa01,2025,30,168.0,36.0,2025-01-09,,,MIA,"L, 92-97",*,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,1.0,2.0,0.5,5.0,10.0,15.0,0.0,0.0,2.0,2.0,2.0,9.0,11.8,-2.0
Walker Kessler,kesslwa01,2025,31,169.0,37.0,2025-01-11,,,PHO,"L, 106-114",*,,7.0,9.0,0.778,0.0,0.0,,7.0,9.0,0.778,0.778,2.0,3.0,0.667,7.0,6.0,13.0,0.0,0.0,2.0,1.0,1.0,16.0,18.8,-4.0
Walker Kessler,kesslwa01,2025,32,170.0,39.0,2025-01-15,,,CHO,"L, 112-117",*,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,1.0,4.0,0.25,3.0,5.0,8.0,1.0,0.0,2.0,1.0,2.0,11.0,10.8,-5.0
Walker Kessler,kesslwa01,2025,33,171.0,41.0,2025-01-20,,,NOP,"L, 119-123 (OT)",*,,8.0,10.0,0.8,0.0,1.0,0.0,8.0,9.0,0.889,0.8,3.0,4.0,0.75,5.0,8.0,13.0,2.0,1.0,1.0,0.0,1.0,19.0,23.4,7.0
Walker Kessler,kesslwa01,2025,34,172.0,42.0,2025-01-22,,,OKC,"L, 114-123",*,,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,1.0,4.0,0.25,9.0,6.0,15.0,1.0,0.0,2.0,1.0,0.0,17.0,21.2,-2.0
Walker Kessler,kesslwa01,2025,35,173.0,43.0,2025-01-25,,,MEM,"L, 103-125",*,,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,10.0,1.0,2.0,2.0,2.0,4.0,11.0,15.4,-11.0
Walker Kessler,kesslwa01,2025,36,174.0,46.0,2025-01-30,,,MIN,"L, 113-138",*,,1.0,6.0,0.167,0.0,2.0,0.0,1.0,4.0,0.25,0.167,0.0,0.0,,1.0,7.0,8.0,0.0,2.0,0.0,1.0,3.0,2.0,0.8,-10.0
Walker Kessler,kesslwa01,2025,37,175.0,47.0,2025-02-01,,,ORL,"W, 113-99",*,,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,2.0,4.0,0.5,2.0,13.0,15.0,2.0,1.0,1.0,2.0,4.0,8.0,11.1,17.0
Walker Kessler,kesslwa01,2025,38,176.0,48.0,2025-02-03,,,IND,"L, 111-112",*,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,3.0,7.0,0.429,4.0,9.0,13.0,1.0,1.0,3.0,3.0,3.0,9.0,10.2,4.0
Walker Kessler,kesslwa01,2025,39,177.0,49.0,2025-02-05,,,GSW,"W, 131-128",*,,7.0,9.0,0.778,0.0,0.0,,7.0,9.0,0.778,0.778,1.0,2.0,0.5,8.0,10.0,18.0,2.0,0.0,3.0,4.0,4.0,15.0,17.6,15.0
Walker Kessler,kesslwa01,2025,40,178.0,50.0,2025-02-07,,,PHO,"L, 127-135 (OT)",*,,9.0,17.0,0.529,0.0,0.0,,9.0,17.0,0.529,0.529,1.0,1.0,1.0,9.0,13.0,22.0,4.0,1.0,3.0,1.0,1.0,19.0,25.4,-7.0
Walker Kessler,kesslwa01,2025,41,179.0,52.0,2025-02-10,,,LAL,"L, 113-132",*,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,3.0,3.0,1.0,5.0,7.0,12.0,2.0,0.0,1.0,3.0,1.0,13.0,14.4,-26.0
Walker Kessler,kesslwa01,2025,42,180.0,53.0,2025-02-12,,,LAL,"W, 131-119",*,,8.0,8.0,1.0,0.0,0.0,,8.0,8.0,1.0,1.0,0.0,0.0,,2.0,6.0,8.0,1.0,2.0,6.0,1.0,2.0,16.0,21.9,23.0
Walker Kessler,kesslwa01,2025,43,181.0,55.0,2025-02-21,,,OKC,"L, 107-130",*,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,2.0,0.0,6.0,13.0,19.0,1.0,1.0,1.0,2.0,3.0,4.0,8.5,-19.0
Walker Kessler,kesslwa01,2025,44,182.0,56.0,2025-02-22,,,HOU,"W, 124-115",*,,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,1.0,3.0,0.333,8.0,9.0,17.0,3.0,0.0,2.0,1.0,4.0,11.0,17.9,11.0
Walker Kessler,kesslwa01,2025,45,183.0,58.0,2025-02-26,,,SAC,"L, 101-118",*,,10.0,10.0,1.0,0.0,0.0,,10.0,10.0,1.0,1.0,5.0,7.0,0.714,2.0,12.0,14.0,5.0,2.0,0.0,0.0,2.0,25.0,30.9,-2.0
Walker Kessler,kesslwa01,2025,46,184.0,59.0,2025-02-28,,,MIN,"W, 117-116",*,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,1.0,2.0,0.5,3.0,10.0,13.0,1.0,1.0,2.0,0.0,0.0,9.0,13.5,23.0
Walker Kessler,kesslwa01,2025,47,185.0,61.0,2025-03-03,,,DET,"L, 106-134",*,,7.0,9.0,0.778,0.0,0.0,,7.0,9.0,0.778,0.778,0.0,0.0,,4.0,5.0,9.0,1.0,0.0,1.0,2.0,3.0,14.0,13.0,-22.0
Walker Kessler,kesslwa01,2025,48,186.0,63.0,2025-03-07,,,TOR,"L, 109-118",*,,8.0,11.0,0.727,0.0,0.0,,8.0,11.0,0.727,0.727,2.0,7.0,0.286,13.0,12.0,25.0,0.0,0.0,8.0,4.0,2.0,18.0,25.0,-18.0
Walker Kessler,kesslwa01,2025,49,187.0,65.0,2025-03-10,,,BOS,"L, 108-114",*,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,3.0,5.0,0.6,6.0,4.0,10.0,1.0,0.0,2.0,1.0,1.0,11.0,13.0,-8.0
Walker Kessler,kesslwa01,2025,50,188.0,66.0,2025-03-12,,,MEM,"L, 115-122",*,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,1.0,2.0,0.5,4.0,10.0,14.0,5.0,2.0,6.0,2.0,0.0,9.0,20.2,1.0
