player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Damian Lillard,lillada01,2025,1,843.0,1.0,2024-10-23,,,PHI,"W, 124-109",*,,9.0,19.0,0.474,6.0,12.0,0.5,3.0,7.0,0.429,0.632,6.0,7.0,0.857,3.0,6.0,9.0,6.0,0.0,0.0,3.0,1.0,30.0,24.6,19.0
Damian Lillard,lillada01,2025,2,844.0,2.0,2024-10-25,,,CHI,"L, 122-133",*,,11.0,21.0,0.524,3.0,12.0,0.25,8.0,9.0,0.889,0.595,3.0,3.0,1.0,0.0,4.0,4.0,8.0,0.0,0.0,5.0,1.0,28.0,19.1,-7.0
Damian Lillard,lillada01,2025,3,845.0,3.0,2024-10-27,,,BRK,"L, 102-115",*,,5.0,13.0,0.385,1.0,7.0,0.143,4.0,6.0,0.667,0.423,10.0,11.0,0.909,1.0,3.0,4.0,4.0,0.0,0.0,4.0,2.0,21.0,13.1,-9.0
Damian Lillard,lillada01,2025,4,846.0,4.0,2024-10-28,,,BOS,"L, 108-119",*,,7.0,15.0,0.467,2.0,8.0,0.25,5.0,7.0,0.714,0.533,17.0,18.0,0.944,1.0,6.0,7.0,7.0,2.0,1.0,1.0,2.0,33.0,33.2,-10.0
Damian Lillard,lillada01,2025,5,847.0,5.0,2024-10-31,,,MEM,"L, 99-122",*,,1.0,12.0,0.083,0.0,6.0,0.0,1.0,6.0,0.167,0.083,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,3.0,4.0,0.0,-29.0
Damian Lillard,lillada01,2025,6,848.0,6.0,2024-11-02,,,CLE,"L, 113-114",*,,13.0,24.0,0.542,10.0,15.0,0.667,3.0,9.0,0.333,0.75,5.0,8.0,0.625,0.0,4.0,4.0,9.0,0.0,1.0,1.0,4.0,41.0,33.8,3.0
Damian Lillard,lillada01,2025,7,849.0,7.0,2024-11-04,,,CLE,"L, 114-116",*,,11.0,22.0,0.5,5.0,9.0,0.556,6.0,13.0,0.462,0.614,9.0,9.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,8.0,1.0,36.0,22.5,3.0
Damian Lillard,lillada01,2025,8,850.0,8.0,2024-11-07,,,UTA,"W, 123-100",*,,12.0,22.0,0.545,4.0,11.0,0.364,8.0,11.0,0.727,0.636,6.0,7.0,0.857,0.0,4.0,4.0,7.0,4.0,0.0,0.0,2.0,34.0,32.3,27.0
Damian Lillard,lillada01,2025,9,851.0,9.0,2024-11-08,,,NYK,"L, 94-116",*,,6.0,15.0,0.4,0.0,4.0,0.0,6.0,11.0,0.545,0.4,7.0,7.0,1.0,1.0,5.0,6.0,6.0,0.0,0.0,1.0,0.0,19.0,16.3,-28.0
Damian Lillard,lillada01,2025,10,852.0,10.0,2024-11-10,,,BOS,"L, 107-113",*,,4.0,15.0,0.267,1.0,8.0,0.125,3.0,7.0,0.429,0.3,5.0,5.0,1.0,0.0,4.0,4.0,6.0,3.0,0.0,3.0,3.0,14.0,9.3,-14.0
Damian Lillard,lillada01,2025,11,853.0,14.0,2024-11-18,,,HOU,"W, 101-100",*,,6.0,18.0,0.333,0.0,6.0,0.0,6.0,12.0,0.5,0.333,6.0,7.0,0.857,0.0,4.0,4.0,10.0,0.0,0.0,2.0,1.0,18.0,13.2,-4.0
Damian Lillard,lillada01,2025,12,854.0,15.0,2024-11-20,,,CHI,"W, 122-106",*,,7.0,17.0,0.412,2.0,10.0,0.2,5.0,7.0,0.714,0.471,4.0,4.0,1.0,0.0,5.0,5.0,10.0,0.0,0.0,4.0,2.0,20.0,14.6,11.0
Damian Lillard,lillada01,2025,13,855.0,16.0,2024-11-22,,,IND,"W, 129-117",*,,8.0,19.0,0.421,3.0,8.0,0.375,5.0,11.0,0.455,0.5,5.0,5.0,1.0,1.0,4.0,5.0,13.0,1.0,0.0,4.0,2.0,24.0,21.1,19.0
Damian Lillard,lillada01,2025,14,856.0,17.0,2024-11-23,,,CHO,"W, 125-119",*,,9.0,21.0,0.429,3.0,9.0,0.333,6.0,12.0,0.5,0.5,10.0,11.0,0.909,0.0,4.0,4.0,4.0,1.0,0.0,1.0,2.0,31.0,22.7,4.0
Damian Lillard,lillada01,2025,15,857.0,18.0,2024-11-26,,,MIA,"W, 106-103",*,,10.0,17.0,0.588,8.0,13.0,0.615,2.0,4.0,0.5,0.824,9.0,9.0,1.0,0.0,3.0,3.0,12.0,1.0,1.0,4.0,2.0,37.0,35.3,0.0
Damian Lillard,lillada01,2025,16,858.0,19.0,2024-11-30,,,WAS,"W, 124-114",*,,8.0,18.0,0.444,5.0,9.0,0.556,3.0,9.0,0.333,0.583,4.0,4.0,1.0,1.0,4.0,5.0,10.0,3.0,1.0,2.0,2.0,25.0,25.4,12.0
Damian Lillard,lillada01,2025,17,859.0,20.0,2024-12-03,,,DET,"W, 128-107",*,,9.0,17.0,0.529,5.0,11.0,0.455,4.0,6.0,0.667,0.676,4.0,4.0,1.0,0.0,4.0,4.0,5.0,0.0,0.0,3.0,1.0,27.0,20.0,7.0
Damian Lillard,lillada01,2025,18,860.0,21.0,2024-12-04,,,ATL,"L, 104-119",*,,8.0,14.0,0.571,5.0,9.0,0.556,3.0,5.0,0.6,0.75,4.0,5.0,0.8,0.0,4.0,4.0,5.0,1.0,0.0,5.0,1.0,25.0,18.3,-10.0
Damian Lillard,lillada01,2025,19,861.0,22.0,2024-12-06,,,BOS,"L, 105-111",*,,12.0,25.0,0.48,4.0,12.0,0.333,8.0,13.0,0.615,0.56,3.0,3.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,1.0,3.0,31.0,21.8,-7.0
Damian Lillard,lillada01,2025,20,862.0,23.0,2024-12-08,,,BRK,"W, 118-113",*,,2.0,7.0,0.286,2.0,7.0,0.286,0.0,0.0,,0.429,9.0,11.0,0.818,0.0,6.0,6.0,11.0,1.0,0.0,7.0,0.0,15.0,13.6,-11.0
