player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kyle Lowry,lowryky01,2025,1,1139.0,1.0,2024-10-23,,,MIL,"L, 109-124",,,4.0,7.0,0.571,3.0,5.0,0.6,1.0,2.0,0.5,0.786,2.0,4.0,0.5,0.0,4.0,4.0,6.0,0.0,0.0,0.0,1.0,13.0,13.9,-11.0
Kyle Lowry,lowryky01,2025,2,1140.0,2.0,2024-10-25,,,TOR,"L, 107-115",*,,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,,0.9,5.0,5.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,5.0,14.0,12.4,-12.0
Kyle Lowry,lowryky01,2025,3,1141.0,3.0,2024-10-27,,,IND,"W, 118-114 (OT)",*,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,5.9,-1.0
Kyle Lowry,lowryky01,2025,4,1142.0,4.0,2024-10-30,,,DET,"L, 95-105",*,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,4.5,-11.0
Kyle Lowry,lowryky01,2025,5,1143.0,5.0,2024-11-02,,,MEM,"L, 107-124",*,,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,,1.125,1.0,2.0,0.5,1.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,10.0,10.6,-1.0
Kyle Lowry,lowryky01,2025,6,1144.0,6.0,2024-11-04,,,PHO,"L, 116-118",,,5.0,8.0,0.625,3.0,6.0,0.5,2.0,2.0,1.0,0.813,0.0,0.0,,2.0,0.0,2.0,7.0,1.0,1.0,0.0,1.0,13.0,17.0,-5.0
Kyle Lowry,lowryky01,2025,7,1145.0,7.0,2024-11-06,,,LAC,"L, 98-110",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,2.0,4.0,1.0,0.0,2.0,2.0,0.0,-0.1,-9.0
Kyle Lowry,lowryky01,2025,8,1146.0,8.0,2024-11-08,,,LAL,"L, 106-116",*,,1.0,7.0,0.143,1.0,6.0,0.167,0.0,1.0,0.0,0.214,2.0,2.0,1.0,0.0,3.0,3.0,6.0,0.0,1.0,1.0,1.0,5.0,4.9,-6.0
Kyle Lowry,lowryky01,2025,9,1147.0,9.0,2024-11-10,,,CHO,"W, 107-105 (OT)",*,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,3.0,4.0,0.75,0.0,4.0,4.0,5.0,1.0,1.0,3.0,3.0,8.0,8.5,-1.0
Kyle Lowry,lowryky01,2025,10,1148.0,10.0,2024-11-12,,,NYK,"L, 99-111",*,,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,0.2,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,2.0,4.0,3.5,-7.0
Kyle Lowry,lowryky01,2025,11,1149.0,11.0,2024-11-13,,,CLE,"L, 106-114",*,,0.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,-0.9,-3.0
Kyle Lowry,lowryky01,2025,12,1150.0,12.0,2024-11-15,,,ORL,"L, 86-98",*,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,6.4,-15.0
Kyle Lowry,lowryky01,2025,13,1151.0,13.0,2024-11-18,,,MIA,"L, 89-106",*,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.9,-18.0
Kyle Lowry,lowryky01,2025,14,1152.0,19.0,2024-12-03,,,CHO,"W, 110-104",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,-2.0
Kyle Lowry,lowryky01,2025,15,1153.0,21.0,2024-12-06,,,ORL,"W, 102-94",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.3,10.0
Kyle Lowry,lowryky01,2025,16,1154.0,22.0,2024-12-08,,,CHI,"W, 108-100",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,0.2,-5.0
Kyle Lowry,lowryky01,2025,17,1155.0,24.0,2024-12-16,,,CHO,"W, 121-108",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,4.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.8,0.0
Kyle Lowry,lowryky01,2025,18,1156.0,25.0,2024-12-20,,,CHO,"W, 108-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.0
