player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Miles McBride,mcbrimi01,2025,1,173.0,1.0,2024-10-22,,,BOS,"L, 109-132",,,8.0,10.0,0.8,4.0,5.0,0.8,4.0,5.0,0.8,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,22.0,17.8,-18.0
Miles McBride,mcbrimi01,2025,2,174.0,2.0,2024-10-25,,,IND,"W, 123-98",,,3.0,4.0,0.75,2.0,2.0,1.0,1.0,2.0,0.5,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,8.0,5.2,7.0
Miles McBride,mcbrimi01,2025,3,175.0,3.0,2024-10-28,,,CLE,"L, 104-110",,,6.0,12.0,0.5,2.0,6.0,0.333,4.0,6.0,0.667,0.583,0.0,0.0,,1.0,2.0,3.0,4.0,0.0,0.0,1.0,2.0,14.0,10.3,-3.0
Miles McBride,mcbrimi01,2025,4,176.0,4.0,2024-10-30,,,MIA,"W, 116-107",,,3.0,8.0,0.375,2.0,5.0,0.4,1.0,3.0,0.333,0.5,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,10.0,8.6,-3.0
Miles McBride,mcbrimi01,2025,5,177.0,5.0,2024-11-01,,,DET,"W, 128-98",,,4.0,12.0,0.333,2.0,8.0,0.25,2.0,4.0,0.5,0.417,0.0,1.0,0.0,1.0,2.0,3.0,2.0,4.0,0.0,0.0,2.0,10.0,8.7,14.0
Miles McBride,mcbrimi01,2025,6,178.0,6.0,2024-11-04,,,HOU,"L, 97-109",,,0.0,9.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,-3.4,10.0
Miles McBride,mcbrimi01,2025,7,179.0,7.0,2024-11-06,,,ATL,"L, 116-121",,,5.0,9.0,0.556,4.0,6.0,0.667,1.0,3.0,0.333,0.778,2.0,2.0,1.0,0.0,4.0,4.0,7.0,0.0,1.0,3.0,3.0,16.0,14.3,13.0
Miles McBride,mcbrimi01,2025,8,180.0,8.0,2024-11-08,,,MIL,"W, 116-94",,,5.0,11.0,0.455,2.0,6.0,0.333,3.0,5.0,0.6,0.545,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,14.0,11.6,21.0
Miles McBride,mcbrimi01,2025,9,181.0,9.0,2024-11-10,,,IND,"L, 121-132",,,3.0,9.0,0.333,1.0,5.0,0.2,2.0,4.0,0.5,0.389,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,7.0,2.7,-5.0
Miles McBride,mcbrimi01,2025,10,182.0,10.0,2024-11-12,,,PHI,"W, 111-99",,,6.0,12.0,0.5,3.0,8.0,0.375,3.0,4.0,0.75,0.625,0.0,0.0,,0.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,15.0,11.9,12.0
Miles McBride,mcbrimi01,2025,11,183.0,11.0,2024-11-13,,,CHI,"L, 123-124",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.3,10.0
Miles McBride,mcbrimi01,2025,12,184.0,17.0,2024-11-25,,,DEN,"W, 145-118",,,5.0,9.0,0.556,3.0,6.0,0.5,2.0,3.0,0.667,0.722,0.0,0.0,,2.0,4.0,6.0,3.0,1.0,0.0,0.0,4.0,13.0,12.8,10.0
