player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Pete Nance,nancepe01,2025,1,9.0,30.0,2024-12-30,,,POR,"W, 125-103",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,-2.0
Pete Nance,nancepe01,2025,2,10.0,38.0,2025-01-14,,,OKC,"L, 102-118",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-0.5,-1.0
Pete Nance,nancepe01,2025,3,11.0,40.0,2025-01-18,,,IND,"L, 102-115",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.9,0.0
Pete Nance,nancepe01,2025,4,12.0,41.0,2025-01-19,,,MIL,"L, 109-123",,,3.0,9.0,0.333,2.0,8.0,0.25,1.0,1.0,1.0,0.444,0.0,0.0,,1.0,5.0,6.0,2.0,0.0,0.0,0.0,4.0,8.0,4.9,-4.0
Pete Nance,nancepe01,2025,5,13.0,42.0,2025-01-21,,,DEN,"L, 109-144",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-13.0
Pete Nance,nancepe01,2025,6,14.0,45.0,2025-01-28,,,LAL,"W, 118-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0
Pete Nance,nancepe01,2025,7,15.0,46.0,2025-01-29,,,SAC,"W, 117-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Pete Nance,nancepe01,2025,8,16.0,65.0,2025-03-13,,,LAL,"W, 126-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Pete Nance,nancepe01,2025,9,17.0,69.0,2025-03-20,,,LAL,"W, 118-89",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,1.0
Pete Nance,nancepe01,2025,10,18.0,74.0,2025-03-30,,,ATL,"L, 124-145",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-2.0
Pete Nance,nancepe01,2025,11,19.0,76.0,2025-04-03,,,PHI,"W, 126-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Pete Nance,nancepe01,2025,12,20.0,78.0,2025-04-06,,,NOP,"W, 111-107",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,2.0,3.0,5.0,2.0,1.0,0.0,0.0,1.0,2.0,5.3,-4.0
Pete Nance,nancepe01,2025,13,21.0,82.0,2025-04-13,,,DET,"W, 140-133 (OT)",*,,7.0,12.0,0.583,5.0,9.0,0.556,2.0,3.0,0.667,0.792,0.0,0.0,,1.0,5.0,6.0,5.0,0.0,2.0,4.0,5.0,19.0,14.5,6.0
