player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Andrew Nembhard,nembhan01,2025,1,144.0,1.0,2024-10-23,,,DET,"W, 115-109",*,,3.0,8.0,0.375,0.0,2.0,0.0,3.0,6.0,0.5,0.375,2.0,2.0,1.0,0.0,2.0,2.0,7.0,1.0,0.0,2.0,3.0,8.0,6.9,6.0
Andrew Nembhard,nembhan01,2025,2,145.0,2.0,2024-10-25,,,NYK,"L, 98-123",*,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,1.3,-20.0
Andrew Nembhard,nembhan01,2025,3,146.0,3.0,2024-10-27,,,PHI,"L, 114-118 (OT)",*,,3.0,11.0,0.273,1.0,4.0,0.25,2.0,7.0,0.286,0.318,3.0,4.0,0.75,0.0,2.0,2.0,8.0,0.0,0.0,1.0,6.0,10.0,5.9,6.0
Andrew Nembhard,nembhan01,2025,4,147.0,4.0,2024-10-28,,,ORL,"L, 115-119",*,,6.0,12.0,0.5,0.0,1.0,0.0,6.0,11.0,0.545,0.5,1.0,2.0,0.5,0.0,3.0,3.0,7.0,1.0,0.0,2.0,0.0,13.0,11.4,-3.0
Andrew Nembhard,nembhan01,2025,5,148.0,5.0,2024-10-30,,,BOS,"W, 135-132 (OT)",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.4,3.0
Andrew Nembhard,nembhan01,2025,6,149.0,7.0,2024-11-04,,,DAL,"W, 134-127",*,,4.0,9.0,0.444,1.0,2.0,0.5,3.0,7.0,0.429,0.5,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,11.0,8.5,7.0
Andrew Nembhard,nembhan01,2025,7,150.0,8.0,2024-11-06,,,ORL,"W, 118-111",*,,2.0,8.0,0.25,1.0,2.0,0.5,1.0,6.0,0.167,0.313,0.0,0.0,,0.0,2.0,2.0,5.0,1.0,0.0,1.0,3.0,5.0,3.1,5.0
Andrew Nembhard,nembhan01,2025,8,151.0,21.0,2024-12-01,,,MEM,"L, 121-136",*,,6.0,11.0,0.545,2.0,5.0,0.4,4.0,6.0,0.667,0.636,0.0,0.0,,0.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,14.0,13.3,5.0
Andrew Nembhard,nembhan01,2025,9,152.0,22.0,2024-12-03,,,TOR,"L, 111-122",*,,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,4.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,6.0,3.9,-18.0
Andrew Nembhard,nembhan01,2025,10,153.0,24.0,2024-12-06,,,CHI,"W, 132-123",*,,4.0,5.0,0.8,0.0,1.0,0.0,4.0,4.0,1.0,0.8,0.0,0.0,,0.0,6.0,6.0,4.0,2.0,0.0,1.0,1.0,8.0,11.3,4.0
Andrew Nembhard,nembhan01,2025,11,154.0,25.0,2024-12-08,,,CHO,"L, 109-113",*,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,2.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,4.0,1.0,10.0,8.0,-5.0
Andrew Nembhard,nembhan01,2025,12,155.0,26.0,2024-12-13,,,PHI,"W, 121-107",*,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,1.0,2.0,0.5,0.0,4.0,4.0,7.0,0.0,0.0,1.0,2.0,5.0,5.5,24.0
Andrew Nembhard,nembhan01,2025,13,156.0,27.0,2024-12-15,,,NOP,"W, 119-104",*,,5.0,8.0,0.625,0.0,2.0,0.0,5.0,6.0,0.833,0.625,7.0,7.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,5.0,1.0,17.0,13.9,18.0
Andrew Nembhard,nembhan01,2025,14,157.0,28.0,2024-12-19,,,PHO,"W, 120-111",*,,6.0,12.0,0.5,2.0,2.0,1.0,4.0,10.0,0.4,0.583,5.0,6.0,0.833,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,19.0,16.7,11.0
Andrew Nembhard,nembhan01,2025,15,158.0,29.0,2024-12-22,,,SAC,"W, 122-95",*,,5.0,6.0,0.833,2.0,2.0,1.0,3.0,4.0,0.75,1.0,0.0,0.0,,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,12.0,12.2,10.0
Andrew Nembhard,nembhan01,2025,16,159.0,30.0,2024-12-23,,,GSW,"W, 111-105",*,,6.0,13.0,0.462,1.0,4.0,0.25,5.0,9.0,0.556,0.5,2.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,4.0,2.0,15.0,7.2,4.0
Andrew Nembhard,nembhan01,2025,17,160.0,31.0,2024-12-26,,,OKC,"L, 114-120",*,,9.0,17.0,0.529,1.0,5.0,0.2,8.0,12.0,0.667,0.559,4.0,4.0,1.0,2.0,7.0,9.0,7.0,0.0,1.0,2.0,2.0,23.0,21.0,-3.0
Andrew Nembhard,nembhan01,2025,18,161.0,33.0,2024-12-29,,,BOS,"W, 123-114",*,,6.0,12.0,0.5,1.0,1.0,1.0,5.0,11.0,0.455,0.542,4.0,5.0,0.8,1.0,7.0,8.0,8.0,0.0,1.0,2.0,3.0,17.0,16.5,23.0
Andrew Nembhard,nembhan01,2025,19,162.0,34.0,2024-12-31,,,MIL,"L, 112-120",*,,4.0,14.0,0.286,2.0,5.0,0.4,2.0,9.0,0.222,0.357,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,10.0,0.9,2.0
Andrew Nembhard,nembhan01,2025,20,163.0,35.0,2025-01-02,,,MIA,"W, 128-115",*,,3.0,7.0,0.429,0.0,2.0,0.0,3.0,5.0,0.6,0.429,0.0,0.0,,3.0,3.0,6.0,6.0,1.0,0.0,0.0,1.0,6.0,10.1,10.0
