player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jordan Poole,poolejo01,2025,1,345.0,1.0,2024-10-24,,,BOS,"L, 102-122",*,,9.0,17.0,0.529,6.0,11.0,0.545,3.0,6.0,0.5,0.706,2.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,3.0,26.0,20.3,-19.0
Jordan Poole,poolejo01,2025,2,346.0,2.0,2024-10-26,,,CLE,"L, 116-135",*,,4.0,9.0,0.444,4.0,7.0,0.571,0.0,2.0,0.0,0.667,2.0,2.0,1.0,0.0,1.0,1.0,6.0,3.0,0.0,1.0,2.0,14.0,15.0,-17.0
Jordan Poole,poolejo01,2025,3,347.0,3.0,2024-10-28,,,ATL,"W, 121-119",*,,9.0,17.0,0.529,6.0,8.0,0.75,3.0,9.0,0.333,0.706,2.0,2.0,1.0,1.0,0.0,1.0,5.0,2.0,0.0,3.0,3.0,26.0,19.7,4.0
Jordan Poole,poolejo01,2025,4,348.0,4.0,2024-10-30,,,ATL,"W, 133-120",*,,6.0,18.0,0.333,4.0,9.0,0.444,2.0,9.0,0.222,0.444,8.0,8.0,1.0,1.0,2.0,3.0,9.0,3.0,0.0,5.0,4.0,24.0,17.8,14.0
Jordan Poole,poolejo01,2025,5,349.0,5.0,2024-11-02,,,MIA,"L, 98-118",*,,8.0,18.0,0.444,2.0,8.0,0.25,6.0,10.0,0.6,0.5,3.0,4.0,0.75,0.0,0.0,0.0,3.0,2.0,2.0,4.0,4.0,21.0,11.1,-22.0
Jordan Poole,poolejo01,2025,6,350.0,6.0,2024-11-04,,,GSW,"L, 112-125",*,,8.0,20.0,0.4,2.0,10.0,0.2,6.0,10.0,0.6,0.45,6.0,7.0,0.857,0.0,1.0,1.0,3.0,3.0,4.0,1.0,3.0,24.0,18.8,-9.0
Jordan Poole,poolejo01,2025,7,351.0,7.0,2024-11-08,,,MEM,"L, 104-128",*,,3.0,10.0,0.3,2.0,4.0,0.5,1.0,6.0,0.167,0.4,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,10.0,0.7,-20.0
Jordan Poole,poolejo01,2025,8,352.0,8.0,2024-11-10,,,ORL,"L, 94-121",*,,8.0,19.0,0.421,3.0,10.0,0.3,5.0,9.0,0.556,0.5,5.0,6.0,0.833,0.0,4.0,4.0,1.0,0.0,0.0,2.0,4.0,24.0,11.8,-12.0
Jordan Poole,poolejo01,2025,9,353.0,9.0,2024-11-11,,,HOU,"L, 92-107",*,,5.0,14.0,0.357,1.0,5.0,0.2,4.0,9.0,0.444,0.393,0.0,0.0,,0.0,5.0,5.0,6.0,4.0,0.0,8.0,3.0,11.0,3.7,-10.0
Jordan Poole,poolejo01,2025,10,354.0,10.0,2024-11-13,,,SAS,"L, 130-139",*,,15.0,22.0,0.682,6.0,9.0,0.667,9.0,13.0,0.692,0.818,6.0,6.0,1.0,0.0,2.0,2.0,6.0,2.0,0.0,3.0,5.0,42.0,34.4,-6.0
Jordan Poole,poolejo01,2025,11,355.0,11.0,2024-11-15,,,ATL,"L, 117-129",*,,6.0,14.0,0.429,4.0,9.0,0.444,2.0,5.0,0.4,0.571,6.0,7.0,0.857,0.0,5.0,5.0,6.0,2.0,0.0,3.0,5.0,22.0,16.9,-7.0
Jordan Poole,poolejo01,2025,12,356.0,12.0,2024-11-17,,,DET,"L, 104-124",*,,8.0,16.0,0.5,3.0,5.0,0.6,5.0,11.0,0.455,0.594,3.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,4.0,22.0,14.2,-33.0
Jordan Poole,poolejo01,2025,13,357.0,13.0,2024-11-18,,,NYK,"L, 106-134",*,,3.0,7.0,0.429,1.0,4.0,0.25,2.0,3.0,0.667,0.5,1.0,2.0,0.5,1.0,3.0,4.0,5.0,0.0,0.0,1.0,3.0,8.0,6.8,-14.0
Jordan Poole,poolejo01,2025,14,358.0,14.0,2024-11-22,,,BOS,"L, 96-108",*,,9.0,19.0,0.474,3.0,7.0,0.429,6.0,12.0,0.5,0.553,2.0,3.0,0.667,0.0,2.0,2.0,8.0,1.0,0.0,4.0,4.0,23.0,14.5,-6.0
Jordan Poole,poolejo01,2025,15,359.0,17.0,2024-11-27,,,LAC,"L, 96-121",*,,1.0,7.0,0.143,1.0,5.0,0.2,0.0,2.0,0.0,0.214,5.0,6.0,0.833,0.0,0.0,0.0,3.0,2.0,0.0,6.0,1.0,8.0,0.8,-24.0
Jordan Poole,poolejo01,2025,16,360.0,18.0,2024-11-30,,,MIL,"L, 114-124",*,,10.0,23.0,0.435,3.0,10.0,0.3,7.0,13.0,0.538,0.5,8.0,9.0,0.889,0.0,4.0,4.0,7.0,2.0,1.0,3.0,3.0,31.0,23.1,-7.0
Jordan Poole,poolejo01,2025,17,361.0,19.0,2024-12-03,,,CLE,"L, 87-118",*,,4.0,11.0,0.364,1.0,4.0,0.25,3.0,7.0,0.429,0.409,4.0,6.0,0.667,0.0,1.0,1.0,4.0,0.0,0.0,5.0,4.0,13.0,2.6,-25.0
Jordan Poole,poolejo01,2025,18,362.0,20.0,2024-12-05,,,DAL,"L, 101-137",*,,4.0,14.0,0.286,2.0,8.0,0.25,2.0,6.0,0.333,0.357,1.0,3.0,0.333,0.0,1.0,1.0,8.0,2.0,0.0,1.0,4.0,11.0,7.3,-21.0
Jordan Poole,poolejo01,2025,19,363.0,21.0,2024-12-07,,,DEN,"W, 122-113",*,,12.0,26.0,0.462,9.0,20.0,0.45,3.0,6.0,0.5,0.635,6.0,7.0,0.857,0.0,5.0,5.0,8.0,0.0,0.0,6.0,2.0,39.0,25.5,8.0
Jordan Poole,poolejo01,2025,20,364.0,22.0,2024-12-08,,,MEM,"L, 112-140",*,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,4.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,9.0,4.5,-28.0
Jordan Poole,poolejo01,2025,21,365.0,23.0,2024-12-13,,,CLE,"L, 105-115",*,,6.0,15.0,0.4,2.0,8.0,0.25,4.0,7.0,0.571,0.467,3.0,3.0,1.0,1.0,4.0,5.0,6.0,3.0,1.0,7.0,5.0,17.0,9.7,-9.0
Jordan Poole,poolejo01,2025,22,366.0,24.0,2024-12-15,,,BOS,"L, 98-112",*,,8.0,19.0,0.421,3.0,11.0,0.273,5.0,8.0,0.625,0.5,2.0,2.0,1.0,0.0,3.0,3.0,7.0,2.0,0.0,3.0,5.0,21.0,13.7,6.0
Jordan Poole,poolejo01,2025,23,367.0,25.0,2024-12-19,,,CHO,"W, 123-114",*,,7.0,15.0,0.467,5.0,10.0,0.5,2.0,5.0,0.4,0.633,8.0,10.0,0.8,1.0,2.0,3.0,4.0,2.0,2.0,2.0,5.0,27.0,22.0,3.0
Jordan Poole,poolejo01,2025,24,368.0,26.0,2024-12-21,,,MIL,"L, 101-112",*,,8.0,19.0,0.421,8.0,13.0,0.615,0.0,6.0,0.0,0.632,2.0,4.0,0.5,0.0,5.0,5.0,3.0,0.0,0.0,7.0,2.0,26.0,10.9,8.0
Jordan Poole,poolejo01,2025,25,369.0,27.0,2024-12-23,,,OKC,"L, 105-123",*,,9.0,20.0,0.45,5.0,12.0,0.417,4.0,8.0,0.5,0.575,8.0,10.0,0.8,1.0,2.0,3.0,7.0,2.0,1.0,4.0,3.0,31.0,23.5,-10.0
Jordan Poole,poolejo01,2025,26,370.0,28.0,2024-12-26,,,CHO,"W, 113-110",*,,7.0,19.0,0.368,5.0,15.0,0.333,2.0,4.0,0.5,0.5,6.0,7.0,0.857,2.0,4.0,6.0,3.0,1.0,2.0,1.0,2.0,25.0,19.4,12.0
Jordan Poole,poolejo01,2025,27,371.0,31.0,2025-01-01,,,CHI,"W, 125-107",*,,10.0,21.0,0.476,6.0,13.0,0.462,4.0,8.0,0.5,0.619,4.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,0.0,5.0,2.0,30.0,19.2,8.0
Jordan Poole,poolejo01,2025,28,372.0,32.0,2025-01-03,,,NOP,"L, 120-132",*,,8.0,18.0,0.444,3.0,10.0,0.3,5.0,8.0,0.625,0.528,7.0,8.0,0.875,1.0,3.0,4.0,7.0,1.0,0.0,3.0,4.0,26.0,19.1,-1.0
Jordan Poole,poolejo01,2025,29,373.0,36.0,2025-01-10,,,CHI,"L, 105-138",*,,7.0,13.0,0.538,6.0,9.0,0.667,1.0,4.0,0.25,0.769,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,22.0,14.7,-15.0
Jordan Poole,poolejo01,2025,30,374.0,37.0,2025-01-12,,,OKC,"L, 95-136",*,,3.0,10.0,0.3,0.0,6.0,0.0,3.0,4.0,0.75,0.3,7.0,7.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,6.0,3.0,13.0,3.7,-11.0
Jordan Poole,poolejo01,2025,31,375.0,38.0,2025-01-13,,,MIN,"L, 106-120",*,,8.0,21.0,0.381,4.0,11.0,0.364,4.0,10.0,0.4,0.476,0.0,0.0,,2.0,5.0,7.0,4.0,2.0,1.0,5.0,2.0,20.0,11.1,-18.0
Jordan Poole,poolejo01,2025,32,376.0,39.0,2025-01-16,,,PHO,"L, 123-130",*,,6.0,16.0,0.375,3.0,10.0,0.3,3.0,6.0,0.5,0.469,3.0,4.0,0.75,0.0,4.0,4.0,4.0,2.0,0.0,1.0,5.0,18.0,11.8,-23.0
Jordan Poole,poolejo01,2025,33,377.0,40.0,2025-01-18,,,GSW,"L, 114-122",*,,12.0,25.0,0.48,8.0,15.0,0.533,4.0,10.0,0.4,0.64,6.0,6.0,1.0,1.0,4.0,5.0,5.0,0.0,0.0,2.0,4.0,38.0,27.1,-6.0
Jordan Poole,poolejo01,2025,34,378.0,41.0,2025-01-19,,,SAC,"L, 100-123",*,,4.0,11.0,0.364,3.0,9.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,6.0,3.0,11.0,1.1,-16.0
Jordan Poole,poolejo01,2025,35,379.0,42.0,2025-01-21,,,LAL,"L, 88-111",*,,5.0,18.0,0.278,4.0,12.0,0.333,1.0,6.0,0.167,0.389,1.0,1.0,1.0,1.0,6.0,7.0,3.0,2.0,0.0,2.0,3.0,15.0,7.8,-11.0
Jordan Poole,poolejo01,2025,36,380.0,43.0,2025-01-23,,,LAC,"L, 93-110",*,,6.0,19.0,0.316,4.0,12.0,0.333,2.0,7.0,0.286,0.421,8.0,8.0,1.0,1.0,1.0,2.0,9.0,2.0,0.0,1.0,3.0,24.0,20.2,-4.0
Jordan Poole,poolejo01,2025,37,381.0,44.0,2025-01-25,,,PHO,"L, 109-119",*,,7.0,16.0,0.438,5.0,10.0,0.5,2.0,6.0,0.333,0.594,0.0,0.0,,1.0,3.0,4.0,10.0,6.0,1.0,1.0,3.0,19.0,23.7,-14.0
Jordan Poole,poolejo01,2025,38,382.0,45.0,2025-01-27,,,DAL,"L, 108-130",*,,6.0,15.0,0.4,3.0,9.0,0.333,3.0,6.0,0.5,0.5,0.0,0.0,,1.0,5.0,6.0,6.0,0.0,0.0,2.0,1.0,15.0,10.9,-15.0
Jordan Poole,poolejo01,2025,39,383.0,46.0,2025-01-29,,,TOR,"L, 82-106",*,,1.0,9.0,0.111,0.0,5.0,0.0,1.0,4.0,0.25,0.111,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,3.0,-4.3,-27.0
Jordan Poole,poolejo01,2025,40,384.0,47.0,2025-01-30,,,LAL,"L, 96-134",*,,5.0,15.0,0.333,3.0,10.0,0.3,2.0,5.0,0.4,0.433,6.0,7.0,0.857,1.0,4.0,5.0,2.0,0.0,0.0,3.0,4.0,19.0,8.8,-22.0
Jordan Poole,poolejo01,2025,41,385.0,48.0,2025-02-01,,,MIN,"W, 105-103",*,,6.0,13.0,0.462,4.0,9.0,0.444,2.0,4.0,0.5,0.615,3.0,4.0,0.75,0.0,4.0,4.0,3.0,0.0,2.0,3.0,4.0,19.0,12.0,2.0
Jordan Poole,poolejo01,2025,42,386.0,49.0,2025-02-03,,,CHO,"W, 124-114",*,,2.0,11.0,0.182,2.0,8.0,0.25,0.0,3.0,0.0,0.273,0.0,0.0,,0.0,3.0,3.0,6.0,1.0,2.0,3.0,2.0,6.0,2.8,-4.0
Jordan Poole,poolejo01,2025,43,387.0,50.0,2025-02-05,,,BRK,"W, 119-102",*,,6.0,15.0,0.4,3.0,10.0,0.3,3.0,5.0,0.6,0.5,4.0,4.0,1.0,1.0,2.0,3.0,8.0,1.0,0.0,3.0,2.0,19.0,15.0,18.0
Jordan Poole,poolejo01,2025,44,388.0,51.0,2025-02-07,,,CLE,"L, 124-134",*,,16.0,32.0,0.5,4.0,17.0,0.235,12.0,15.0,0.8,0.563,9.0,11.0,0.818,2.0,2.0,4.0,5.0,1.0,0.0,3.0,3.0,45.0,30.5,-2.0
Jordan Poole,poolejo01,2025,45,389.0,52.0,2025-02-08,,,ATL,"L, 111-125",*,,8.0,17.0,0.471,1.0,8.0,0.125,7.0,9.0,0.778,0.5,4.0,4.0,1.0,1.0,4.0,5.0,6.0,1.0,0.0,5.0,5.0,21.0,12.4,1.0
Jordan Poole,poolejo01,2025,46,390.0,53.0,2025-02-10,,,SAS,"L, 121-131",*,,4.0,18.0,0.222,2.0,13.0,0.154,2.0,5.0,0.4,0.278,6.0,6.0,1.0,0.0,6.0,6.0,4.0,1.0,0.0,3.0,3.0,16.0,6.4,-24.0
Jordan Poole,poolejo01,2025,47,391.0,54.0,2025-02-12,,,IND,"L, 130-134 (OT)",*,,15.0,29.0,0.517,6.0,15.0,0.4,9.0,14.0,0.643,0.621,6.0,6.0,1.0,0.0,5.0,5.0,5.0,2.0,1.0,4.0,5.0,42.0,29.4,-8.0
Jordan Poole,poolejo01,2025,48,392.0,55.0,2025-02-21,,,MIL,"L, 101-104",*,,3.0,11.0,0.273,0.0,5.0,0.0,3.0,6.0,0.5,0.273,5.0,6.0,0.833,1.0,1.0,2.0,5.0,0.0,0.0,1.0,3.0,11.0,6.4,-3.0
Jordan Poole,poolejo01,2025,49,393.0,56.0,2025-02-23,,,ORL,"L, 90-110",*,,6.0,16.0,0.375,3.0,9.0,0.333,3.0,7.0,0.429,0.469,1.0,2.0,0.5,0.0,3.0,3.0,4.0,2.0,0.0,2.0,5.0,16.0,8.5,-22.0
Jordan Poole,poolejo01,2025,50,394.0,57.0,2025-02-24,,,BRK,"W, 107-99",*,,8.0,13.0,0.615,5.0,8.0,0.625,3.0,5.0,0.6,0.808,5.0,5.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,3.0,1.0,26.0,19.3,13.0
Jordan Poole,poolejo01,2025,51,395.0,58.0,2025-02-26,,,POR,"L, 121-129",*,,8.0,17.0,0.471,3.0,9.0,0.333,5.0,8.0,0.625,0.559,5.0,5.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,2.0,3.0,24.0,18.2,-1.0
Jordan Poole,poolejo01,2025,52,396.0,62.0,2025-03-08,,,TOR,"W, 118-117",*,,12.0,20.0,0.6,7.0,12.0,0.583,5.0,8.0,0.625,0.775,3.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,2.0,34.0,30.2,6.0
Jordan Poole,poolejo01,2025,53,397.0,63.0,2025-03-10,,,TOR,"L, 104-119",*,,6.0,12.0,0.5,2.0,7.0,0.286,4.0,5.0,0.8,0.583,2.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,3.0,16.0,9.4,-15.0
Jordan Poole,poolejo01,2025,54,398.0,64.0,2025-03-11,,,DET,"L, 103-123",*,,5.0,15.0,0.333,3.0,9.0,0.333,2.0,6.0,0.333,0.433,2.0,2.0,1.0,0.0,5.0,5.0,3.0,2.0,0.0,1.0,1.0,15.0,10.7,-22.0
Jordan Poole,poolejo01,2025,55,399.0,65.0,2025-03-13,,,DET,"W, 129-125",*,,4.0,13.0,0.308,4.0,10.0,0.4,0.0,3.0,0.0,0.462,5.0,6.0,0.833,1.0,5.0,6.0,4.0,1.0,0.0,3.0,4.0,17.0,10.5,1.0
Jordan Poole,poolejo01,2025,56,400.0,66.0,2025-03-15,,,DEN,"W, 126-123",*,,7.0,11.0,0.636,4.0,7.0,0.571,3.0,4.0,0.75,0.818,1.0,2.0,0.5,0.0,0.0,0.0,6.0,1.0,1.0,6.0,1.0,19.0,13.2,-3.0
Jordan Poole,poolejo01,2025,57,401.0,67.0,2025-03-17,,,POR,"L, 97-112",*,,3.0,6.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.667,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9.0,7.6,-5.0
Jordan Poole,poolejo01,2025,58,402.0,68.0,2025-03-19,,,UTA,"L, 112-128",*,,1.0,11.0,0.091,0.0,9.0,0.0,1.0,2.0,0.5,0.091,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,2.0,-3.2,-1.0
