player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Quinten Post,postqu01,2025,1,1.0,30.0,2024-12-27,,,LAC,"L, 92-102",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Quinten Post,postqu01,2025,2,2.0,32.0,2024-12-30,,,CLE,"L, 95-113",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,1.0
Quinten Post,postqu01,2025,3,3.0,38.0,2025-01-10,,,IND,"L, 96-108",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0
Quinten Post,postqu01,2025,4,4.0,42.0,2025-01-20,,,BOS,"L, 85-125",,,4.0,8.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,0.563,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,9.0,7.1,-8.0
Quinten Post,postqu01,2025,5,5.0,43.0,2025-01-22,,,SAC,"L, 117-123",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,5.0,6.0,1.0,0.0,1.0,1.0,5.0,5.0,2.9,-10.0
Quinten Post,postqu01,2025,6,6.0,44.0,2025-01-23,,,CHI,"W, 131-106",,,7.0,12.0,0.583,5.0,10.0,0.5,2.0,2.0,1.0,0.792,1.0,1.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,4.0,20.0,15.8,13.0
Quinten Post,postqu01,2025,7,7.0,45.0,2025-01-25,,,LAL,"L, 108-118",,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,8.0,4.8,2.0
Quinten Post,postqu01,2025,8,8.0,46.0,2025-01-28,,,UTA,"W, 114-103",,,3.0,10.0,0.3,2.0,5.0,0.4,1.0,5.0,0.2,0.4,2.0,2.0,1.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,4.0,10.0,6.7,-3.0
Quinten Post,postqu01,2025,9,9.0,47.0,2025-01-29,,,OKC,"W, 116-109",*,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,-3.2,-11.0
Quinten Post,postqu01,2025,10,10.0,48.0,2025-01-31,,,PHO,"L, 105-130",*,,3.0,9.0,0.333,2.0,4.0,0.5,1.0,5.0,0.2,0.444,1.0,1.0,1.0,3.0,5.0,8.0,2.0,0.0,1.0,0.0,2.0,9.0,8.8,-17.0
