player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Lester Quiñones,quinole01,2025,1,42.0,1.0,2024-10-23,,,MIL,"L, 109-124",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,3.0
Lester Quiñones,quinole01,2025,2,43.0,8.0,2024-11-08,,,LAL,"L, 106-116",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.7,4.0
Lester Quiñones,quinole01,2025,3,44.0,16.0,2024-11-24,,,LAC,"L, 99-125",,,3.0,5.0,0.6,0.0,1.0,0.0,3.0,4.0,0.75,0.6,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.4,-5.0
Lester Quiñones,quinole01,2025,4,45.0,18.0,2024-11-30,,,DET,"W, 111-96",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-3.7,-6.0
Lester Quiñones,quinole01,2025,5,46.0,73.0,2025-03-24,,,PHI,"W, 112-99",,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,3.3,2.0
Lester Quiñones,quinole01,2025,6,47.0,75.0,2025-03-30,,,CHO,"W, 98-94",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.3,2.0
Lester Quiñones,quinole01,2025,7,48.0,76.0,2025-04-02,,,LAC,"L, 98-114",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Lester Quiñones,quinole01,2025,8,49.0,77.0,2025-04-04,,,LAL,"L, 108-124",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lester Quiñones,quinole01,2025,9,50.0,78.0,2025-04-06,,,MIL,"L, 107-111",,,6.0,10.0,0.6,4.0,5.0,0.8,2.0,5.0,0.4,0.8,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,17.0,12.0,-2.0
Lester Quiñones,quinole01,2025,10,51.0,79.0,2025-04-08,,,BRK,"L, 114-119",,,1.0,6.0,0.167,1.0,5.0,0.2,0.0,1.0,0.0,0.25,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0,-0.3,7.0
Lester Quiñones,quinole01,2025,11,52.0,80.0,2025-04-10,,,MIL,"L, 111-136",,,8.0,22.0,0.364,2.0,11.0,0.182,6.0,11.0,0.545,0.409,3.0,4.0,0.75,1.0,4.0,5.0,6.0,1.0,0.0,4.0,5.0,21.0,9.5,-22.0
Lester Quiñones,quinole01,2025,12,53.0,81.0,2025-04-11,,,MIA,"L, 104-153",,,3.0,9.0,0.333,2.0,6.0,0.333,1.0,3.0,0.333,0.444,1.0,2.0,0.5,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,9.0,4.8,-6.0
Lester Quiñones,quinole01,2025,13,54.0,82.0,2025-04-13,,,OKC,"L, 100-115",,,5.0,15.0,0.333,2.0,9.0,0.222,3.0,6.0,0.5,0.4,5.0,5.0,1.0,0.0,5.0,5.0,6.0,0.0,0.0,0.0,4.0,17.0,12.6,-6.0
