player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Cam Reddish,reddica01,2025,1,222.0,5.0,2024-10-30,,,CLE,"L, 110-134",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4,1.0
Cam Reddish,reddica01,2025,2,223.0,7.0,2024-11-04,,,DET,"L, 103-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,5.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,1.7,10.0
Cam Reddish,reddica01,2025,3,224.0,8.0,2024-11-06,,,MEM,"L, 114-131",,,5.0,7.0,0.714,2.0,2.0,1.0,3.0,5.0,0.6,0.857,3.0,4.0,0.75,2.0,4.0,6.0,2.0,2.0,0.0,0.0,3.0,15.0,16.5,0.0
Cam Reddish,reddica01,2025,4,225.0,9.0,2024-11-08,,,PHI,"W, 116-106",*,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,5.9,-6.0
Cam Reddish,reddica01,2025,5,226.0,10.0,2024-11-10,,,TOR,"W, 123-103",*,,5.0,7.0,0.714,1.0,3.0,0.333,4.0,4.0,1.0,0.786,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,11.0,10.0,7.0
Cam Reddish,reddica01,2025,6,227.0,11.0,2024-11-13,,,MEM,"W, 128-123",*,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,1.0,4.0,0.25,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,4.0,4.8,-12.0
Cam Reddish,reddica01,2025,7,228.0,12.0,2024-11-15,,,SAS,"W, 120-115",*,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.3,-16.0
Cam Reddish,reddica01,2025,8,229.0,14.0,2024-11-19,,,UTA,"W, 124-118",*,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,4.0,7.3,-2.0
Cam Reddish,reddica01,2025,9,230.0,15.0,2024-11-21,,,ORL,"L, 118-119",*,,3.0,4.0,0.75,2.0,2.0,1.0,1.0,2.0,0.5,1.0,0.0,0.0,,2.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,8.0,8.8,1.0
Cam Reddish,reddica01,2025,10,231.0,16.0,2024-11-23,,,DEN,"L, 102-127",*,,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,6.0,4.9,-23.0
Cam Reddish,reddica01,2025,11,232.0,17.0,2024-11-26,,,PHO,"L, 100-127",*,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
Cam Reddish,reddica01,2025,12,233.0,18.0,2024-11-27,,,SAS,"W, 119-101",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,-1.8,16.0
Cam Reddish,reddica01,2025,13,234.0,19.0,2024-11-29,,,OKC,"L, 93-101",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.5,2.0
