player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Ryan Rollins,rolliry01,2025,1,26.0,1.0,2024-10-23,,,PHI,"W, 124-109",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0
Ryan Rollins,rolliry01,2025,2,27.0,2.0,2024-10-25,,,CHI,"L, 122-133",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
Ryan Rollins,rolliry01,2025,3,28.0,4.0,2024-10-28,,,BOS,"L, 108-119",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,4.0
Ryan Rollins,rolliry01,2025,4,29.0,5.0,2024-10-31,,,MEM,"L, 99-122",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,-1.0
Ryan Rollins,rolliry01,2025,5,30.0,7.0,2024-11-04,,,CLE,"L, 114-116",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.6,7.0
Ryan Rollins,rolliry01,2025,6,31.0,8.0,2024-11-07,,,UTA,"W, 123-100",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.3,2.0
Ryan Rollins,rolliry01,2025,7,32.0,9.0,2024-11-08,,,NYK,"L, 94-116",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,3.0,2.0,7.0,4.3,8.0
Ryan Rollins,rolliry01,2025,8,33.0,10.0,2024-11-10,,,BOS,"L, 107-113",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.1,8.0
Ryan Rollins,rolliry01,2025,9,34.0,11.0,2024-11-12,,,TOR,"W, 99-85",*,,4.0,12.0,0.333,4.0,7.0,0.571,0.0,5.0,0.0,0.5,0.0,0.0,,1.0,4.0,5.0,3.0,5.0,0.0,2.0,2.0,12.0,11.4,10.0
Ryan Rollins,rolliry01,2025,10,35.0,20.0,2024-12-03,,,DET,"W, 128-107",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,5.0
Ryan Rollins,rolliry01,2025,11,36.0,21.0,2024-12-04,,,ATL,"L, 104-119",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.9,-1.0
Ryan Rollins,rolliry01,2025,12,37.0,26.0,2024-12-20,,,CLE,"L, 101-124",,,4.0,7.0,0.571,1.0,2.0,0.5,3.0,5.0,0.6,0.643,0.0,0.0,,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,9.0,10.1,4.0
Ryan Rollins,rolliry01,2025,13,38.0,27.0,2024-12-21,,,WAS,"W, 112-101",*,,5.0,10.0,0.5,2.0,5.0,0.4,3.0,5.0,0.6,0.6,2.0,3.0,0.667,0.0,3.0,3.0,2.0,1.0,0.0,3.0,1.0,14.0,8.5,-10.0
Ryan Rollins,rolliry01,2025,14,39.0,28.0,2024-12-23,,,CHI,"W, 112-91",*,,3.0,6.0,0.5,2.0,3.0,0.667,1.0,3.0,0.333,0.667,0.0,0.0,,0.0,5.0,5.0,1.0,2.0,1.0,2.0,2.0,8.0,7.1,1.0
Ryan Rollins,rolliry01,2025,15,40.0,29.0,2024-12-26,,,BRK,"L, 105-111",*,,3.0,7.0,0.429,1.0,5.0,0.2,2.0,2.0,1.0,0.5,0.0,0.0,,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,7.0,5.5,-12.0
Ryan Rollins,rolliry01,2025,16,41.0,30.0,2024-12-28,,,CHI,"L, 111-116",,,3.0,6.0,0.5,1.0,1.0,1.0,2.0,5.0,0.4,0.583,0.0,0.0,,0.0,7.0,7.0,1.0,1.0,2.0,0.0,2.0,7.0,8.4,3.0
Ryan Rollins,rolliry01,2025,17,42.0,31.0,2024-12-31,,,IND,"W, 120-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Ryan Rollins,rolliry01,2025,18,43.0,32.0,2025-01-02,,,BRK,"L, 110-113",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,2.1,-12.0
Ryan Rollins,rolliry01,2025,19,44.0,33.0,2025-01-04,,,POR,"L, 102-105",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.4,1.0
Ryan Rollins,rolliry01,2025,20,45.0,34.0,2025-01-06,,,TOR,"W, 128-104",,,4.0,8.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.5,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,10.0,7.9,9.0
Ryan Rollins,rolliry01,2025,21,46.0,35.0,2025-01-08,,,SAS,"W, 121-105",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.6,-4.0
