player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Terry Rozier,roziete01,2025,1,602.0,1.0,2024-10-23,,,ORL,"L, 97-116",*,,5.0,15.0,0.333,2.0,7.0,0.286,3.0,8.0,0.375,0.4,7.0,7.0,1.0,0.0,6.0,6.0,5.0,0.0,2.0,3.0,0.0,19.0,14.2,-14.0
Terry Rozier,roziete01,2025,2,603.0,2.0,2024-10-26,,,CHO,"W, 114-106",*,,7.0,12.0,0.583,3.0,6.0,0.5,4.0,6.0,0.667,0.708,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,2.0,3.0,19.0,13.8,5.0
Terry Rozier,roziete01,2025,3,604.0,3.0,2024-10-28,,,DET,"W, 106-98",*,,7.0,16.0,0.438,5.0,12.0,0.417,2.0,4.0,0.5,0.594,1.0,1.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,3.0,20.0,13.0,-7.0
Terry Rozier,roziete01,2025,4,605.0,4.0,2024-10-30,,,NYK,"L, 107-116",*,,5.0,14.0,0.357,4.0,8.0,0.5,1.0,6.0,0.167,0.5,2.0,2.0,1.0,0.0,4.0,4.0,7.0,2.0,0.0,2.0,2.0,16.0,13.5,-5.0
Terry Rozier,roziete01,2025,5,606.0,5.0,2024-11-02,,,WAS,"W, 118-98",*,,4.0,13.0,0.308,3.0,7.0,0.429,1.0,6.0,0.167,0.423,1.0,2.0,0.5,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,12.0,8.2,29.0
Terry Rozier,roziete01,2025,6,607.0,6.0,2024-11-04,,,SAC,"L, 110-111",*,,3.0,6.0,0.5,3.0,6.0,0.5,0.0,0.0,,0.75,1.0,2.0,0.5,0.0,5.0,5.0,4.0,0.0,0.0,2.0,2.0,10.0,8.1,6.0
Terry Rozier,roziete01,2025,7,608.0,7.0,2024-11-06,,,PHO,"L, 112-115",*,,2.0,10.0,0.2,1.0,7.0,0.143,1.0,3.0,0.333,0.25,2.0,2.0,1.0,1.0,6.0,7.0,5.0,1.0,0.0,2.0,1.0,7.0,5.4,10.0
Terry Rozier,roziete01,2025,8,609.0,8.0,2024-11-08,,,DEN,"L, 122-135",*,,6.0,13.0,0.462,2.0,3.0,0.667,4.0,10.0,0.4,0.538,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,15.0,12.4,-22.0
Terry Rozier,roziete01,2025,9,610.0,9.0,2024-11-10,,,MIN,"W, 95-94",*,,4.0,8.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.5,3.0,3.0,1.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,11.0,8.4,-5.0
Terry Rozier,roziete01,2025,10,611.0,10.0,2024-11-12,,,DET,"L, 121-123 (OT)",*,,3.0,14.0,0.214,0.0,5.0,0.0,3.0,9.0,0.333,0.214,1.0,1.0,1.0,0.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,7.0,0.4,-2.0
Terry Rozier,roziete01,2025,11,612.0,11.0,2024-11-15,,,IND,"W, 124-111",*,,4.0,9.0,0.444,1.0,4.0,0.25,3.0,5.0,0.6,0.5,1.0,2.0,0.5,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,10.0,6.2,11.0
Terry Rozier,roziete01,2025,12,613.0,12.0,2024-11-17,,,IND,"L, 110-119",*,,4.0,12.0,0.333,0.0,5.0,0.0,4.0,7.0,0.571,0.333,1.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,9.0,4.9,-15.0
