player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Marcus Sasser,sassema01,2025,1,72.0,1.0,2024-10-23,,,IND,"L, 109-115",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,9.0
Marcus Sasser,sassema01,2025,2,73.0,2.0,2024-10-25,,,CLE,"L, 101-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
Marcus Sasser,sassema01,2025,3,74.0,6.0,2024-11-01,,,NYK,"L, 98-128",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.3,12.0
Marcus Sasser,sassema01,2025,4,75.0,7.0,2024-11-03,,,BRK,"W, 106-92",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Marcus Sasser,sassema01,2025,5,76.0,13.0,2024-11-13,,,MIL,"L, 120-127 (OT)",,,4.0,6.0,0.667,1.0,2.0,0.5,3.0,4.0,0.75,0.75,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,10.8,-14.0
Marcus Sasser,sassema01,2025,6,77.0,14.0,2024-11-15,,,TOR,"W, 99-95",,,3.0,8.0,0.375,0.0,3.0,0.0,3.0,5.0,0.6,0.375,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,1.0,1.0,0.0,6.0,5.2,7.0
Marcus Sasser,sassema01,2025,7,78.0,15.0,2024-11-17,,,WAS,"W, 124-104",,,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,0.438,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.2,-6.0
Marcus Sasser,sassema01,2025,8,79.0,16.0,2024-11-18,,,CHI,"L, 112-122",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,7.0
Marcus Sasser,sassema01,2025,9,80.0,17.0,2024-11-21,,,CHO,"L, 121-123 (OT)",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,-1.2,3.0
Marcus Sasser,sassema01,2025,10,81.0,18.0,2024-11-23,,,ORL,"L, 100-111",,,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,13.0,10.7,3.0
Marcus Sasser,sassema01,2025,11,82.0,19.0,2024-11-25,,,TOR,"W, 102-100",,,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,9.0,5.6,-22.0
Marcus Sasser,sassema01,2025,12,83.0,20.0,2024-11-27,,,MEM,"L, 111-131",,,9.0,13.0,0.692,2.0,4.0,0.5,7.0,9.0,0.778,0.769,2.0,2.0,1.0,3.0,0.0,3.0,5.0,2.0,0.0,2.0,2.0,22.0,21.3,-21.0
Marcus Sasser,sassema01,2025,13,84.0,21.0,2024-11-29,,,IND,"W, 130-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.4,2.0
Marcus Sasser,sassema01,2025,14,85.0,22.0,2024-11-30,,,PHI,"L, 96-111",,,5.0,11.0,0.455,2.0,3.0,0.667,3.0,8.0,0.375,0.545,0.0,0.0,,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,12.0,10.7,1.0
Marcus Sasser,sassema01,2025,15,86.0,23.0,2024-12-03,,,MIL,"L, 107-128",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.1,3.0
Marcus Sasser,sassema01,2025,16,87.0,24.0,2024-12-04,,,BOS,"L, 120-130",,,5.0,7.0,0.714,2.0,3.0,0.667,3.0,4.0,0.75,0.857,0.0,0.0,,1.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,12.0,12.7,6.0
Marcus Sasser,sassema01,2025,17,88.0,26.0,2024-12-12,,,BOS,"L, 99-123",,,4.0,7.0,0.571,1.0,4.0,0.25,3.0,3.0,1.0,0.643,0.0,0.0,,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,9.0,10.9,2.0
Marcus Sasser,sassema01,2025,18,89.0,27.0,2024-12-16,,,MIA,"W, 125-124 (OT)",,,2.0,4.0,0.5,2.0,3.0,0.667,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,6.0,4.9,-7.0
Marcus Sasser,sassema01,2025,19,90.0,28.0,2024-12-19,,,UTA,"L, 119-126",,,2.0,5.0,0.4,1.0,3.0,0.333,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,1.0,4.0,5.0,2.8,-1.0
Marcus Sasser,sassema01,2025,20,91.0,31.0,2024-12-26,,,SAC,"W, 114-113",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.9,5.0
