player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Dennis Schröder,schrode01,2025,1,768.0,1.0,2024-10-23,,,ATL,"L, 116-120",*,,5.0,16.0,0.313,2.0,6.0,0.333,3.0,10.0,0.3,0.375,1.0,2.0,0.5,0.0,3.0,3.0,7.0,1.0,0.0,5.0,4.0,13.0,3.6,-4.0
Dennis Schröder,schrode01,2025,2,769.0,2.0,2024-10-25,,,ORL,"L, 101-116",*,,7.0,12.0,0.583,3.0,4.0,0.75,4.0,8.0,0.5,0.708,3.0,4.0,0.75,0.0,1.0,1.0,6.0,1.0,0.0,2.0,3.0,20.0,16.3,6.0
Dennis Schröder,schrode01,2025,3,770.0,3.0,2024-10-27,,,MIL,"W, 115-102",*,,8.0,15.0,0.533,5.0,8.0,0.625,3.0,7.0,0.429,0.7,8.0,8.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,2.0,3.0,29.0,24.9,27.0
Dennis Schröder,schrode01,2025,4,771.0,4.0,2024-10-29,,,DEN,"L, 139-144 (OT)",*,,10.0,18.0,0.556,5.0,11.0,0.455,5.0,7.0,0.714,0.694,3.0,4.0,0.75,0.0,0.0,0.0,14.0,0.0,0.0,3.0,5.0,28.0,23.8,-11.0
Dennis Schröder,schrode01,2025,5,772.0,5.0,2024-10-30,,,MEM,"W, 119-106",*,,11.0,14.0,0.786,6.0,9.0,0.667,5.0,5.0,1.0,1.0,5.0,5.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,2.0,1.0,33.0,32.4,9.0
Dennis Schröder,schrode01,2025,6,773.0,6.0,2024-11-01,,,CHI,"W, 120-112",*,,4.0,12.0,0.333,1.0,3.0,0.333,3.0,9.0,0.333,0.375,0.0,0.0,,1.0,6.0,7.0,7.0,3.0,0.0,2.0,1.0,9.0,10.2,4.0
Dennis Schröder,schrode01,2025,7,774.0,7.0,2024-11-03,,,DET,"L, 92-106",*,,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,5.0,5.0,4.0,3.0,0.0,2.0,3.0,7.0,7.4,-11.0
Dennis Schröder,schrode01,2025,8,775.0,8.0,2024-11-04,,,MEM,"W, 106-104",*,,7.0,15.0,0.467,2.0,7.0,0.286,5.0,8.0,0.625,0.533,4.0,5.0,0.8,0.0,2.0,2.0,6.0,1.0,0.0,3.0,4.0,20.0,13.1,5.0
Dennis Schröder,schrode01,2025,9,776.0,9.0,2024-11-08,,,BOS,"L, 104-108 (OT)",*,,9.0,23.0,0.391,2.0,8.0,0.25,7.0,15.0,0.467,0.435,0.0,0.0,,0.0,3.0,3.0,3.0,4.0,0.0,4.0,2.0,20.0,9.7,-2.0
Dennis Schröder,schrode01,2025,10,777.0,10.0,2024-11-09,,,CLE,"L, 100-105",*,,7.0,14.0,0.5,4.0,8.0,0.5,3.0,6.0,0.5,0.643,4.0,4.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,2.0,22.0,17.7,3.0
