player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jalen Suggs,suggsja01,2025,1,177.0,1.0,2024-10-23,,,MIA,"W, 116-97",*,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,4.0,4.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,3.0,11.0,11.6,18.0
Jalen Suggs,suggsja01,2025,2,178.0,2.0,2024-10-25,,,BRK,"W, 116-101",*,,3.0,6.0,0.5,2.0,3.0,0.667,1.0,3.0,0.333,0.667,2.0,2.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,3.0,2.0,10.0,6.4,-1.0
Jalen Suggs,suggsja01,2025,3,179.0,3.0,2024-10-26,,,MEM,"L, 111-124",*,,6.0,17.0,0.353,5.0,13.0,0.385,1.0,4.0,0.25,0.5,4.0,4.0,1.0,0.0,7.0,7.0,3.0,4.0,1.0,2.0,1.0,21.0,18.0,-13.0
Jalen Suggs,suggsja01,2025,4,180.0,4.0,2024-10-28,,,IND,"W, 119-115",*,,8.0,17.0,0.471,6.0,13.0,0.462,2.0,4.0,0.5,0.647,3.0,4.0,0.75,1.0,4.0,5.0,7.0,1.0,1.0,2.0,1.0,25.0,22.0,9.0
Jalen Suggs,suggsja01,2025,5,181.0,5.0,2024-10-30,,,CHI,"L, 99-102",*,,7.0,16.0,0.438,3.0,9.0,0.333,4.0,7.0,0.571,0.531,0.0,0.0,,0.0,6.0,6.0,5.0,4.0,2.0,4.0,3.0,17.0,14.1,-3.0
Jalen Suggs,suggsja01,2025,6,182.0,6.0,2024-11-01,,,CLE,"L, 109-120",*,,10.0,20.0,0.5,1.0,7.0,0.143,9.0,13.0,0.692,0.525,7.0,8.0,0.875,1.0,7.0,8.0,7.0,3.0,1.0,3.0,2.0,28.0,25.2,-8.0
Jalen Suggs,suggsja01,2025,7,183.0,7.0,2024-11-03,,,DAL,"L, 85-108",*,,4.0,13.0,0.308,1.0,5.0,0.2,3.0,8.0,0.375,0.346,1.0,2.0,0.5,1.0,3.0,4.0,2.0,1.0,2.0,0.0,2.0,10.0,6.7,-26.0
Jalen Suggs,suggsja01,2025,8,184.0,8.0,2024-11-04,,,OKC,"L, 86-102",*,,6.0,13.0,0.462,1.0,4.0,0.25,5.0,9.0,0.556,0.5,6.0,6.0,1.0,0.0,6.0,6.0,6.0,0.0,1.0,2.0,4.0,19.0,15.4,-17.0
Jalen Suggs,suggsja01,2025,9,185.0,9.0,2024-11-06,,,IND,"L, 111-118",*,,6.0,10.0,0.6,1.0,3.0,0.333,5.0,7.0,0.714,0.65,2.0,2.0,1.0,1.0,4.0,5.0,6.0,1.0,1.0,5.0,3.0,15.0,12.0,-14.0
Jalen Suggs,suggsja01,2025,10,186.0,10.0,2024-11-08,,,NOP,"W, 115-88",*,,3.0,9.0,0.333,1.0,6.0,0.167,2.0,3.0,0.667,0.389,0.0,0.0,,0.0,6.0,6.0,3.0,1.0,2.0,5.0,1.0,7.0,2.8,9.0
