player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Moritz Wagner,wagnemo01,2025,1,334.0,1.0,2024-10-23,,,MIA,"W, 116-97",,,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,2.0,2.0,1.0,1.0,5.0,6.0,2.0,0.0,0.0,1.0,2.0,7.0,6.8,0.0
Moritz Wagner,wagnemo01,2025,2,335.0,2.0,2024-10-25,,,BRK,"W, 116-101",,,7.0,8.0,0.875,1.0,2.0,0.5,6.0,6.0,1.0,0.938,3.0,4.0,0.75,0.0,3.0,3.0,0.0,1.0,1.0,3.0,5.0,18.0,12.4,2.0
Moritz Wagner,wagnemo01,2025,3,336.0,3.0,2024-10-26,,,MEM,"L, 111-124",,,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.563,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0,9.0,5.8,-11.0
Moritz Wagner,wagnemo01,2025,4,337.0,4.0,2024-10-28,,,IND,"W, 119-115",,,5.0,10.0,0.5,1.0,2.0,0.5,4.0,8.0,0.5,0.55,3.0,4.0,0.75,2.0,2.0,4.0,1.0,0.0,0.0,2.0,3.0,14.0,8.1,-7.0
Moritz Wagner,wagnemo01,2025,5,338.0,5.0,2024-10-30,,,CHI,"L, 99-102",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,4.0,4.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,2.0,1.0,7.0,4.7,5.0
Moritz Wagner,wagnemo01,2025,6,339.0,6.0,2024-11-01,,,CLE,"L, 109-120",*,,5.0,9.0,0.556,0.0,2.0,0.0,5.0,7.0,0.714,0.556,4.0,7.0,0.571,0.0,5.0,5.0,0.0,2.0,0.0,2.0,0.0,14.0,10.0,-14.0
Moritz Wagner,wagnemo01,2025,7,340.0,7.0,2024-11-03,,,DAL,"L, 85-108",,,3.0,10.0,0.3,0.0,4.0,0.0,3.0,6.0,0.5,0.3,4.0,4.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,4.0,10.0,3.4,-23.0
Moritz Wagner,wagnemo01,2025,8,341.0,8.0,2024-11-04,,,OKC,"L, 86-102",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,5.0,6.0,0.833,0.0,7.0,7.0,1.0,2.0,1.0,4.0,2.0,9.0,6.6,-16.0
Moritz Wagner,wagnemo01,2025,9,342.0,9.0,2024-11-06,,,IND,"L, 111-118",,,4.0,8.0,0.5,0.0,1.0,0.0,4.0,7.0,0.571,0.5,6.0,7.0,0.857,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0,10.2,-3.0
Moritz Wagner,wagnemo01,2025,10,343.0,10.0,2024-11-08,,,NOP,"W, 115-88",,,8.0,11.0,0.727,1.0,1.0,1.0,7.0,10.0,0.7,0.773,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,3.0,0.0,17.0,12.1,17.0
