player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jabari Walker,walkeja01,2025,1,129.0,1.0,2024-10-23,,,GSW,"L, 104-140",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,-7.0
Jabari Walker,walkeja01,2025,2,130.0,2.0,2024-10-25,,,NOP,"L, 103-105",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.3,1.0
Jabari Walker,walkeja01,2025,3,131.0,3.0,2024-10-27,,,NOP,"W, 125-103",,,2.0,7.0,0.286,1.0,2.0,0.5,1.0,5.0,0.2,0.357,2.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,3.0,7.0,3.7,4.0
Jabari Walker,walkeja01,2025,4,132.0,4.0,2024-10-28,,,SAC,"L, 98-111",,,5.0,9.0,0.556,0.0,2.0,0.0,5.0,7.0,0.714,0.556,5.0,5.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,15.0,12.9,6.0
Jabari Walker,walkeja01,2025,5,133.0,5.0,2024-10-30,,,LAC,"W, 106-105",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Jabari Walker,walkeja01,2025,6,134.0,6.0,2024-11-01,,,OKC,"L, 114-137",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0
Jabari Walker,walkeja01,2025,7,135.0,8.0,2024-11-04,,,NOP,"W, 118-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Jabari Walker,walkeja01,2025,8,136.0,9.0,2024-11-07,,,SAS,"L, 105-118",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,1.0
Jabari Walker,walkeja01,2025,9,137.0,10.0,2024-11-08,,,MIN,"L, 102-127",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0
Jabari Walker,walkeja01,2025,10,138.0,11.0,2024-11-10,,,MEM,"L, 89-134",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,1.8,-6.0
Jabari Walker,walkeja01,2025,11,139.0,13.0,2024-11-13,,,MIN,"W, 106-98",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.5,-3.0
Jabari Walker,walkeja01,2025,12,140.0,16.0,2024-11-22,,,HOU,"L, 88-116",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,-1.1,-5.0
Jabari Walker,walkeja01,2025,13,141.0,18.0,2024-11-25,,,MEM,"L, 98-123",,,4.0,9.0,0.444,0.0,3.0,0.0,4.0,6.0,0.667,0.444,1.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,0.0,0.0,2.0,9.0,8.5,-8.0
Jabari Walker,walkeja01,2025,14,142.0,19.0,2024-11-27,,,IND,"L, 114-121",,,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,-0.9,-3.0
Jabari Walker,walkeja01,2025,15,143.0,20.0,2024-11-29,,,SAC,"W, 115-106",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,6.1,7.0
Jabari Walker,walkeja01,2025,16,144.0,21.0,2024-12-01,,,DAL,"L, 131-137",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,-11.0
Jabari Walker,walkeja01,2025,17,145.0,22.0,2024-12-03,,,LAC,"L, 105-127",,,3.0,7.0,0.429,0.0,1.0,0.0,3.0,6.0,0.5,0.429,0.0,0.0,,2.0,3.0,5.0,1.0,1.0,1.0,2.0,0.0,6.0,5.0,4.0
Jabari Walker,walkeja01,2025,18,146.0,23.0,2024-12-06,,,UTA,"L, 99-141",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,-0.3,-9.0
Jabari Walker,walkeja01,2025,19,147.0,24.0,2024-12-08,,,LAL,"L, 98-107",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,2.5,5.0
Jabari Walker,walkeja01,2025,20,148.0,25.0,2024-12-13,,,SAS,"L, 116-118",*,,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,0.0,5.0,5.0,0.0,2.0,0.0,0.0,5.0,5.0,5.2,13.0
Jabari Walker,walkeja01,2025,21,149.0,26.0,2024-12-15,,,PHO,"L, 109-116",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-6.0
Jabari Walker,walkeja01,2025,22,150.0,28.0,2024-12-21,,,SAS,"L, 94-114",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3,6.0
Jabari Walker,walkeja01,2025,23,151.0,29.0,2024-12-23,,,DAL,"L, 108-132",,,6.0,7.0,0.857,1.0,1.0,1.0,5.0,6.0,0.833,0.929,0.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,12.4,5.0
Jabari Walker,walkeja01,2025,24,152.0,32.0,2024-12-30,,,PHI,"L, 103-125",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.9,3.0
Jabari Walker,walkeja01,2025,25,153.0,36.0,2025-01-08,,,NOP,"W, 119-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,-9.0
Jabari Walker,walkeja01,2025,26,154.0,38.0,2025-01-11,,,MIA,"L, 98-119",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-3.0
Jabari Walker,walkeja01,2025,27,155.0,39.0,2025-01-14,,,BRK,"L, 114-132",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-20.0
Jabari Walker,walkeja01,2025,28,156.0,40.0,2025-01-16,,,LAC,"L, 89-118",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,,2.0,4.0,6.0,1.0,3.0,0.0,0.0,0.0,2.0,5.9,-2.0
Jabari Walker,walkeja01,2025,29,157.0,41.0,2025-01-18,,,HOU,"L, 103-125",,,5.0,7.0,0.714,0.0,2.0,0.0,5.0,5.0,1.0,0.714,0.0,0.0,,0.0,5.0,5.0,0.0,1.0,0.0,1.0,4.0,10.0,7.0,2.0
Jabari Walker,walkeja01,2025,30,158.0,42.0,2025-01-19,,,CHI,"W, 113-102",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,2.5,4.0
Jabari Walker,walkeja01,2025,31,159.0,43.0,2025-01-21,,,MIA,"W, 116-107",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jabari Walker,walkeja01,2025,32,160.0,44.0,2025-01-23,,,ORL,"W, 101-79",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,2.0,0.0,1.0,3.0,4.0,1.0,6.0,1.0,1.0,5.0,2.0,6.2,10.0
Jabari Walker,walkeja01,2025,33,161.0,45.0,2025-01-24,,,CHO,"W, 102-97",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,1.0,4.0,0.25,2.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,0.3,-14.0
Jabari Walker,walkeja01,2025,34,162.0,47.0,2025-01-28,,,MIL,"W, 125-112",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Jabari Walker,walkeja01,2025,35,163.0,48.0,2025-01-30,,,ORL,"W, 119-90",,,3.0,4.0,0.75,2.0,2.0,1.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,3.0,10.0,6.4,13.0
Jabari Walker,walkeja01,2025,36,164.0,49.0,2025-02-01,,,PHO,"W, 127-108",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-6.0
Jabari Walker,walkeja01,2025,37,165.0,51.0,2025-02-04,,,IND,"W, 112-89",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0
Jabari Walker,walkeja01,2025,38,166.0,54.0,2025-02-10,,,DEN,"L, 117-146",,,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,0.0,0.375,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,4.4,0.0
