player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Blake Wesley,weslebl01,2025,1,99.0,1.0,2024-10-24,,,DAL,"L, 109-120",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,6.1,13.0
Blake Wesley,weslebl01,2025,2,100.0,2.0,2024-10-26,,,HOU,"W, 109-106",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.6,0.0
Blake Wesley,weslebl01,2025,3,101.0,3.0,2024-10-28,,,HOU,"L, 101-106",,,2.0,6.0,0.333,1.0,3.0,0.333,1.0,3.0,0.333,0.417,1.0,2.0,0.5,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,6.0,4.0,-1.0
Blake Wesley,weslebl01,2025,4,102.0,4.0,2024-10-30,,,OKC,"L, 93-105",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.2,3.0
Blake Wesley,weslebl01,2025,5,103.0,5.0,2024-10-31,,,UTA,"W, 106-88",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-3.8,-14.0
Blake Wesley,weslebl01,2025,6,104.0,6.0,2024-11-02,,,MIN,"W, 113-103",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.0
Blake Wesley,weslebl01,2025,7,105.0,8.0,2024-11-06,,,HOU,"L, 100-127",,,2.0,8.0,0.25,1.0,2.0,0.5,1.0,6.0,0.167,0.313,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,0.8,-10.0
Blake Wesley,weslebl01,2025,8,106.0,9.0,2024-11-07,,,POR,"W, 118-105",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,8.0,2.0,0.0,2.0,2.0,10.0,13.9,0.0
Blake Wesley,weslebl01,2025,9,107.0,10.0,2024-11-09,,,UTA,"L, 110-111",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,3.0,-4.0
Blake Wesley,weslebl01,2025,10,108.0,11.0,2024-11-11,,,SAC,"W, 116-96",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.7,-4.0
Blake Wesley,weslebl01,2025,11,109.0,12.0,2024-11-13,,,WAS,"W, 139-130",,,5.0,5.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,10.0,9.8,9.0
Blake Wesley,weslebl01,2025,12,110.0,13.0,2024-11-15,,,LAL,"L, 115-120",,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.8,-16.0
Blake Wesley,weslebl01,2025,13,111.0,14.0,2024-11-16,,,DAL,"L, 93-110",,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,3.7,4.0
Blake Wesley,weslebl01,2025,14,112.0,16.0,2024-11-21,,,UTA,"W, 126-118",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9,-5.0
Blake Wesley,weslebl01,2025,15,113.0,17.0,2024-11-23,,,GSW,"W, 104-94",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,7.0,6.0,8.0
Blake Wesley,weslebl01,2025,16,114.0,18.0,2024-11-26,,,UTA,"W, 128-115",,,4.0,5.0,0.8,1.0,2.0,0.5,3.0,3.0,1.0,0.9,2.0,4.0,0.5,1.0,2.0,3.0,4.0,2.0,0.0,2.0,0.0,11.0,12.4,34.0
Blake Wesley,weslebl01,2025,17,115.0,19.0,2024-11-27,,,LAL,"L, 101-119",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.1,-2.0
Blake Wesley,weslebl01,2025,18,116.0,22.0,2024-12-05,,,CHI,"L, 124-139",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.8,-11.0
Blake Wesley,weslebl01,2025,19,117.0,23.0,2024-12-06,,,SAC,"L, 113-140",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3,-6.0
Blake Wesley,weslebl01,2025,20,118.0,25.0,2024-12-13,,,POR,"W, 118-116",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,2.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,8.0,12.6,19.0
Blake Wesley,weslebl01,2025,21,119.0,26.0,2024-12-15,,,MIN,"L, 92-106",,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,4.0,5.4,5.0
Blake Wesley,weslebl01,2025,22,120.0,28.0,2024-12-21,,,POR,"W, 114-94",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,-6.0
