player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Cody Williams,willico01,2025,1,1.0,1.0,2024-10-23,,,MEM,"L, 124-126",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,0.6,-4.0
Cody Williams,willico01,2025,2,2.0,2.0,2024-10-25,,,GSW,"L, 86-127",,,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,0.1,-31.0
Cody Williams,willico01,2025,3,3.0,3.0,2024-10-28,,,DAL,"L, 102-110",,,1.0,5.0,0.2,0.0,3.0,0.0,1.0,2.0,0.5,0.2,0.0,0.0,,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.6,-10.0
Cody Williams,willico01,2025,4,4.0,4.0,2024-10-29,,,SAC,"L, 96-113",*,,3.0,7.0,0.429,3.0,6.0,0.5,0.0,1.0,0.0,0.643,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,9.0,7.3,-11.0
Cody Williams,willico01,2025,5,5.0,5.0,2024-10-31,,,SAS,"L, 88-106",*,,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,0.0,2.0,0.1,-13.0
Cody Williams,willico01,2025,6,6.0,6.0,2024-11-02,,,DEN,"L, 103-129",*,,2.0,11.0,0.182,0.0,5.0,0.0,2.0,6.0,0.333,0.182,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-2.6,-20.0
Cody Williams,willico01,2025,7,7.0,7.0,2024-11-04,,,CHI,"W, 135-126",*,,5.0,8.0,0.625,0.0,1.0,0.0,5.0,7.0,0.714,0.625,1.0,4.0,0.25,2.0,3.0,5.0,4.0,1.0,0.0,0.0,1.0,11.0,11.9,16.0
Cody Williams,willico01,2025,8,8.0,8.0,2024-11-07,,,MIL,"L, 100-123",*,,2.0,5.0,0.4,2.0,4.0,0.5,0.0,1.0,0.0,0.6,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0,3.9,-22.0
Cody Williams,willico01,2025,9,9.0,9.0,2024-11-09,,,SAS,"W, 111-110",*,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.4,-4.0
Cody Williams,willico01,2025,10,10.0,10.0,2024-11-12,,,PHO,"L, 112-120",*,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,-0.4,0.0
Cody Williams,willico01,2025,11,11.0,11.0,2024-11-14,,,DAL,"W, 115-113",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,2.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,1.4,11.0
Cody Williams,willico01,2025,12,12.0,12.0,2024-11-16,,,SAC,"L, 117-121",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,-1.2,-6.0
Cody Williams,willico01,2025,13,13.0,13.0,2024-11-17,,,LAC,"L, 105-116",,,3.0,5.0,0.6,2.0,3.0,0.667,1.0,2.0,0.5,0.8,0.0,0.0,,2.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,8.0,9.7,-19.0
Cody Williams,willico01,2025,14,14.0,14.0,2024-11-19,,,LAL,"L, 118-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,-6.0
Cody Williams,willico01,2025,15,15.0,15.0,2024-11-21,,,SAS,"L, 118-126",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,-2.3,-8.0
