player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Jeenathan Williams,willije02,2025,1,28.0,2.0,2024-10-25,,,MEM,"W, 128-108",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,2.0
Jeenathan Williams,willije02,2025,2,29.0,14.0,2024-11-17,,,CHI,"W, 143-107",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0
Jeenathan Williams,willije02,2025,3,30.0,16.0,2024-11-20,,,IND,"W, 130-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Jeenathan Williams,willije02,2025,4,31.0,36.0,2025-01-07,,,WAS,"W, 135-112",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,3.0
Jeenathan Williams,willije02,2025,5,32.0,39.0,2025-01-15,,,DEN,"W, 128-108",,,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.125,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,9.1,-1.0
Jeenathan Williams,willije02,2025,6,33.0,41.0,2025-01-18,,,POR,"W, 125-103",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Jeenathan Williams,willije02,2025,7,34.0,55.0,2025-02-13,,,GSW,"L, 98-105",,,5.0,9.0,0.556,1.0,3.0,0.333,4.0,6.0,0.667,0.611,0.0,0.0,,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,11.0,8.4,16.0
Jeenathan Williams,willije02,2025,8,35.0,59.0,2025-02-26,,,SAS,"W, 118-106",,,1.0,4.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.8,-10.0
Jeenathan Williams,willije02,2025,9,36.0,61.0,2025-03-03,,,OKC,"L, 128-137",,,2.0,9.0,0.222,0.0,2.0,0.0,2.0,7.0,0.286,0.222,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,6.0,-2.8,-6.0
Jeenathan Williams,willije02,2025,10,37.0,62.0,2025-03-04,,,IND,"L, 102-115",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,1.0
