player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Vince Williams Jr.,willivi01,2025,1,68.0,13.0,2024-11-15,,,GSW,"L, 118-123",,,4.0,9.0,0.444,0.0,4.0,0.0,4.0,5.0,0.8,0.444,1.0,4.0,0.25,2.0,3.0,5.0,4.0,0.0,2.0,2.0,4.0,9.0,6.0,7.0
Vince Williams Jr.,willivi01,2025,2,69.0,14.0,2024-11-17,,,DEN,"W, 105-90",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,1.0,1.0,5.0,0.0,0.0,2.0,4.0,3.0,0.8,3.0
Vince Williams Jr.,willivi01,2025,3,70.0,15.0,2024-11-19,,,DEN,"L, 110-122",,,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,3.0,1.0,4.0,-0.5,4.0
Vince Williams Jr.,willivi01,2025,4,71.0,51.0,2025-02-05,,,TOR,"W, 138-107",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,0.0,1.0,0.0,3.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,6.7,18.0
Vince Williams Jr.,willivi01,2025,5,72.0,52.0,2025-02-08,,,OKC,"L, 112-125",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,4.0,5.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,4.8,10.0
Vince Williams Jr.,willivi01,2025,6,73.0,53.0,2025-02-11,,,PHO,"W, 119-112",,,3.0,9.0,0.333,1.0,6.0,0.167,2.0,3.0,0.667,0.389,0.0,0.0,,2.0,7.0,9.0,1.0,0.0,0.0,1.0,4.0,7.0,3.5,8.0
Vince Williams Jr.,willivi01,2025,7,74.0,55.0,2025-02-20,,,IND,"L, 113-127",,,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,2.0,4.0,6.0,2.0,1.0,0.0,0.0,1.0,7.0,7.9,-13.0
Vince Williams Jr.,willivi01,2025,8,75.0,57.0,2025-02-23,,,CLE,"L, 123-129",,,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,5.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,10.0,6.9,7.0
Vince Williams Jr.,willivi01,2025,9,76.0,58.0,2025-02-25,,,PHO,"W, 151-148 (OT)",,,2.0,6.0,0.333,1.0,5.0,0.2,1.0,1.0,1.0,0.417,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,1.2,-3.0
Vince Williams Jr.,willivi01,2025,10,77.0,59.0,2025-02-28,,,NYK,"L, 113-114",,,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,0.0,0.0,,0.0,7.0,7.0,4.0,0.0,0.0,2.0,0.0,7.0,6.9,-19.0
Vince Williams Jr.,willivi01,2025,11,78.0,61.0,2025-03-03,,,ATL,"L, 130-132",,,6.0,9.0,0.667,3.0,5.0,0.6,3.0,4.0,0.75,0.833,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,4.0,2.0,15.0,9.3,5.0
Vince Williams Jr.,willivi01,2025,12,79.0,62.0,2025-03-05,,,OKC,"L, 103-120",*,,5.0,12.0,0.417,1.0,7.0,0.143,4.0,5.0,0.8,0.458,1.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,12.0,7.1,-9.0
Vince Williams Jr.,willivi01,2025,13,80.0,63.0,2025-03-07,,,DAL,"W, 122-111",,,4.0,6.0,0.667,2.0,3.0,0.667,2.0,3.0,0.667,0.833,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,12.0,12.3,-3.0
Vince Williams Jr.,willivi01,2025,14,81.0,64.0,2025-03-09,,,NOP,"W, 107-104",*,,3.0,12.0,0.25,1.0,8.0,0.125,2.0,4.0,0.5,0.292,0.0,0.0,,2.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,7.0,2.5,-7.0
Vince Williams Jr.,willivi01,2025,15,82.0,66.0,2025-03-12,,,UTA,"W, 122-115",,,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,0.2,0.0,0.0,,0.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,2.0,1.7,-4.0
Vince Williams Jr.,willivi01,2025,16,83.0,67.0,2025-03-14,,,CLE,"L, 124-133",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,2.5,4.0
Vince Williams Jr.,willivi01,2025,17,84.0,69.0,2025-03-17,,,SAC,"L, 122-132",,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,-0.3,-15.0
Vince Williams Jr.,willivi01,2025,18,85.0,70.0,2025-03-19,,,POR,"L, 99-115",,,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,4.0,5.4,0.0
Vince Williams Jr.,willivi01,2025,19,86.0,71.0,2025-03-21,,,LAC,"L, 108-128",,,2.0,11.0,0.182,1.0,7.0,0.143,1.0,4.0,0.25,0.227,0.0,0.0,,2.0,6.0,8.0,3.0,0.0,0.0,1.0,3.0,5.0,1.2,-10.0
Vince Williams Jr.,willivi01,2025,20,87.0,72.0,2025-03-25,,,UTA,"W, 140-103",,,5.0,7.0,0.714,3.0,5.0,0.6,2.0,2.0,1.0,0.929,2.0,2.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,15.0,11.6,31.0
Vince Williams Jr.,willivi01,2025,21,88.0,73.0,2025-03-27,,,OKC,"L, 104-125",,,3.0,7.0,0.429,1.0,4.0,0.25,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,7.0,3.0,-12.0
Vince Williams Jr.,willivi01,2025,22,89.0,74.0,2025-03-29,,,LAL,"L, 127-134",,,1.0,4.0,0.25,1.0,3.0,0.333,0.0,1.0,0.0,0.375,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,2.1,-11.0
Vince Williams Jr.,willivi01,2025,23,90.0,75.0,2025-03-31,,,BOS,"L, 103-117",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.4,1.0
Vince Williams Jr.,willivi01,2025,24,91.0,79.0,2025-04-08,,,CHO,"W, 124-100",,,3.0,6.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.667,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,8.0,5.6,8.0
Vince Williams Jr.,willivi01,2025,25,92.0,80.0,2025-04-10,,,MIN,"L, 125-141",*,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,5.0,2.8,-12.0
Vince Williams Jr.,willivi01,2025,26,93.0,81.0,2025-04-11,,,DEN,"L, 109-117",*,,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,0.2,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,-1.0,5.0
Vince Williams Jr.,willivi01,2025,27,94.0,82.0,2025-04-13,,,DAL,"W, 132-97",*,,4.0,8.0,0.5,2.0,3.0,0.667,2.0,5.0,0.4,0.625,2.0,2.0,1.0,5.0,6.0,11.0,5.0,0.0,1.0,0.0,1.0,12.0,17.1,12.0
