player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kyle Anderson,anderky01,2026,1,715.0,5.0,2025-10-31,,,PHO,"L, 96-118",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,2.0,3.0,0.667,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,8.0,6.2,-5.0
Kyle Anderson,anderky01,2026,2,716.0,6.0,2025-11-02,,,CHO,"L, 103-126",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,3.2,4.0
Kyle Anderson,anderky01,2026,3,717.0,9.0,2025-11-07,,,MIN,"L, 97-137",,,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,2.0,2.0,1.0,2.0,2.0,4.0,4.0,0.0,0.0,1.0,2.0,8.0,7.3,-3.0
Kyle Anderson,anderky01,2026,4,718.0,14.0,2025-11-18,,,LAL,"L, 126-140",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,1.0,2.0,0.5,1.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,5.0,7.9,3.0
Kyle Anderson,anderky01,2026,5,719.0,17.0,2025-11-24,,,GSW,"L, 117-134",,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,0.0,0.0,,1.0,5.0,6.0,6.0,1.0,1.0,2.0,4.0,12.0,14.0,-1.0
Kyle Anderson,anderky01,2026,6,720.0,19.0,2025-11-30,,,HOU,"L, 101-129",,,3.0,7.0,0.429,1.0,1.0,1.0,2.0,6.0,0.333,0.5,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,7.0,6.1,-16.0
Kyle Anderson,anderky01,2026,7,721.0,21.0,2025-12-04,,,BRK,"W, 123-110",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,2.0,2.0,1.0,2.0,3.0,5.0,3.0,4.0,1.0,1.0,2.0,8.0,13.0,-8.0
Kyle Anderson,anderky01,2026,8,722.0,22.0,2025-12-05,,,NYK,"L, 112-146",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,3.0,4.0,0.75,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,5.9,4.0
Kyle Anderson,anderky01,2026,9,723.0,25.0,2025-12-15,,,DAL,"W, 140-133 (OT)",,,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0,-3.7,-20.0
Kyle Anderson,anderky01,2026,10,724.0,33.0,2026-01-01,,,LAC,"L, 101-118",,,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,6.0,7.0,0.857,3.0,5.0,8.0,1.0,2.0,2.0,2.0,3.0,22.0,22.3,7.0
Kyle Anderson,anderky01,2026,11,725.0,37.0,2026-01-08,,,DAL,"W, 116-114",,,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,0.0,0.0,,1.0,6.0,7.0,2.0,2.0,0.0,0.0,1.0,2.0,4.4,-4.0
Kyle Anderson,anderky01,2026,12,726.0,38.0,2026-01-10,,,CHO,"L, 95-150",,,3.0,10.0,0.3,0.0,1.0,0.0,3.0,9.0,0.333,0.3,1.0,2.0,0.5,2.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,7.0,4.2,-20.0
Kyle Anderson,anderky01,2026,13,727.0,40.0,2026-01-14,,,CHI,"L, 126-128",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,1.0,1.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,3.0,7.0,8.2,6.0
Kyle Anderson,anderky01,2026,14,728.0,41.0,2026-01-15,,,DAL,"L, 122-144",,,5.0,7.0,0.714,1.0,1.0,1.0,4.0,6.0,0.667,0.786,1.0,6.0,0.167,1.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,12.0,13.8,-9.0
Kyle Anderson,anderky01,2026,15,729.0,42.0,2026-01-17,,,DAL,"L, 120-138",,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,4.0,8.0,4.1,-1.0
Kyle Anderson,anderky01,2026,16,730.0,44.0,2026-01-20,,,MIN,"W, 127-122",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.3,-3.0
Kyle Anderson,anderky01,2026,17,731.0,46.0,2026-01-24,,,MIA,"L, 116-147",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.2,1.0
Kyle Anderson,anderky01,2026,18,732.0,47.0,2026-01-27,,,LAC,"L, 103-115",,,4.0,6.0,0.667,1.0,1.0,1.0,3.0,5.0,0.6,0.75,3.0,3.0,1.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,12.0,14.4,7.0
Kyle Anderson,anderky01,2026,19,733.0,48.0,2026-01-28,,,GSW,"L, 124-140",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,2.0,2.0,1.0,3.0,2.0,5.0,6.0,0.0,1.0,1.0,3.0,6.0,8.7,3.0
Kyle Anderson,anderky01,2026,20,734.0,49.0,2026-01-30,,,BRK,"L, 99-109",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,2.0,3.5,-16.0
Kyle Anderson,anderky01,2026,21,735.0,51.0,2026-02-07,,,POR,"L, 115-122",*,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,1.0,3.0,0.333,1.0,5.0,6.0,2.0,2.0,2.0,1.0,3.0,11.0,12.8,-6.0
Kyle Anderson,anderky01,2026,22,736.0,52.0,2026-02-09,,,GSW,"L, 113-114",*,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,2.0,2.0,1.0,0.0,4.0,4.0,0.0,2.0,2.0,5.0,2.0,8.0,5.2,-3.0
Kyle Anderson,anderky01,2026,23,737.0,53.0,2026-02-11,,,DEN,"L, 116-122",*,,4.0,5.0,0.8,0.0,0.0,,4.0,5.0,0.8,0.8,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,0.0,6.0,8.0,7.1,3.0
Kyle Anderson,anderky01,2026,24,738.0,54.0,2026-02-20,,,UTA,"W, 123-114",,,3.0,4.0,0.75,1.0,1.0,1.0,2.0,3.0,0.667,0.875,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,8.3,2.0
Kyle Anderson,anderky01,2026,25,739.0,62.0,2026-03-03,,,MEM,"W, 117-110",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,-5.0
Kyle Anderson,anderky01,2026,26,740.0,63.0,2026-03-05,,,TOR,"W, 115-107",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,4.0,4.5,-11.0
Kyle Anderson,anderky01,2026,27,741.0,65.0,2026-03-10,,,LAL,"L, 106-120",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,5.0,6.0,3.0,0.0,1.0,0.0,3.0,5.0,7.8,-6.0
Kyle Anderson,anderky01,2026,28,742.0,66.0,2026-03-11,,,LAC,"L, 128-153",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,4.0,0.75,0.0,1.0,1.0,3.0,1.0,0.0,1.0,5.0,5.0,4.7,-2.0
Kyle Anderson,anderky01,2026,29,743.0,67.0,2026-03-13,,,GSW,"W, 127-117",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,-0.6,-5.0
Kyle Anderson,anderky01,2026,30,744.0,68.0,2026-03-15,,,OKC,"L, 103-116",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,3.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.6,-2.0
Kyle Anderson,anderky01,2026,31,745.0,69.0,2026-03-17,,,PHO,"W, 116-104",,,3.0,4.0,0.75,0.0,1.0,0.0,3.0,3.0,1.0,0.75,1.0,2.0,0.5,0.0,5.0,5.0,6.0,0.0,1.0,1.0,0.0,7.0,10.4,12.0
