player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Devin Booker,bookede01,2026,1,674.0,1.0,2025-10-22,,,SAC,"W, 120-116",*,,10.0,19.0,0.526,1.0,3.0,0.333,9.0,16.0,0.563,0.553,10.0,15.0,0.667,2.0,3.0,5.0,3.0,1.0,0.0,6.0,5.0,31.0,17.1,1.0
Devin Booker,bookede01,2026,2,675.0,2.0,2025-10-24,,,LAC,"L, 102-129",*,,5.0,10.0,0.5,1.0,4.0,0.25,4.0,6.0,0.667,0.55,7.0,7.0,1.0,0.0,3.0,3.0,7.0,0.0,0.0,3.0,2.0,18.0,15.0,-22.0
Devin Booker,bookede01,2026,3,676.0,3.0,2025-10-25,,,DEN,"L, 111-133",*,,10.0,16.0,0.625,2.0,5.0,0.4,8.0,11.0,0.727,0.688,9.0,9.0,1.0,1.0,2.0,3.0,7.0,0.0,0.0,9.0,1.0,31.0,20.6,-13.0
Devin Booker,bookede01,2026,4,677.0,4.0,2025-10-27,,,UTA,"L, 134-138 (OT)",*,,11.0,26.0,0.423,5.0,12.0,0.417,6.0,14.0,0.429,0.519,7.0,10.0,0.7,1.0,4.0,5.0,10.0,0.0,1.0,2.0,4.0,34.0,25.0,-5.0
Devin Booker,bookede01,2026,5,678.0,5.0,2025-10-29,,,MEM,"L, 113-114",*,,10.0,26.0,0.385,4.0,11.0,0.364,6.0,15.0,0.4,0.462,8.0,9.0,0.889,4.0,0.0,4.0,3.0,1.0,1.0,3.0,2.0,32.0,20.2,4.0
Devin Booker,bookede01,2026,6,679.0,6.0,2025-10-31,,,UTA,"W, 118-96",*,,13.0,23.0,0.565,6.0,9.0,0.667,7.0,14.0,0.5,0.696,4.0,5.0,0.8,2.0,4.0,6.0,9.0,0.0,1.0,1.0,4.0,36.0,31.7,19.0
Devin Booker,bookede01,2026,7,680.0,7.0,2025-11-02,,,SAS,"W, 130-118",*,,10.0,15.0,0.667,2.0,2.0,1.0,8.0,13.0,0.615,0.733,6.0,6.0,1.0,0.0,2.0,2.0,13.0,1.0,0.0,5.0,3.0,28.0,26.0,26.0
Devin Booker,bookede01,2026,8,681.0,8.0,2025-11-04,,,GSW,"L, 107-118",*,,13.0,24.0,0.542,1.0,5.0,0.2,12.0,19.0,0.632,0.563,11.0,11.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,5.0,1.0,38.0,26.1,8.0
Devin Booker,bookede01,2026,9,682.0,9.0,2025-11-06,,,LAC,"W, 115-102",*,,10.0,22.0,0.455,3.0,7.0,0.429,7.0,15.0,0.467,0.523,1.0,1.0,1.0,0.0,6.0,6.0,7.0,3.0,0.0,3.0,4.0,24.0,17.7,11.0
Devin Booker,bookede01,2026,10,683.0,10.0,2025-11-08,,,LAC,"W, 114-103",*,,8.0,19.0,0.421,0.0,3.0,0.0,8.0,16.0,0.5,0.421,5.0,5.0,1.0,3.0,7.0,10.0,9.0,0.0,0.0,5.0,4.0,21.0,14.8,7.0
