player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Tony Bradley,bradlto01,2026,1,194.0,1.0,2025-10-23,,,OKC,"L, 135-141 (2OT)",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.8,-9.0
Tony Bradley,bradlto01,2026,2,195.0,2.0,2025-10-25,,,MEM,"L, 103-128",,,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.667,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,2.1,-8.0
Tony Bradley,bradlto01,2026,3,196.0,3.0,2025-10-26,,,MIN,"L, 110-114",,,6.0,7.0,0.857,0.0,0.0,,6.0,7.0,0.857,0.857,0.0,0.0,,4.0,1.0,5.0,1.0,1.0,1.0,0.0,4.0,12.0,13.4,4.0
Tony Bradley,bradlto01,2026,4,197.0,4.0,2025-10-29,,,DAL,"L, 105-107",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,4.0,4.0,8.0,1.0,0.0,0.0,0.0,3.0,6.0,7.2,-2.0
Tony Bradley,bradlto01,2026,5,198.0,5.0,2025-10-31,,,ATL,"L, 108-128",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.4,-2.0
Tony Bradley,bradlto01,2026,6,199.0,6.0,2025-11-01,,,GSW,"W, 114-109",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,3.0,4.0,0.75,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,5.1,-12.0
Tony Bradley,bradlto01,2026,7,200.0,7.0,2025-11-03,,,MIL,"L, 115-117",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,3.6,1.0
Tony Bradley,bradlto01,2026,8,201.0,8.0,2025-11-05,,,BRK,"L, 103-112",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,-6.0
Tony Bradley,bradlto01,2026,9,202.0,9.0,2025-11-08,,,DEN,"L, 100-117",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,0.0,,4.0,1.0,5.0,3.0,0.0,0.0,1.0,4.0,6.0,7.0,-8.0
Tony Bradley,bradlto01,2026,10,203.0,10.0,2025-11-09,,,GSW,"L, 83-114",,,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,2.0,2.0,1.0,2.0,4.0,6.0,1.0,0.0,1.0,0.0,1.0,6.0,6.2,0.0
Tony Bradley,bradlto01,2026,11,204.0,11.0,2025-11-11,,,UTA,"L, 128-152",*,,4.0,6.0,0.667,0.0,0.0,,4.0,6.0,0.667,0.667,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,6.7,-6.0
Tony Bradley,bradlto01,2026,12,205.0,12.0,2025-11-13,,,PHO,"L, 98-133",*,,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,10.0,6.6,-1.0
Tony Bradley,bradlto01,2026,13,206.0,13.0,2025-11-15,,,TOR,"L, 111-129",*,,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,2.7,-6.0
Tony Bradley,bradlto01,2026,14,207.0,14.0,2025-11-17,,,DET,"L, 112-127",,,1.0,6.0,0.167,0.0,0.0,,1.0,6.0,0.167,0.167,2.0,2.0,1.0,3.0,2.0,5.0,1.0,0.0,0.0,3.0,5.0,4.0,-1.4,-10.0
Tony Bradley,bradlto01,2026,15,208.0,15.0,2025-11-19,,,CHO,"W, 127-118",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.5,-5.0
Tony Bradley,bradlto01,2026,16,209.0,16.0,2025-11-21,,,CLE,"L, 109-120",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.9,-1.0
Tony Bradley,bradlto01,2026,17,210.0,17.0,2025-11-24,,,DET,"L, 117-122",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.1,-11.0
Tony Bradley,bradlto01,2026,18,211.0,19.0,2025-11-28,,,WAS,"W, 119-86",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0
Tony Bradley,bradlto01,2026,19,212.0,21.0,2025-12-01,,,CLE,"L, 119-135",,,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.7,2.0
Tony Bradley,bradlto01,2026,20,213.0,22.0,2025-12-03,,,DEN,"L, 120-135",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,5.0,6.0,0.833,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,7.0,6.5,-10.0
Tony Bradley,bradlto01,2026,21,214.0,23.0,2025-12-05,,,CHI,"W, 120-105",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Tony Bradley,bradlto01,2026,22,215.0,25.0,2025-12-12,,,PHI,"L, 105-115",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,3.3,1.0
Tony Bradley,bradlto01,2026,23,216.0,27.0,2025-12-18,,,NYK,"L, 113-114",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.3,0.0
Tony Bradley,bradlto01,2026,24,217.0,30.0,2025-12-23,,,MIL,"L, 94-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Tony Bradley,bradlto01,2026,25,218.0,31.0,2025-12-26,,,BOS,"L, 122-140",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,-6.0
Tony Bradley,bradlto01,2026,26,219.0,32.0,2025-12-27,,,MIA,"L, 116-142",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,2.1,-9.0
