player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Toumani Camara,camarto01,2026,1,149.0,1.0,2025-10-22,,,MIN,"L, 114-118",*,,3,9,0.333,2,5,0.4,1,4,0.25,0.444,2,2,1.0,4,5,9,5,0,0,0,1,10,12.3,-1
Toumani Camara,camarto01,2026,2,150.0,2.0,2025-10-24,,,GSW,"W, 139-119",*,,7,13,0.538,3,7,0.429,4,6,0.667,0.654,2,2,1.0,2,5,7,2,3,0,1,4,19,17.4,23
Toumani Camara,camarto01,2026,3,151.0,3.0,2025-10-26,,,LAC,"L, 107-114",*,,2,8,0.25,0,3,0.0,2,5,0.4,0.25,1,2,0.5,0,2,2,4,1,0,0,3,5,3.0,-8
Toumani Camara,camarto01,2026,4,152.0,4.0,2025-10-27,,,LAL,"W, 122-108",*,,2,7,0.286,0,3,0.0,2,4,0.5,0.286,0,0,,3,1,4,3,0,1,2,2,4,2.3,4
Toumani Camara,camarto01,2026,5,153.0,5.0,2025-10-29,,,UTA,"W, 136-134",*,,6,14,0.429,3,8,0.375,3,6,0.5,0.536,2,2,1.0,3,1,4,5,2,0,2,4,17,13.9,-3
Toumani Camara,camarto01,2026,6,154.0,6.0,2025-10-31,,,DEN,"W, 109-107",*,,5,12,0.417,2,5,0.4,3,7,0.429,0.5,2,4,0.5,0,2,2,3,2,2,1,5,14,9.9,-2
Toumani Camara,camarto01,2026,7,155.0,7.0,2025-11-03,,,LAL,"L, 115-123",*,,5,13,0.385,3,11,0.273,2,2,1.0,0.5,1,2,0.5,2,5,7,2,2,0,3,3,14,8.6,-1
Toumani Camara,camarto01,2026,8,156.0,8.0,2025-11-05,,,OKC,"W, 121-119",*,,6,9,0.667,3,5,0.6,3,4,0.75,0.833,1,2,0.5,2,3,5,2,0,1,3,6,16,10.7,-12
Toumani Camara,camarto01,2026,9,157.0,9.0,2025-11-08,,,MIA,"L, 131-136",*,,5,17,0.294,3,13,0.231,2,4,0.5,0.382,0,0,,2,5,7,1,0,0,3,3,13,2.5,-12
Toumani Camara,camarto01,2026,10,158.0,10.0,2025-11-10,,,ORL,"L, 112-115",*,,3,9,0.333,1,6,0.167,2,3,0.667,0.389,1,1,1.0,1,4,5,3,1,1,1,3,8,6.4,3
Toumani Camara,camarto01,2026,11,159.0,11.0,2025-11-12,,,NOP,"W, 125-117",*,,4,8,0.5,3,6,0.5,1,2,0.5,0.688,2,2,1.0,1,2,3,5,2,1,4,2,13,11.7,8
Toumani Camara,camarto01,2026,12,160.0,12.0,2025-11-14,,,HOU,"L, 116-140",*,,6,12,0.5,3,7,0.429,3,5,0.6,0.625,1,2,0.5,1,2,3,0,0,0,4,1,16,6.5,-27
Toumani Camara,camarto01,2026,13,161.0,13.0,2025-11-16,,,DAL,"L, 133-138 (OT)",*,,5,13,0.385,1,7,0.143,4,6,0.667,0.423,0,0,,4,6,10,3,1,0,2,4,11,8.0,-4
Toumani Camara,camarto01,2026,14,162.0,14.0,2025-11-18,,,PHO,"L, 110-127",*,,2,10,0.2,2,9,0.222,0,1,0.0,0.3,0,0,,1,1,2,3,1,0,4,3,6,-1.3,-17
Toumani Camara,camarto01,2026,15,163.0,15.0,2025-11-19,,,CHI,"L, 121-122",*,,6,15,0.4,2,8,0.25,4,7,0.571,0.467,0,0,,3,2,5,2,2,1,3,3,14,8.5,4
Toumani Camara,camarto01,2026,16,164.0,16.0,2025-11-21,,,GSW,"W, 127-123",*,,7,11,0.636,4,6,0.667,3,5,0.6,0.818,2,2,1.0,5,2,7,1,0,1,2,5,20,16.6,6
Toumani Camara,camarto01,2026,17,165.0,17.0,2025-11-23,,,OKC,"L, 95-122",*,,2,6,0.333,0,3,0.0,2,3,0.667,0.333,0,0,,4,2,6,3,2,1,1,3,4,6.6,-11
Toumani Camara,camarto01,2026,18,166.0,18.0,2025-11-24,,,MIL,"W, 115-103",*,,5,11,0.455,3,7,0.429,2,4,0.5,0.591,0,1,0.0,2,5,7,3,2,1,2,1,13,12.2,5
Toumani Camara,camarto01,2026,19,167.0,19.0,2025-11-26,,,SAS,"L, 102-115",*,,4,14,0.286,2,11,0.182,2,3,0.667,0.357,0,0,,1,4,5,1,0,1,1,4,10,2.5,-2
Toumani Camara,camarto01,2026,20,168.0,20.0,2025-11-30,,,OKC,"L, 115-123",*,,5,12,0.417,5,10,0.5,0,2,0.0,0.625,4,4,1.0,3,5,8,4,0,0,3,1,19,15.6,1
Toumani Camara,camarto01,2026,21,169.0,21.0,2025-12-02,,,TOR,"L, 118-121",*,,7,12,0.583,6,10,0.6,1,2,0.5,0.833,1,4,0.25,3,3,6,2,1,1,3,4,21,15.7,14
Toumani Camara,camarto01,2026,22,170.0,22.0,2025-12-03,,,CLE,"W, 122-110",*,,5,7,0.714,3,5,0.6,2,2,1.0,0.929,4,5,0.8,1,5,6,4,0,2,2,4,17,16.5,6
Toumani Camara,camarto01,2026,23,171.0,23.0,2025-12-05,,,DET,"L, 116-122",*,,0,4,0.0,0,3,0.0,0,1,0.0,0.0,1,2,0.5,0,2,2,4,1,0,0,6,1,-0.2,-3
