player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Wendell Carter Jr.,cartewe01,2026,1,384.0,1.0,2025-10-22,,,MIA,"W, 125-121",*,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,5.0,5.0,1.0,5.0,3.0,8.0,1.0,1.0,1.0,2.0,4.0,9.0,9.5,-7.0
Wendell Carter Jr.,cartewe01,2026,2,385.0,2.0,2025-10-24,,,ATL,"L, 107-111",*,,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,6.0,11.0,0.545,3.0,5.0,8.0,2.0,2.0,0.0,2.0,4.0,10.0,9.4,-10.0
Wendell Carter Jr.,cartewe01,2026,3,386.0,3.0,2025-10-25,,,CHI,"L, 98-110",*,,1.0,7.0,0.143,1.0,2.0,0.5,0.0,5.0,0.0,0.214,5.0,6.0,0.833,5.0,8.0,13.0,1.0,1.0,0.0,2.0,5.0,8.0,6.7,6.0
Wendell Carter Jr.,cartewe01,2026,4,387.0,4.0,2025-10-27,,,PHI,"L, 124-136",*,,4.0,11.0,0.364,1.0,2.0,0.5,3.0,9.0,0.333,0.409,1.0,3.0,0.333,4.0,6.0,10.0,2.0,1.0,2.0,2.0,3.0,10.0,8.3,-19.0
Wendell Carter Jr.,cartewe01,2026,5,388.0,5.0,2025-10-29,,,DET,"L, 116-135",*,,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.333,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,8.0,4.4,2.0
Wendell Carter Jr.,cartewe01,2026,6,389.0,6.0,2025-10-30,,,CHO,"W, 123-107",*,,6.0,9.0,0.667,3.0,5.0,0.6,3.0,4.0,0.75,0.833,3.0,4.0,0.75,5.0,3.0,8.0,3.0,0.0,1.0,1.0,3.0,18.0,18.7,10.0
Wendell Carter Jr.,cartewe01,2026,7,390.0,7.0,2025-11-01,,,WAS,"W, 125-94",*,,7.0,10.0,0.7,2.0,3.0,0.667,5.0,7.0,0.714,0.8,0.0,0.0,,2.0,10.0,12.0,0.0,0.0,2.0,2.0,5.0,16.0,13.6,26.0
Wendell Carter Jr.,cartewe01,2026,8,391.0,8.0,2025-11-04,,,ATL,"L, 112-127",*,,4.0,8.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,0.563,2.0,2.0,1.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,5.0,11.0,8.4,-7.0
Wendell Carter Jr.,cartewe01,2026,9,392.0,9.0,2025-11-07,,,BOS,"W, 123-110",*,,5.0,10.0,0.5,2.0,4.0,0.5,3.0,6.0,0.5,0.6,6.0,7.0,0.857,2.0,3.0,5.0,1.0,2.0,0.0,3.0,2.0,18.0,13.8,10.0
Wendell Carter Jr.,cartewe01,2026,10,393.0,10.0,2025-11-09,,,BOS,"L, 107-111",*,,4.0,10.0,0.4,2.0,6.0,0.333,2.0,4.0,0.5,0.5,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,5.0,12.0,5.6,-3.0
Wendell Carter Jr.,cartewe01,2026,11,394.0,11.0,2025-11-10,,,POR,"W, 115-112",*,,8.0,12.0,0.667,1.0,3.0,0.333,7.0,9.0,0.778,0.708,2.0,2.0,1.0,5.0,4.0,9.0,5.0,0.0,2.0,4.0,4.0,19.0,17.8,2.0
Wendell Carter Jr.,cartewe01,2026,12,395.0,12.0,2025-11-12,,,NYK,"W, 124-107",*,,6.0,8.0,0.75,1.0,2.0,0.5,5.0,6.0,0.833,0.813,0.0,0.0,,3.0,5.0,8.0,2.0,0.0,0.0,4.0,4.0,13.0,9.2,-3.0
Wendell Carter Jr.,cartewe01,2026,13,396.0,13.0,2025-11-14,,,BRK,"W, 105-98",*,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,5.0,5.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,2.0,1.0,7.0,7.6,11.0
Wendell Carter Jr.,cartewe01,2026,14,397.0,14.0,2025-11-16,,,HOU,"L, 113-117 (OT)",*,,5.0,11.0,0.455,2.0,4.0,0.5,3.0,7.0,0.429,0.545,3.0,4.0,0.75,2.0,4.0,6.0,2.0,1.0,4.0,1.0,6.0,15.0,13.3,3.0
Wendell Carter Jr.,cartewe01,2026,15,398.0,15.0,2025-11-18,,,GSW,"W, 121-113",*,,5.0,7.0,0.714,1.0,3.0,0.333,4.0,4.0,1.0,0.786,6.0,6.0,1.0,4.0,8.0,12.0,2.0,1.0,0.0,1.0,3.0,17.0,19.5,-1.0
Wendell Carter Jr.,cartewe01,2026,16,399.0,16.0,2025-11-20,,,LAC,"W, 129-101",*,,3.0,11.0,0.273,1.0,3.0,0.333,2.0,8.0,0.25,0.318,0.0,0.0,,1.0,6.0,7.0,6.0,1.0,0.0,0.0,4.0,7.0,6.6,13.0
