player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Walter Clayton,claytwa01,2026,1,1.0,1.0,2025-10-22,,,LAC,"W, 129-108",,,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.563,1.0,1.0,1.0,3.0,3.0,6.0,5.0,2.0,0.0,2.0,2.0,10.0,11.7,3.0
Walter Clayton,claytwa01,2026,2,2.0,2.0,2025-10-24,,,SAC,"L, 104-105",,,4.0,7.0,0.571,1.0,3.0,0.333,3.0,4.0,0.75,0.643,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,0.0,2.0,1.0,10.0,9.3,-8.0
Walter Clayton,claytwa01,2026,3,3.0,3.0,2025-10-27,,,PHO,"W, 138-134 (OT)",,,2.0,7.0,0.286,2.0,6.0,0.333,0.0,1.0,0.0,0.429,0.0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,2.0,6.0,6.0,0.2,-9.0
Walter Clayton,claytwa01,2026,4,4.0,4.0,2025-10-29,,,POR,"L, 134-136",,,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,2.3,0.0
Walter Clayton,claytwa01,2026,5,5.0,5.0,2025-10-31,,,PHO,"L, 96-118",,,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.3,-22.0
Walter Clayton,claytwa01,2026,6,6.0,6.0,2025-11-02,,,CHO,"L, 103-126",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,2.4,-9.0
Walter Clayton,claytwa01,2026,7,7.0,7.0,2025-11-03,,,BOS,"W, 105-103",,,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.875,0.0,0.0,,0.0,3.0,3.0,6.0,2.0,0.0,0.0,0.0,7.0,12.5,7.0
Walter Clayton,claytwa01,2026,8,8.0,8.0,2025-11-05,,,DET,"L, 103-114",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,6.0,3.0,3.0
Walter Clayton,claytwa01,2026,9,9.0,9.0,2025-11-07,,,MIN,"L, 97-137",,,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,4.6,-12.0
Walter Clayton,claytwa01,2026,10,10.0,10.0,2025-11-10,,,MIN,"L, 113-120",,,2.0,8.0,0.25,2.0,5.0,0.4,0.0,3.0,0.0,0.375,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,2.0,1.0,0.0,6.0,3.9,10.0
