player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Sharife Cooper,coopesh01,2026,1,14.0,1.0,2025-10-22,,,MIL,"L, 120-133",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,2.0
Sharife Cooper,coopesh01,2026,2,15.0,3.0,2025-10-26,,,CHO,"L, 113-139",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
Sharife Cooper,coopesh01,2026,3,16.0,17.0,2025-11-25,,,ATL,"W, 132-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-5.0
Sharife Cooper,coopesh01,2026,4,17.0,18.0,2025-11-28,,,IND,"L, 86-119",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3.0
Sharife Cooper,coopesh01,2026,5,18.0,44.0,2026-01-24,,,CHO,"L, 115-119",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,6.0
Sharife Cooper,coopesh01,2026,6,19.0,47.0,2026-01-30,,,LAL,"L, 111-142",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,-0.2,-10.0
Sharife Cooper,coopesh01,2026,7,20.0,48.0,2026-02-01,,,SAC,"W, 116-112",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,1.0,2.0,0.5,2.0,5.0,7.0,3.0,0.0,0.0,1.0,1.0,5.0,6.2,4.0
Sharife Cooper,coopesh01,2026,8,21.0,49.0,2026-02-03,,,NYK,"L, 101-132",,,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.563,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,9.0,5.2,4.0
Sharife Cooper,coopesh01,2026,9,22.0,50.0,2026-02-05,,,DET,"W, 126-117",,,8.0,12.0,0.667,2.0,5.0,0.4,6.0,7.0,0.857,0.75,0.0,0.0,,1.0,2.0,3.0,5.0,0.0,0.0,5.0,3.0,18.0,11.4,-3.0
Sharife Cooper,coopesh01,2026,10,23.0,51.0,2026-02-07,,,BRK,"L, 113-127",,,5.0,8.0,0.625,2.0,3.0,0.667,3.0,5.0,0.6,0.75,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,2.0,2.0,14.0,11.2,-20.0
Sharife Cooper,coopesh01,2026,11,24.0,52.0,2026-02-08,,,MIA,"L, 101-132",,,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,2.0,3.0,0.667,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,8.0,6.7,-28.0
Sharife Cooper,coopesh01,2026,12,25.0,53.0,2026-02-11,,,CLE,"L, 113-138",,,4.0,9.0,0.444,3.0,5.0,0.6,1.0,4.0,0.25,0.611,0.0,0.0,,0.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,11.0,8.8,-7.0
Sharife Cooper,coopesh01,2026,13,26.0,54.0,2026-02-19,,,IND,"W, 112-105",,,3.0,10.0,0.3,0.0,3.0,0.0,3.0,7.0,0.429,0.3,2.0,2.0,1.0,2.0,3.0,5.0,7.0,2.0,0.0,3.0,4.0,8.0,6.8,0.0
Sharife Cooper,coopesh01,2026,14,27.0,55.0,2026-02-20,,,IND,"W, 131-118",,,8.0,11.0,0.727,0.0,2.0,0.0,8.0,9.0,0.889,0.727,2.0,3.0,0.667,0.0,3.0,3.0,5.0,0.0,0.0,4.0,2.0,18.0,12.7,2.0
Sharife Cooper,coopesh01,2026,15,28.0,56.0,2026-02-22,,,CHO,"L, 112-129",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,2.0,3.0,0.667,1.0,2.0,3.0,3.0,1.0,0.0,1.0,4.0,9.0,8.1,-4.0
Sharife Cooper,coopesh01,2026,16,29.0,57.0,2026-02-24,,,ATL,"L, 98-119",,,3.0,8.0,0.375,0.0,1.0,0.0,3.0,7.0,0.429,0.375,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,-0.3,-7.0
Sharife Cooper,coopesh01,2026,17,30.0,58.0,2026-02-26,,,ATL,"L, 96-126",,,1.0,6.0,0.167,0.0,1.0,0.0,1.0,5.0,0.2,0.167,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.1,-3.0
Sharife Cooper,coopesh01,2026,18,31.0,59.0,2026-02-28,,,TOR,"L, 125-134",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,5.0,4.0
Sharife Cooper,coopesh01,2026,19,32.0,60.0,2026-03-02,,,HOU,"L, 118-123",,,8.0,10.0,0.8,3.0,4.0,0.75,5.0,6.0,0.833,0.95,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,21.0,19.9,7.0
Sharife Cooper,coopesh01,2026,20,33.0,61.0,2026-03-03,,,ORL,"L, 109-126",,,5.0,11.0,0.455,1.0,3.0,0.333,4.0,8.0,0.5,0.5,5.0,6.0,0.833,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,16.0,11.5,6.0
Sharife Cooper,coopesh01,2026,21,34.0,62.0,2026-03-05,,,UTA,"L, 112-122",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,-7.0
Sharife Cooper,coopesh01,2026,22,35.0,63.0,2026-03-08,,,NOP,"L, 118-138",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,3.0,4.0,0.75,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,5.0,4.6,-4.0
Sharife Cooper,coopesh01,2026,23,36.0,64.0,2026-03-10,,,MIA,"L, 129-150",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,2.0,3.0,0.667,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,6.0,0.2,-2.0
Sharife Cooper,coopesh01,2026,24,37.0,65.0,2026-03-12,,,ORL,"L, 131-136 (OT)",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.2,3.0
Sharife Cooper,coopesh01,2026,25,38.0,66.0,2026-03-14,,,BOS,"L, 100-111",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0
Sharife Cooper,coopesh01,2026,26,39.0,67.0,2026-03-16,,,GSW,"L, 117-125",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,1.8,-15.0
Sharife Cooper,coopesh01,2026,27,40.0,68.0,2026-03-17,,,DET,"L, 117-130",,,3.0,8.0,0.375,1.0,5.0,0.2,2.0,3.0,0.667,0.438,0.0,0.0,,2.0,4.0,6.0,6.0,0.0,0.0,2.0,1.0,7.0,7.0,-7.0
Sharife Cooper,coopesh01,2026,28,41.0,69.0,2026-03-19,,,DET,"L, 95-117",*,,6.0,8.0,0.75,1.0,2.0,0.5,5.0,6.0,0.833,0.813,0.0,0.0,,1.0,6.0,7.0,2.0,0.0,0.0,2.0,2.0,13.0,10.9,3.0
Sharife Cooper,coopesh01,2026,29,42.0,70.0,2026-03-21,,,OKC,"L, 111-132",,,1.0,6.0,0.167,1.0,3.0,0.333,0.0,3.0,0.0,0.25,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,1.0,5.0,3.0,-0.8,-19.0
Sharife Cooper,coopesh01,2026,30,43.0,71.0,2026-03-22,,,NYK,"L, 113-145",,,5.0,10.0,0.5,1.0,3.0,0.333,4.0,7.0,0.571,0.55,0.0,0.0,,0.0,3.0,3.0,6.0,0.0,2.0,0.0,1.0,11.0,12.1,-23.0
Sharife Cooper,coopesh01,2026,31,44.0,72.0,2026-03-25,,,UTA,"W, 133-110",,,7.0,12.0,0.583,1.0,3.0,0.333,6.0,9.0,0.667,0.625,2.0,2.0,1.0,1.0,3.0,4.0,6.0,2.0,0.0,3.0,4.0,17.0,14.6,0.0
Sharife Cooper,coopesh01,2026,32,45.0,73.0,2026-03-27,,,GSW,"L, 126-131",,,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,7.0,7.1,8.0
Sharife Cooper,coopesh01,2026,33,46.0,74.0,2026-03-29,,,POR,"L, 88-123",,,4.0,9.0,0.444,0.0,1.0,0.0,4.0,8.0,0.5,0.444,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,10.0,4.6,-11.0
Sharife Cooper,coopesh01,2026,34,47.0,75.0,2026-03-30,,,LAL,"L, 101-120",,,1.0,6.0,0.167,0.0,2.0,0.0,1.0,4.0,0.25,0.167,1.0,2.0,0.5,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,3.0,1.5,2.0
Sharife Cooper,coopesh01,2026,35,48.0,76.0,2026-04-01,,,PHI,"L, 131-153",,,3.0,7.0,0.429,1.0,1.0,1.0,2.0,6.0,0.333,0.5,4.0,4.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,2.0,11.0,8.8,-1.0
Sharife Cooper,coopesh01,2026,36,49.0,77.0,2026-04-04,,,MIA,"L, 136-152",,,6.0,10.0,0.6,3.0,5.0,0.6,3.0,5.0,0.6,0.75,5.0,6.0,0.833,1.0,1.0,2.0,7.0,0.0,0.0,3.0,2.0,20.0,17.1,6.0
Sharife Cooper,coopesh01,2026,37,50.0,78.0,2026-04-05,,,BRK,"L, 115-121",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.4,1.0
Sharife Cooper,coopesh01,2026,38,51.0,79.0,2026-04-07,,,CHI,"L, 98-129",,,6.0,10.0,0.6,2.0,5.0,0.4,4.0,5.0,0.8,0.7,3.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,1.0,17.0,10.1,-22.0
Sharife Cooper,coopesh01,2026,39,52.0,80.0,2026-04-09,,,CHI,"L, 108-119",,,4.0,6.0,0.667,1.0,1.0,1.0,3.0,5.0,0.6,0.75,0.0,0.0,,1.0,1.0,2.0,4.0,3.0,1.0,2.0,0.0,9.0,11.9,9.0
Sharife Cooper,coopesh01,2026,40,53.0,81.0,2026-04-10,,,MIA,"L, 117-140",,,5.0,7.0,0.714,1.0,1.0,1.0,4.0,6.0,0.667,0.786,0.0,0.0,,0.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,11.0,13.9,-19.0
Sharife Cooper,coopesh01,2026,41,54.0,82.0,2026-04-12,,,CLE,"L, 117-130",,,8.0,11.0,0.727,2.0,4.0,0.5,6.0,7.0,0.857,0.818,2.0,2.0,1.0,2.0,0.0,2.0,6.0,0.0,0.0,3.0,2.0,20.0,17.3,-13.0
