player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Mohamed Diawara,diawamo01,2026,1,1.0,4.0,2025-10-28,,,MIL,"L, 111-121",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Mohamed Diawara,diawamo01,2026,2,2.0,6.0,2025-11-02,,,CHI,"W, 128-116",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Mohamed Diawara,diawamo01,2026,3,3.0,7.0,2025-11-03,,,WAS,"W, 119-102",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,-2.6,-4.0
Mohamed Diawara,diawamo01,2026,4,4.0,8.0,2025-11-05,,,MIN,"W, 137-114",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
Mohamed Diawara,diawamo01,2026,5,5.0,9.0,2025-11-09,,,BRK,"W, 134-98",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.4,3.0
Mohamed Diawara,diawamo01,2026,6,6.0,11.0,2025-11-12,,,ORL,"L, 107-124",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Mohamed Diawara,diawamo01,2026,7,7.0,13.0,2025-11-17,,,MIA,"L, 113-115",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,1.0
Mohamed Diawara,diawamo01,2026,8,8.0,14.0,2025-11-19,,,DAL,"W, 113-111",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,1.0
Mohamed Diawara,diawamo01,2026,9,9.0,15.0,2025-11-22,,,ORL,"L, 121-133",,,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,2.0,4.0,2.0,1.0,0.0,3.0,3.0,0.0,-2.6,-7.0
Mohamed Diawara,diawamo01,2026,10,10.0,16.0,2025-11-24,,,BRK,"W, 113-100",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,3.0
Mohamed Diawara,diawamo01,2026,11,11.0,17.0,2025-11-26,,,CHO,"W, 129-101",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.1,2.0
Mohamed Diawara,diawamo01,2026,12,12.0,19.0,2025-11-30,,,TOR,"W, 116-94",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.1,2.0
Mohamed Diawara,diawamo01,2026,13,13.0,20.0,2025-12-02,,,BOS,"L, 117-123",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Diawara,diawamo01,2026,14,14.0,21.0,2025-12-03,,,CHO,"W, 119-104",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Mohamed Diawara,diawamo01,2026,15,15.0,22.0,2025-12-05,,,UTA,"W, 146-112",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,4.7,-3.0
Mohamed Diawara,diawamo01,2026,16,16.0,23.0,2025-12-07,,,ORL,"W, 106-100",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6.0
Mohamed Diawara,diawamo01,2026,17,17.0,24.0,2025-12-09,,,TOR,"W, 117-101",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,1.0
Mohamed Diawara,diawamo01,2026,18,18.0,26.0,2025-12-18,,,IND,"W, 114-113",*,,2.0,5.0,0.4,0.0,2.0,0.0,2.0,3.0,0.667,0.4,1.0,2.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,5.0,1.7,-6.0
Mohamed Diawara,diawamo01,2026,19,19.0,27.0,2025-12-19,,,PHI,"L, 107-116",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.0
Mohamed Diawara,diawamo01,2026,20,20.0,28.0,2025-12-21,,,MIA,"W, 132-125",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.9,1.0
Mohamed Diawara,diawamo01,2026,21,21.0,29.0,2025-12-23,,,MIN,"L, 104-115",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.3,-15.0
Mohamed Diawara,diawamo01,2026,22,22.0,30.0,2025-12-25,,,CLE,"W, 126-124",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.3,1.0
Mohamed Diawara,diawamo01,2026,23,23.0,31.0,2025-12-27,,,ATL,"W, 128-125",*,,2.0,7.0,0.286,1.0,3.0,0.333,1.0,4.0,0.25,0.357,0.0,0.0,,1.0,4.0,5.0,2.0,0.0,2.0,0.0,0.0,5.0,5.6,8.0
Mohamed Diawara,diawamo01,2026,24,24.0,32.0,2025-12-29,,,NOP,"W, 130-125",*,,7.0,9.0,0.778,4.0,4.0,1.0,3.0,5.0,0.6,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,18.0,16.8,-12.0
Mohamed Diawara,diawamo01,2026,25,25.0,33.0,2025-12-31,,,SAS,"L, 132-134",*,,2.0,5.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.6,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,3.9,2.0
Mohamed Diawara,diawamo01,2026,26,26.0,34.0,2026-01-02,,,ATL,"L, 99-111",,,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,5.0
Mohamed Diawara,diawamo01,2026,27,27.0,35.0,2026-01-03,,,PHI,"L, 119-130",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Mohamed Diawara,diawamo01,2026,28,28.0,36.0,2026-01-05,,,DET,"L, 90-121",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.0
Mohamed Diawara,diawamo01,2026,29,29.0,37.0,2026-01-07,,,LAC,"W, 123-111",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-1.0
Mohamed Diawara,diawamo01,2026,30,30.0,38.0,2026-01-09,,,PHO,"L, 107-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-4.0
Mohamed Diawara,diawamo01,2026,31,31.0,39.0,2026-01-11,,,POR,"W, 123-114",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
Mohamed Diawara,diawamo01,2026,32,32.0,40.0,2026-01-14,,,SAC,"L, 101-112",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Mohamed Diawara,diawamo01,2026,33,33.0,41.0,2026-01-15,,,GSW,"L, 113-126",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
Mohamed Diawara,diawamo01,2026,34,34.0,42.0,2026-01-17,,,PHO,"L, 99-106",*,,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.375,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,3.0,2.6,4.0
Mohamed Diawara,diawamo01,2026,35,35.0,43.0,2026-01-19,,,DAL,"L, 97-114",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,1.0
Mohamed Diawara,diawamo01,2026,36,36.0,44.0,2026-01-21,,,BRK,"W, 120-66",,,2.0,4.0,0.5,1.0,1.0,1.0,1.0,3.0,0.333,0.625,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,7.4,8.0
Mohamed Diawara,diawamo01,2026,37,37.0,47.0,2026-01-28,,,TOR,"W, 119-92",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,8.0
Mohamed Diawara,diawamo01,2026,38,38.0,48.0,2026-01-30,,,POR,"W, 127-97",,,4.0,8.0,0.5,2.0,5.0,0.4,2.0,3.0,0.667,0.625,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,10.0,6.5,27.0
Mohamed Diawara,diawamo01,2026,39,39.0,49.0,2026-02-01,,,LAL,"W, 112-100",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.5,-4.0
Mohamed Diawara,diawamo01,2026,40,40.0,50.0,2026-02-03,,,WAS,"W, 132-101",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.8,4.0
Mohamed Diawara,diawamo01,2026,41,41.0,51.0,2026-02-04,,,DEN,"W, 134-127 (2OT)",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3,-6.0
Mohamed Diawara,diawamo01,2026,42,42.0,52.0,2026-02-06,,,DET,"L, 80-118",*,,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.4,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,1.6,-14.0
Mohamed Diawara,diawamo01,2026,43,43.0,53.0,2026-02-08,,,BOS,"W, 111-89",,,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.25,0.0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,10.0,10.2,22.0
Mohamed Diawara,diawamo01,2026,44,44.0,54.0,2026-02-10,,,IND,"L, 134-137 (OT)",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,1.7,-17.0
Mohamed Diawara,diawamo01,2026,45,45.0,55.0,2026-02-11,,,PHI,"W, 138-89",,,5.0,10.0,0.5,4.0,8.0,0.5,1.0,2.0,0.5,0.7,0.0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,1.0,0.0,14.0,11.9,19.0
Mohamed Diawara,diawamo01,2026,46,46.0,56.0,2026-02-19,,,DET,"L, 111-126",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.9,-6.0
Mohamed Diawara,diawamo01,2026,47,47.0,57.0,2026-02-21,,,HOU,"W, 108-106",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-2.0
Mohamed Diawara,diawamo01,2026,48,48.0,59.0,2026-02-24,,,CLE,"L, 94-109",,,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3,-4.0
Mohamed Diawara,diawamo01,2026,49,49.0,60.0,2026-02-27,,,MIL,"W, 127-98",,,2.0,6.0,0.333,2.0,3.0,0.667,0.0,3.0,0.0,0.5,4.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,4.0,10.0,6.3,25.0
Mohamed Diawara,diawamo01,2026,50,50.0,61.0,2026-03-01,,,SAS,"W, 114-89",,,5.0,14.0,0.357,4.0,13.0,0.308,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,14.0,7.7,18.0
