player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Drew Eubanks,eubandr01,2026,1,385.0,1.0,2025-10-22,,,PHO,"L, 116-120",*,,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,2.0,4.0,0.5,1.0,3.0,4.0,0.0,2.0,4.0,2.0,1.0,4.0,4.8,-7.0
Drew Eubanks,eubandr01,2026,2,386.0,2.0,2025-10-24,,,UTA,"W, 105-104",,,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.3,16.0
Drew Eubanks,eubandr01,2026,3,387.0,3.0,2025-10-26,,,LAL,"L, 120-127",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-4.0
Drew Eubanks,eubandr01,2026,4,388.0,4.0,2025-10-28,,,OKC,"L, 101-107",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,2.3,9.0
Drew Eubanks,eubandr01,2026,5,389.0,5.0,2025-10-29,,,CHI,"L, 113-126",,,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0,4.8,8.0
Drew Eubanks,eubandr01,2026,6,390.0,6.0,2025-11-01,,,MIL,"W, 135-133",,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,8.0,-3.0
Drew Eubanks,eubandr01,2026,7,391.0,7.0,2025-11-03,,,DEN,"L, 124-130",,,4.0,4.0,1.0,0.0,0.0,,4.0,4.0,1.0,1.0,2.0,3.0,0.667,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,10.0,5.8,8.0
Drew Eubanks,eubandr01,2026,8,392.0,8.0,2025-11-05,,,GSW,"W, 121-116",*,,5.0,6.0,0.833,0.0,0.0,,5.0,6.0,0.833,0.833,2.0,4.0,0.5,1.0,5.0,6.0,0.0,1.0,2.0,3.0,3.0,12.0,9.4,2.0
Drew Eubanks,eubandr01,2026,9,393.0,9.0,2025-11-07,,,OKC,"L, 101-132",*,,8.0,11.0,0.727,0.0,0.0,,8.0,11.0,0.727,0.727,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,16.0,9.6,-21.0
Drew Eubanks,eubandr01,2026,10,394.0,10.0,2025-11-09,,,MIN,"L, 117-144",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,2.0,3.0,0.667,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,5.7,-6.0
Drew Eubanks,eubandr01,2026,11,395.0,11.0,2025-11-11,,,DEN,"L, 108-122",,,8.0,9.0,0.889,0.0,0.0,,8.0,9.0,0.889,0.889,3.0,6.0,0.5,2.0,5.0,7.0,1.0,0.0,0.0,1.0,5.0,19.0,15.3,4.0
Drew Eubanks,eubandr01,2026,12,396.0,12.0,2025-11-12,,,ATL,"L, 100-133",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,6.0
Drew Eubanks,eubandr01,2026,13,397.0,13.0,2025-11-14,,,MIN,"L, 110-124",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,4.0,0.75,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.6,5.0
Drew Eubanks,eubandr01,2026,14,398.0,14.0,2025-11-16,,,SAS,"L, 110-123",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.7,-6.0
