player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Kyle Filipowski,filipky01,2026,1,73.0,1.0,2025-10-22,,,LAC,"W, 129-108",*,,4.0,10.0,0.4,1.0,6.0,0.167,3.0,4.0,0.75,0.45,0.0,0.0,,2.0,2.0,4.0,5.0,0.0,1.0,0.0,5.0,9.0,7.8,7.0
Kyle Filipowski,filipky01,2026,2,74.0,2.0,2025-10-24,,,SAC,"L, 104-105",*,,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,0.714,0.0,0.0,,1.0,5.0,6.0,4.0,0.0,0.0,1.0,5.0,10.0,8.7,19.0
Kyle Filipowski,filipky01,2026,3,75.0,3.0,2025-10-27,,,PHO,"W, 138-134 (OT)",*,,1.0,7.0,0.143,1.0,3.0,0.333,0.0,4.0,0.0,0.214,0.0,0.0,,3.0,3.0,6.0,1.0,0.0,0.0,2.0,2.0,3.0,-0.6,7.0
Kyle Filipowski,filipky01,2026,4,76.0,4.0,2025-10-29,,,POR,"L, 134-136",*,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,3.0,5.0,0.6,1.0,3.0,4.0,3.0,1.0,0.0,0.0,2.0,8.0,9.1,-9.0
Kyle Filipowski,filipky01,2026,5,77.0,5.0,2025-10-31,,,PHO,"L, 96-118",*,,1.0,5.0,0.2,0.0,1.0,0.0,1.0,4.0,0.25,0.2,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,-2.6,-10.0
Kyle Filipowski,filipky01,2026,6,78.0,6.0,2025-11-02,,,CHO,"L, 103-126",,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,2.4,-6.0
Kyle Filipowski,filipky01,2026,7,79.0,7.0,2025-11-03,,,BOS,"W, 105-103",,,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,0.714,3.0,5.0,0.6,2.0,6.0,8.0,0.0,0.0,1.0,2.0,4.0,13.0,9.2,19.0
Kyle Filipowski,filipky01,2026,8,80.0,8.0,2025-11-05,,,DET,"L, 103-114",,,1.0,5.0,0.2,0.0,2.0,0.0,1.0,3.0,0.333,0.2,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,4.0,3.0,-10.0
Kyle Filipowski,filipky01,2026,9,81.0,9.0,2025-11-07,,,MIN,"L, 97-137",,,3.0,9.0,0.333,1.0,4.0,0.25,2.0,5.0,0.4,0.389,2.0,4.0,0.5,5.0,5.0,10.0,2.0,2.0,0.0,2.0,4.0,9.0,7.9,-24.0
Kyle Filipowski,filipky01,2026,10,82.0,10.0,2025-11-10,,,MIN,"L, 113-120",,,2.0,6.0,0.333,1.0,4.0,0.25,1.0,2.0,0.5,0.417,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,4.0,7.0,4.1,14.0
Kyle Filipowski,filipky01,2026,11,83.0,11.0,2025-11-11,,,IND,"W, 152-128",,,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.563,7.0,8.0,0.875,1.0,6.0,7.0,3.0,0.0,0.0,1.0,2.0,16.0,14.4,15.0
Kyle Filipowski,filipky01,2026,12,84.0,12.0,2025-11-13,,,ATL,"L, 122-132",,,3.0,5.0,0.6,1.0,2.0,0.5,2.0,3.0,0.667,0.7,1.0,2.0,0.5,1.0,8.0,9.0,3.0,0.0,3.0,2.0,1.0,8.0,10.2,-5.0
Kyle Filipowski,filipky01,2026,13,85.0,13.0,2025-11-16,,,CHI,"W, 150-147 (2OT)",,,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,0.0,1.0,0.0,1.0,8.0,9.0,1.0,1.0,0.0,0.0,1.0,8.0,8.7,-1.0
Kyle Filipowski,filipky01,2026,14,86.0,15.0,2025-11-21,,,OKC,"L, 112-144",,,7.0,11.0,0.636,2.0,4.0,0.5,5.0,7.0,0.714,0.727,2.0,4.0,0.5,2.0,5.0,7.0,2.0,1.0,1.0,3.0,3.0,18.0,14.1,-28.0
Kyle Filipowski,filipky01,2026,15,87.0,16.0,2025-11-23,,,LAL,"L, 106-108",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,4.0,2.1,-27.0
Kyle Filipowski,filipky01,2026,16,88.0,17.0,2025-11-24,,,GSW,"L, 117-134",,,4.0,8.0,0.5,1.0,2.0,0.5,3.0,6.0,0.5,0.563,2.0,4.0,0.5,3.0,6.0,9.0,1.0,0.0,1.0,0.0,0.0,11.0,11.5,6.0
