player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Rasheer Fleming,flemira01,2026,1,1.0,2.0,2025-10-24,,,LAC,"L, 102-129",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.2,0.0
Rasheer Fleming,flemira01,2026,2,2.0,3.0,2025-10-25,,,DEN,"L, 111-133",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,-2.0
Rasheer Fleming,flemira01,2026,3,3.0,6.0,2025-10-31,,,UTA,"W, 118-96",,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,2.0
Rasheer Fleming,flemira01,2026,4,4.0,7.0,2025-11-02,,,SAS,"W, 130-118",,,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-9.0
Rasheer Fleming,flemira01,2026,5,5.0,9.0,2025-11-06,,,LAC,"W, 115-102",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-2.0
Rasheer Fleming,flemira01,2026,6,6.0,11.0,2025-11-10,,,NOP,"W, 121-98",,,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,4.0,-2.0
Rasheer Fleming,flemira01,2026,7,7.0,13.0,2025-11-13,,,IND,"W, 133-98",,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-2.0
Rasheer Fleming,flemira01,2026,8,8.0,15.0,2025-11-18,,,POR,"W, 127-110",,,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,4.0,2.2,-6.0
Rasheer Fleming,flemira01,2026,9,9.0,18.0,2025-11-24,,,HOU,"L, 92-114",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.6,-6.0
Rasheer Fleming,flemira01,2026,10,10.0,21.0,2025-11-29,,,DEN,"L, 112-130",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.4,1.0
Rasheer Fleming,flemira01,2026,11,11.0,22.0,2025-12-01,,,LAL,"W, 125-108",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
