player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Daniel Gafford,gaffoda01,2026,1,379.0,6.0,2025-11-01,,,DET,"L, 110-122",*,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,3.0,3.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,4.0,7.0,7.8,1.0
Daniel Gafford,gaffoda01,2026,2,380.0,7.0,2025-11-03,,,HOU,"L, 102-110",*,,7.0,9.0,0.778,0.0,0.0,7.0,9.0,0.778,0.778,0.0,0.0,,3.0,1.0,4.0,1.0,2.0,3.0,0.0,1.0,14.0,17.3,1.0
Daniel Gafford,gaffoda01,2026,3,381.0,8.0,2025-11-05,,,NOP,"L, 99-101",*,,6.0,8.0,0.75,0.0,0.0,6.0,8.0,0.75,0.75,3.0,3.0,1.0,4.0,4.0,8.0,0.0,2.0,2.0,2.0,3.0,15.0,16.0,8.0
Daniel Gafford,gaffoda01,2026,4,382.0,9.0,2025-11-07,,,MEM,"L, 104-118",*,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.2,-26.0
Daniel Gafford,gaffoda01,2026,5,383.0,10.0,2025-11-08,,,WAS,"W, 111-105",*,,4.0,5.0,0.8,0.0,0.0,4.0,5.0,0.8,0.8,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,2.0,2.0,1.0,8.0,6.6,-2.0
Daniel Gafford,gaffoda01,2026,6,384.0,11.0,2025-11-10,,,MIL,"L, 114-116",*,,2.0,8.0,0.25,0.0,0.0,2.0,8.0,0.25,0.25,3.0,4.0,0.75,5.0,3.0,8.0,3.0,1.0,0.0,1.0,4.0,7.0,6.7,-5.0
Daniel Gafford,gaffoda01,2026,7,385.0,12.0,2025-11-12,,,PHO,"L, 114-123",*,,6.0,7.0,0.857,0.0,0.0,6.0,7.0,0.857,0.857,3.0,5.0,0.6,1.0,8.0,9.0,0.0,1.0,2.0,2.0,1.0,15.0,14.8,0.0
Daniel Gafford,gaffoda01,2026,8,386.0,13.0,2025-11-14,,,LAC,"L, 127-133 (2OT)",*,,4.0,7.0,0.571,0.0,0.0,4.0,7.0,0.571,0.571,2.0,2.0,1.0,3.0,5.0,8.0,1.0,1.0,3.0,3.0,5.0,10.0,9.1,-1.0
Daniel Gafford,gaffoda01,2026,9,387.0,14.0,2025-11-16,,,POR,"W, 138-133 (OT)",*,,6.0,8.0,0.75,0.0,0.0,6.0,8.0,0.75,0.75,8.0,10.0,0.8,3.0,3.0,6.0,2.0,1.0,3.0,0.0,4.0,20.0,21.9,11.0
Daniel Gafford,gaffoda01,2026,10,388.0,16.0,2025-11-19,,,NYK,"L, 111-113",,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,3.0,4.0,0.75,2.0,6.0,8.0,2.0,0.0,1.0,1.0,5.0,7.0,7.6,-11.0
Daniel Gafford,gaffoda01,2026,11,389.0,17.0,2025-11-21,,,NOP,"W, 118-115",*,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,2.0,4.0,0.5,2.0,5.0,7.0,3.0,3.0,1.0,3.0,2.0,8.0,9.8,-6.0
Daniel Gafford,gaffoda01,2026,12,390.0,18.0,2025-11-22,,,MEM,"L, 96-102",*,,2.0,6.0,0.333,0.0,0.0,2.0,6.0,0.333,0.333,1.0,1.0,1.0,3.0,5.0,8.0,4.0,0.0,2.0,2.0,5.0,5.0,5.4,-13.0
Daniel Gafford,gaffoda01,2026,13,391.0,19.0,2025-11-24,,,MIA,"L, 102-106",*,,4.0,8.0,0.5,0.0,0.0,4.0,8.0,0.5,0.5,3.0,3.0,1.0,4.0,7.0,11.0,0.0,1.0,2.0,1.0,3.0,11.0,12.1,20.0
Daniel Gafford,gaffoda01,2026,14,392.0,20.0,2025-11-28,,,LAL,"L, 119-129",,,2.0,3.0,0.667,0.0,0.0,2.0,3.0,0.667,0.667,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,5.0,3.9,-4.0
Daniel Gafford,gaffoda01,2026,15,393.0,23.0,2025-12-03,,,MIA,"W, 118-108",,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,1.0,0.0,2.0,0.0,2.0,2.2,8.0
Daniel Gafford,gaffoda01,2026,16,394.0,27.0,2025-12-15,,,UTA,"L, 133-140 (OT)",*,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.2,-8.0
Daniel Gafford,gaffoda01,2026,17,395.0,28.0,2025-12-18,,,DET,"W, 116-114 (OT)",,,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,3.0,4.0,0.75,3.0,3.0,6.0,1.0,0.0,3.0,5.0,3.0,9.0,5.9,-4.0
Daniel Gafford,gaffoda01,2026,18,396.0,29.0,2025-12-20,,,PHI,"L, 114-121",,,0.0,0.0,,0.0,0.0,0.0,0.0,,,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,4.0,1.0,3.0,2.0,3.8,-5.0
