player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Shai Gilgeous-Alexander,gilgesh01,2026,1,463.0,1.0,2025-10-21,,,HOU,"W, 125-124 (2OT)",*,,12.0,26.0,0.462,1.0,9.0,0.111,11.0,17.0,0.647,0.481,10.0,14.0,0.714,0.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,35.0,24.6,3.0
Shai Gilgeous-Alexander,gilgesh01,2026,2,464.0,2.0,2025-10-23,,,IND,"W, 141-135 (2OT)",*,,15.0,31.0,0.484,2.0,7.0,0.286,13.0,24.0,0.542,0.516,23.0,26.0,0.885,0.0,8.0,8.0,5.0,2.0,1.0,2.0,4.0,55.0,43.1,9.0
Shai Gilgeous-Alexander,gilgesh01,2026,3,465.0,3.0,2025-10-25,,,ATL,"W, 117-100",*,,12.0,17.0,0.706,2.0,6.0,0.333,10.0,11.0,0.909,0.765,4.0,4.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,2.0,2.0,30.0,27.2,16.0
Shai Gilgeous-Alexander,gilgesh01,2026,4,466.0,4.0,2025-10-27,,,DAL,"W, 101-94",*,,10.0,22.0,0.455,1.0,3.0,0.333,9.0,19.0,0.474,0.477,2.0,2.0,1.0,0.0,4.0,4.0,8.0,1.0,0.0,4.0,0.0,23.0,15.4,7.0
Shai Gilgeous-Alexander,gilgesh01,2026,5,467.0,5.0,2025-10-28,,,SAC,"W, 107-101",*,,14.0,26.0,0.538,1.0,5.0,0.2,13.0,21.0,0.619,0.558,2.0,2.0,1.0,0.0,9.0,9.0,4.0,1.0,3.0,1.0,2.0,31.0,25.2,-1.0
Shai Gilgeous-Alexander,gilgesh01,2026,6,468.0,6.0,2025-10-30,,,WAS,"W, 127-108",*,,11.0,20.0,0.55,3.0,6.0,0.5,8.0,14.0,0.571,0.625,6.0,6.0,1.0,0.0,3.0,3.0,7.0,0.0,1.0,0.0,1.0,31.0,27.5,8.0
Shai Gilgeous-Alexander,gilgesh01,2026,7,469.0,7.0,2025-11-02,,,NOP,"W, 137-106",*,,8.0,14.0,0.571,1.0,5.0,0.2,7.0,9.0,0.778,0.607,13.0,13.0,1.0,0.0,2.0,2.0,7.0,1.0,0.0,3.0,1.0,30.0,26.5,24.0
Shai Gilgeous-Alexander,gilgesh01,2026,8,470.0,8.0,2025-11-04,,,LAC,"W, 126-107",*,,9.0,14.0,0.643,4.0,5.0,0.8,5.0,9.0,0.556,0.786,8.0,9.0,0.889,0.0,4.0,4.0,12.0,0.0,3.0,2.0,2.0,30.0,32.3,2.0
Shai Gilgeous-Alexander,gilgesh01,2026,9,471.0,9.0,2025-11-05,,,POR,"L, 119-121",*,,10.0,26.0,0.385,3.0,5.0,0.6,7.0,21.0,0.333,0.442,12.0,13.0,0.923,2.0,7.0,9.0,4.0,0.0,0.0,0.0,5.0,35.0,24.7,1.0
Shai Gilgeous-Alexander,gilgesh01,2026,10,472.0,10.0,2025-11-07,,,SAC,"W, 132-101",*,,12.0,20.0,0.6,2.0,6.0,0.333,10.0,14.0,0.714,0.65,4.0,4.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,30.0,24.1,10.0
Shai Gilgeous-Alexander,gilgesh01,2026,11,473.0,11.0,2025-11-09,,,MEM,"W, 114-100",*,,11.0,22.0,0.5,3.0,9.0,0.333,8.0,13.0,0.615,0.568,10.0,11.0,0.909,1.0,6.0,7.0,6.0,2.0,0.0,1.0,0.0,35.0,31.3,28.0
Shai Gilgeous-Alexander,gilgesh01,2026,12,474.0,12.0,2025-11-11,,,GSW,"W, 126-102",*,,9.0,19.0,0.474,3.0,6.0,0.5,6.0,13.0,0.462,0.553,7.0,8.0,0.875,1.0,4.0,5.0,11.0,3.0,1.0,2.0,2.0,28.0,28.4,25.0
Shai Gilgeous-Alexander,gilgesh01,2026,13,475.0,13.0,2025-11-12,,,LAL,"W, 121-92",*,,10.0,18.0,0.556,2.0,7.0,0.286,8.0,11.0,0.727,0.611,8.0,9.0,0.889,0.0,5.0,5.0,9.0,2.0,0.0,1.0,1.0,30.0,29.4,25.0
Shai Gilgeous-Alexander,gilgesh01,2026,14,476.0,14.0,2025-11-15,,,CHO,"W, 109-96",*,,13.0,19.0,0.684,3.0,4.0,0.75,10.0,15.0,0.667,0.763,4.0,5.0,0.8,0.0,4.0,4.0,7.0,2.0,0.0,1.0,1.0,33.0,31.2,21.0
Shai Gilgeous-Alexander,gilgesh01,2026,15,477.0,15.0,2025-11-17,,,NOP,"W, 126-109",*,,5.0,9.0,0.556,3.0,5.0,0.6,2.0,4.0,0.5,0.722,10.0,10.0,1.0,1.0,1.0,2.0,8.0,3.0,1.0,3.0,3.0,23.0,24.8,32.0
Shai Gilgeous-Alexander,gilgesh01,2026,16,478.0,16.0,2025-11-19,,,SAC,"W, 113-99",*,,12.0,24.0,0.5,1.0,3.0,0.333,11.0,21.0,0.524,0.521,8.0,10.0,0.8,2.0,6.0,8.0,3.0,2.0,0.0,3.0,0.0,33.0,24.5,9.0
Shai Gilgeous-Alexander,gilgesh01,2026,17,479.0,17.0,2025-11-21,,,UTA,"W, 144-112",*,,9.0,14.0,0.643,3.0,3.0,1.0,6.0,11.0,0.545,0.75,10.0,12.0,0.833,0.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,31.0,29.5,14.0
Shai Gilgeous-Alexander,gilgesh01,2026,18,480.0,18.0,2025-11-23,,,POR,"W, 122-95",*,,13.0,18.0,0.722,2.0,3.0,0.667,11.0,15.0,0.733,0.778,9.0,9.0,1.0,2.0,3.0,5.0,7.0,2.0,0.0,1.0,3.0,37.0,36.6,27.0
Shai Gilgeous-Alexander,gilgesh01,2026,19,481.0,19.0,2025-11-26,,,MIN,"W, 113-105",*,,12.0,19.0,0.632,1.0,2.0,0.5,11.0,17.0,0.647,0.658,15.0,17.0,0.882,0.0,6.0,6.0,6.0,3.0,0.0,1.0,3.0,40.0,37.5,12.0
