player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Quenton Jackson,jacksqu01,2026,1,41.0,3.0,2025-10-26,,,MIN,"L, 110-114",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,1.8,-4.0
Quenton Jackson,jacksqu01,2026,2,42.0,4.0,2025-10-29,,,DAL,"L, 105-107",,,4.0,7.0,0.571,0.0,2.0,0.0,4.0,5.0,0.8,0.571,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,8.0,4.8,-1.0
Quenton Jackson,jacksqu01,2026,3,43.0,5.0,2025-10-31,,,ATL,"L, 108-128",*,,4.0,8.0,0.5,2.0,4.0,0.5,2.0,4.0,0.5,0.625,5.0,6.0,0.833,1.0,3.0,4.0,4.0,1.0,1.0,3.0,0.0,15.0,13.7,6.0
Quenton Jackson,jacksqu01,2026,4,44.0,6.0,2025-11-01,,,GSW,"W, 114-109",*,,10.0,16.0,0.625,3.0,4.0,0.75,7.0,12.0,0.583,0.719,2.0,3.0,0.667,3.0,3.0,6.0,10.0,3.0,0.0,0.0,3.0,25.0,29.2,20.0
Quenton Jackson,jacksqu01,2026,5,45.0,7.0,2025-11-03,,,MIL,"L, 115-117",*,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,5.0,7.0,0.714,0.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0,7.0,5.0,11.0
Quenton Jackson,jacksqu01,2026,6,46.0,26.0,2025-12-14,,,WAS,"L, 89-108",,,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-3.0
Quenton Jackson,jacksqu01,2026,7,47.0,27.0,2025-12-18,,,NYK,"L, 113-114",*,,3.0,7.0,0.429,2.0,5.0,0.4,1.0,2.0,0.5,0.571,2.0,2.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,10.0,8.9,14.0
Quenton Jackson,jacksqu01,2026,8,48.0,28.0,2025-12-20,,,NOP,"L, 109-128",*,,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.333,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,-1.6,-7.0
Quenton Jackson,jacksqu01,2026,9,49.0,29.0,2025-12-22,,,BOS,"L, 95-103",,,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,9.0,5.6,-11.0
Quenton Jackson,jacksqu01,2026,10,50.0,30.0,2025-12-23,,,MIL,"L, 94-111",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,-2.0,-6.0
Quenton Jackson,jacksqu01,2026,11,51.0,31.0,2025-12-26,,,BOS,"L, 122-140",*,,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,6.0,3.3,3.0
Quenton Jackson,jacksqu01,2026,12,52.0,32.0,2025-12-27,,,MIA,"L, 116-142",,,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,4.0,0.6,-16.0
Quenton Jackson,jacksqu01,2026,13,53.0,33.0,2025-12-29,,,HOU,"L, 119-126",,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,6.4,14.0
Quenton Jackson,jacksqu01,2026,14,54.0,35.0,2026-01-02,,,SAS,"L, 113-123",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Quenton Jackson,jacksqu01,2026,15,55.0,38.0,2026-01-08,,,CHO,"W, 114-112",*,,2.0,7.0,0.286,0.0,2.0,0.0,2.0,5.0,0.4,0.286,0.0,0.0,,0.0,0.0,0.0,5.0,1.0,1.0,1.0,2.0,4.0,3.3,-6.0
Quenton Jackson,jacksqu01,2026,16,56.0,39.0,2026-01-10,,,MIA,"W, 123-99",*,,2.0,6.0,0.333,0.0,2.0,0.0,2.0,4.0,0.5,0.333,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,6.0,1.4,15.0
Quenton Jackson,jacksqu01,2026,17,57.0,40.0,2026-01-12,,,BOS,"W, 98-96",,,3.0,5.0,0.6,2.0,4.0,0.5,1.0,1.0,1.0,0.8,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,6.7,6.0
Quenton Jackson,jacksqu01,2026,18,58.0,41.0,2026-01-14,,,TOR,"L, 101-115",,,3.0,8.0,0.375,3.0,5.0,0.6,0.0,3.0,0.0,0.563,5.0,6.0,0.833,0.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,14.0,13.1,12.0
Quenton Jackson,jacksqu01,2026,19,59.0,42.0,2026-01-16,,,NOP,"W, 127-119",,,5.0,7.0,0.714,0.0,1.0,0.0,5.0,6.0,0.833,0.714,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,12.0,10.0,8.0
