player,player_id,season,Rk,Gcar,Gtm,date,Team,Unnamed: 5,opponent,Result,GS,minutes,fgm,fga,FG%,fg3m,fg3a,3P%,2P,2PA,2P%,eFG%,ftm,fta,FT%,orb,drb,trb,ast,stl,blk,tov,PF,pts,GmSc,plus_minus
Daniss Jenkins,jenkida01,2026,1,8.0,2.0,2025-10-24,,,HOU,"W, 115-111",,,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.3,5.0
Daniss Jenkins,jenkida01,2026,2,9.0,3.0,2025-10-26,,,BOS,"W, 119-113",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-0.1,1.0
Daniss Jenkins,jenkida01,2026,3,10.0,4.0,2025-10-27,,,CLE,"L, 95-116",,,4.0,6.0,0.667,1.0,1.0,1.0,3.0,5.0,0.6,0.75,0.0,0.0,,0.0,0.0,0.0,5.0,3.0,0.0,3.0,2.0,9.0,9.1,-4.0
Daniss Jenkins,jenkida01,2026,4,11.0,5.0,2025-10-29,,,ORL,"W, 135-116",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1.0
Daniss Jenkins,jenkida01,2026,5,12.0,9.0,2025-11-07,,,BRK,"W, 125-107",,,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,4.0,0.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.4,-5.0
Daniss Jenkins,jenkida01,2026,6,13.0,11.0,2025-11-10,,,WAS,"W, 137-135 (OT)",,,9.0,17.0,0.529,4.0,6.0,0.667,5.0,11.0,0.455,0.647,2.0,2.0,1.0,4.0,4.0,8.0,3.0,4.0,0.0,2.0,3.0,24.0,22.6,8.0
Daniss Jenkins,jenkida01,2026,7,14.0,12.0,2025-11-12,,,CHI,"W, 124-113",*,,9.0,19.0,0.474,0.0,2.0,0.0,9.0,17.0,0.529,0.474,0.0,0.0,,2.0,2.0,4.0,12.0,2.0,0.0,3.0,3.0,18.0,16.5,5.0
Daniss Jenkins,jenkida01,2026,8,15.0,13.0,2025-11-14,,,PHI,"W, 114-105",*,,6.0,15.0,0.4,5.0,8.0,0.625,1.0,7.0,0.143,0.567,2.0,2.0,1.0,0.0,3.0,3.0,8.0,1.0,0.0,2.0,1.0,19.0,16.0,5.0
Daniss Jenkins,jenkida01,2026,9,16.0,14.0,2025-11-17,,,IND,"W, 127-112",*,,11.0,21.0,0.524,1.0,5.0,0.2,10.0,16.0,0.625,0.548,3.0,4.0,0.75,2.0,0.0,2.0,8.0,1.0,0.0,4.0,4.0,26.0,17.7,23.0
Daniss Jenkins,jenkida01,2026,10,17.0,15.0,2025-11-18,,,ATL,"W, 120-112",*,,6.0,10.0,0.6,1.0,4.0,0.25,5.0,6.0,0.833,0.65,1.0,2.0,0.5,0.0,3.0,3.0,7.0,2.0,0.0,1.0,1.0,14.0,15.4,8.0
Daniss Jenkins,jenkida01,2026,11,18.0,16.0,2025-11-22,,,MIL,"W, 129-116",,,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.167,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,7.0,6.1,3.0
Daniss Jenkins,jenkida01,2026,12,19.0,17.0,2025-11-24,,,IND,"W, 122-117",,,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.75,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,5.0,6.4,-1.0
Daniss Jenkins,jenkida01,2026,13,20.0,18.0,2025-11-26,,,BOS,"L, 114-117",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,-5.0
Daniss Jenkins,jenkida01,2026,14,21.0,19.0,2025-11-28,,,ORL,"L, 109-112",,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,-7.0
Daniss Jenkins,jenkida01,2026,15,22.0,20.0,2025-11-29,,,MIA,"W, 138-135",,,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,5.0,6.0,0.833,0.0,1.0,1.0,4.0,2.0,0.0,1.0,2.0,9.0,9.9,4.0
Daniss Jenkins,jenkida01,2026,16,23.0,21.0,2025-12-01,,,ATL,"W, 99-98",*,,3.0,16.0,0.188,0.0,8.0,0.0,3.0,8.0,0.375,0.188,0.0,2.0,0.0,4.0,4.0,8.0,6.0,0.0,0.0,3.0,2.0,6.0,-0.4,-9.0
Daniss Jenkins,jenkida01,2026,17,24.0,22.0,2025-12-03,,,MIL,"L, 109-113",*,,2.0,8.0,0.25,1.0,5.0,0.2,1.0,3.0,0.333,0.313,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,7.0,1.9,1.0
Daniss Jenkins,jenkida01,2026,18,25.0,23.0,2025-12-05,,,POR,"W, 122-116",,,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,4.6,6.0
Daniss Jenkins,jenkida01,2026,19,26.0,24.0,2025-12-06,,,MIL,"W, 124-112",,,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.1,-11.0
Daniss Jenkins,jenkida01,2026,20,27.0,25.0,2025-12-12,,,ATL,"W, 142-115",,,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,8.0,5.9,7.0
Daniss Jenkins,jenkida01,2026,21,28.0,26.0,2025-12-15,,,BOS,"W, 112-105",,,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
Daniss Jenkins,jenkida01,2026,22,29.0,27.0,2025-12-18,,,DAL,"L, 114-116 (OT)",,,4.0,8.0,0.5,1.0,3.0,0.333,3.0,5.0,0.6,0.563,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,4.0,11.0,6.7,15.0
Daniss Jenkins,jenkida01,2026,23,30.0,28.0,2025-12-20,,,CHO,"W, 112-86",,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4,1.0
Daniss Jenkins,jenkida01,2026,24,31.0,29.0,2025-12-22,,,POR,"W, 110-102",,,2.0,7.0,0.286,1.0,3.0,0.333,1.0,4.0,0.25,0.357,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,5.0,2.9,-8.0
Daniss Jenkins,jenkida01,2026,25,32.0,31.0,2025-12-26,,,UTA,"L, 129-131",,,2.0,7.0,0.286,2.0,4.0,0.5,0.0,3.0,0.0,0.429,0.0,0.0,,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,6.0,4.5,3.0
Daniss Jenkins,jenkida01,2026,26,33.0,32.0,2025-12-28,,,LAC,"L, 99-112",,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.7,-1.0
Daniss Jenkins,jenkida01,2026,27,34.0,33.0,2025-12-30,,,LAL,"W, 128-106",,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.0
Daniss Jenkins,jenkida01,2026,28,35.0,35.0,2026-01-04,,,CLE,"W, 114-110",,,7.0,10.0,0.7,6.0,7.0,0.857,1.0,3.0,0.333,1.0,5.0,5.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,25.0,22.2,11.0
Daniss Jenkins,jenkida01,2026,29,36.0,36.0,2026-01-05,,,NYK,"W, 121-90",,,5.0,10.0,0.5,2.0,4.0,0.5,3.0,6.0,0.5,0.6,0.0,0.0,,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,12.0,10.8,16.0
Daniss Jenkins,jenkida01,2026,30,37.0,37.0,2026-01-07,,,CHI,"W, 108-93",,,1.0,8.0,0.125,0.0,3.0,0.0,1.0,5.0,0.2,0.125,0.0,0.0,,2.0,4.0,6.0,15.0,1.0,0.0,1.0,1.0,2.0,9.5,20.0
Daniss Jenkins,jenkida01,2026,31,38.0,38.0,2026-01-10,,,LAC,"L, 92-98",,,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,3.0,4.0,0.75,0.0,4.0,4.0,2.0,2.0,0.0,5.0,1.0,10.0,4.4,-9.0
Daniss Jenkins,jenkida01,2026,32,39.0,39.0,2026-01-15,,,PHO,"W, 108-105",,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,5.0,8.1,7.0
Daniss Jenkins,jenkida01,2026,33,40.0,40.0,2026-01-17,,,IND,"W, 121-78",,,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.0,,1.0,0.0,1.0,4.0,3.0,0.0,2.0,0.0,3.0,6.5,4.0
Daniss Jenkins,jenkida01,2026,34,41.0,42.0,2026-01-21,,,NOP,"W, 112-104",*,,5.0,12.0,0.417,2.0,6.0,0.333,3.0,6.0,0.5,0.5,5.0,7.0,0.714,0.0,1.0,1.0,4.0,2.0,2.0,5.0,3.0,17.0,10.1,5.0
Daniss Jenkins,jenkida01,2026,35,42.0,43.0,2026-01-23,,,HOU,"L, 104-111",,,4.0,10.0,0.4,2.0,6.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,10.0,7.6,14.0
Daniss Jenkins,jenkida01,2026,36,43.0,44.0,2026-01-25,,,SAC,"W, 139-116",,,4.0,6.0,0.667,2.0,3.0,0.667,2.0,3.0,0.667,0.833,1.0,2.0,0.5,0.0,1.0,1.0,6.0,1.0,1.0,0.0,2.0,11.0,13.4,20.0
Daniss Jenkins,jenkida01,2026,37,44.0,45.0,2026-01-27,,,DEN,"W, 109-107",,,0.0,8.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,-3.2,-5.0
Daniss Jenkins,jenkida01,2026,38,45.0,46.0,2026-01-29,,,PHO,"L, 96-114",,,2.0,8.0,0.25,0.0,3.0,0.0,2.0,5.0,0.4,0.25,2.0,3.0,0.667,1.0,2.0,3.0,5.0,0.0,0.0,1.0,2.0,6.0,3.8,-18.0
Daniss Jenkins,jenkida01,2026,39,46.0,47.0,2026-01-30,,,GSW,"W, 131-124",,,4.0,8.0,0.5,1.0,2.0,0.5,3.0,6.0,0.5,0.563,3.0,3.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,12.0,11.0,7.0
Daniss Jenkins,jenkida01,2026,40,47.0,48.0,2026-02-01,,,BRK,"W, 130-77",,,6.0,9.0,0.667,1.0,2.0,0.5,5.0,7.0,0.714,0.722,5.0,6.0,0.833,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,18.0,14.8,6.0
Daniss Jenkins,jenkida01,2026,41,48.0,49.0,2026-02-03,,,DEN,"W, 124-121",,,2.0,8.0,0.25,0.0,1.0,0.0,2.0,7.0,0.286,0.25,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,6.0,0.9,-1.0
Daniss Jenkins,jenkida01,2026,42,49.0,51.0,2026-02-06,,,NYK,"W, 118-80",,,7.0,11.0,0.636,3.0,6.0,0.5,4.0,5.0,0.8,0.773,1.0,1.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,18.0,15.0,23.0
